,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-3.83,0.48,-7.99,0.00,1.06,-3.60,0.00
b_mileage_a,-0.11,0.03,-3.82,0.00,0.04,-2.76,0.01
b_range_pw1_a,0.00,0.24,0.01,0.99,0.42,0.00,1.00
b_range_pw2_a,-0.26,0.22,-1.20,0.23,0.28,-0.91,0.36
b_range_pw3_a,0.19,0.16,1.25,0.21,0.23,0.83,0.40
b_loss_pw1_a,-0.03,0.02,-1.34,0.18,0.03,-0.94,0.35
b_loss_pw2_a,-0.01,0.01,-0.90,0.37,0.03,-0.45,0.65
b_loss_pw3_a,-0.02,0.01,-1.61,0.11,0.02,-1.26,0.21
b_packreplace_a,-0.10,0.10,-0.98,0.33,0.18,-0.56,0.57
b_cellreplace_a,-0.17,0.10,-1.63,0.10,0.18,-0.93,0.35
b_price_a,-0.44,0.08,-5.54,0.00,0.17,-2.54,0.01
b_no_choice_b,-0.78,0.56,-1.39,0.16,0.74,-1.06,0.29
b_mileage_b,-0.26,0.05,-5.14,0.00,0.06,-4.23,0.00
b_range_pw1_b,0.92,0.42,2.17,0.03,0.58,1.58,0.12
b_range_pw2_b,1.41,0.35,4.04,0.00,0.47,3.01,0.00
b_range_pw3_b,0.47,0.20,2.32,0.02,0.28,1.65,0.10
b_loss_pw1_b,-0.12,0.03,-4.68,0.00,0.03,-4.28,0.00
b_loss_pw2_b,-0.07,0.02,-3.36,0.00,0.03,-2.83,0.00
b_loss_pw3_b,-0.08,0.04,-2.01,0.04,0.04,-1.90,0.06
b_packreplace_b,-0.65,0.15,-4.24,0.00,0.18,-3.53,0.00
b_cellreplace_b,-0.64,0.15,-4.24,0.00,0.18,-3.45,0.00
b_price_b,-0.84,0.11,-7.63,0.00,0.17,-4.91,0.00
b_no_choice_c,-4.54,0.38,-11.84,0.00,0.90,-5.03,0.00
b_mileage_c,-0.24,0.03,-9.16,0.00,0.03,-6.80,0.00
b_range_pw1_c,2.33,0.30,7.77,0.00,0.79,2.94,0.00
b_range_pw2_c,1.28,0.20,6.42,0.00,0.33,3.88,0.00
b_range_pw3_c,1.28,0.14,8.92,0.00,0.27,4.66,0.00
b_loss_pw1_c,-0.14,0.02,-8.82,0.00,0.02,-7.93,0.00
b_loss_pw2_c,-0.13,0.01,-11.71,0.00,0.01,-9.09,0.00
b_loss_pw3_c,-0.07,0.01,-4.63,0.00,0.02,-3.88,0.00
b_packreplace_c,-0.40,0.08,-4.79,0.00,0.12,-3.23,0.00
b_cellreplace_c,-0.34,0.08,-4.28,0.00,0.12,-2.86,0.00
b_price_c,-1.31,0.08,-16.91,0.00,0.14,-9.07,0.00
delta_a,2.09,0.47,4.48,0.00,0.56,3.74,0.00
gamma_EV_rangeanxiety_a,-0.77,0.25,-3.02,0.00,0.27,-2.81,0.01
gamma_risktaker_a,0.58,0.20,2.83,0.00,0.23,2.48,0.01
gamma_hhincome_a,-0.03,0.02,-1.61,0.11,0.02,-1.49,0.14
gamma_ev_charge_a,0.42,0.21,2.02,0.04,0.27,1.56,0.12
gamma_evb_environment_agree_a,0.28,0.19,1.42,0.16,0.22,1.23,0.22
gamma_evb_function_disagree_a,0.63,0.26,2.44,0.01,0.28,2.24,0.03
gamma_hhveh_fuel_a,-0.60,0.27,-2.23,0.03,0.28,-2.10,0.04
gamma_veh_range_a,-0.37,0.09,-4.19,0.00,0.09,-3.90,0.00
delta_b,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_rangeanxiety_b,0.00,NA,NA,NA,NA,NA,NA
gamma_risktaker_b,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_b,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_b,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_agree_b,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_disagree_b,0.00,NA,NA,NA,NA,NA,NA
gamma_hhveh_fuel_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_b,0.00,NA,NA,NA,NA,NA,NA
delta_c,0.63,0.44,1.44,0.15,0.57,1.12,0.26
gamma_EV_rangeanxiety_c,-0.12,0.24,-0.50,0.62,0.26,-0.47,0.64
gamma_risktaker_c,0.36,0.17,2.13,0.03,0.19,1.94,0.05
gamma_hhincome_c,0.01,0.01,1.01,0.31,0.02,0.92,0.36
gamma_ev_charge_c,0.41,0.16,2.53,0.01,0.17,2.38,0.02
gamma_evb_environment_agree_c,0.97,0.16,6.06,0.00,0.19,5.10,0.00
gamma_evb_function_disagree_c,0.88,0.22,4.07,0.00,0.23,3.78,0.00
gamma_hhveh_fuel_c,-0.34,0.23,-1.48,0.14,0.25,-1.39,0.16
gamma_veh_range_c,-0.13,0.07,-1.77,0.08,0.08,-1.63,0.10
gamma_suv_a,-0.35,0.20,-1.76,0.08,0.23,-1.54,0.12
gamma_suv_b,0.00,NA,NA,NA,NA,NA,NA
gamma_suv_c,-0.17,0.16,-1.07,0.29,0.17,-1.00,0.32
