"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-0.779093322925992,0.563851663579939,-1.38173454695419,0.167053222708095,0.742347705460628,-1.04949919989658,0.293948423289776
"b_mileage_a",-0.260294478887786,0.0507553456082583,-5.12841506186954,2.92191674633457e-07,0.0616905531384946,-4.21935718915387,2.44999855878447e-05
"b_range_pw1_a",0.922840403658864,0.424634098057821,2.17326024424257,0.0297607358486329,0.584616191919944,1.57854061590076,0.114441464941193
"b_range_pw2_a",1.40785085493946,0.349250877550198,4.03105889043074,5.55261276331542e-05,0.469518611513554,2.99849850552479,0.00271313486972713
"b_range_pw3_a",0.462431543956987,0.200557044683815,2.30573573062978,0.0211254033131774,0.280712204005283,1.64735104979007,0.0994859105631081
"b_loss_pw1_a",-0.123682890698373,0.0263652874311227,-4.69112620226445,2.71705303656056e-06,0.0288738482086376,-4.28356102050067,1.83925625487635e-05
"b_loss_pw2_a",-0.0749053012513868,0.0222939835824516,-3.35988859839062,0.000779739070714269,0.0265253382086235,-2.82391503030996,0.00474409599984593
"b_loss_pw3_a",-0.0843282476846443,0.0416557464078287,-2.02440851399066,0.0429281364654446,0.0440567409348775,-1.91408274636778,0.0556095837238653
"b_packreplace_a",-0.643607416392977,0.152077864740606,-4.23209135327326,2.31528325846941e-05,0.182709634179166,-3.52256967337504,0.000427384687530896
"b_cellreplace_a",-0.637676787512726,0.150385333125169,-4.2402857663119,2.23235404863686e-05,0.184762704513239,-3.45132849831733,0.000557834156909021
"b_price_a",-0.838675645077894,0.110245362778126,-7.60735530224311,2.79776202205539e-14,0.171878149660186,-4.87947797166777,1.06367002294938e-06
"b_no_choice_b",-4.51244069857391,0.384321876193992,-11.7413058638801,0,0.907450377425855,-4.97265835226632,6.6040987389826e-07
"b_mileage_b",-0.235093994355296,0.0258209675816374,-9.10477090418886,0,0.034621189860198,-6.79046547229072,1.11772813227162e-11
"b_range_pw1_b",2.3362963223124,0.297531554872374,7.85226401722181,3.99680288865056e-15,0.779171913954203,2.99843498010083,0.00271370053512121
"b_range_pw2_b",1.30114982254124,0.198385391791895,6.55869774880471,5.42796918523436e-11,0.324274809715354,4.01249120671254,6.00813177182857e-05
"b_range_pw3_b",1.26832011962876,0.142868067830701,8.87756192749607,0,0.271449416286011,4.67239950994184,2.97701180418386e-06
"b_loss_pw1_b",-0.136794935954577,0.0155517498392517,-8.79611216541786,0,0.0173427089695879,-7.8877490358894,3.10862446895044e-15
"b_loss_pw2_b",-0.12767877600921,0.0108707812144175,-11.745133444492,0,0.0139313653471753,-9.16484298756098,0
