,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-0.78,0.56,-1.38,0.17,0.74,-1.05,0.29
b_mileage_a,-0.26,0.05,-5.13,0.00,0.06,-4.22,0.00
b_range_pw1_a,0.92,0.42,2.17,0.03,0.58,1.58,0.11
b_range_pw2_a,1.41,0.35,4.03,0.00,0.47,3.00,0.00
b_range_pw3_a,0.46,0.20,2.31,0.02,0.28,1.65,0.10
b_loss_pw1_a,-0.12,0.03,-4.69,0.00,0.03,-4.28,0.00
b_loss_pw2_a,-0.07,0.02,-3.36,0.00,0.03,-2.82,0.00
b_loss_pw3_a,-0.08,0.04,-2.02,0.04,0.04,-1.91,0.06
b_packreplace_a,-0.64,0.15,-4.23,0.00,0.18,-3.52,0.00
b_cellreplace_a,-0.64,0.15,-4.24,0.00,0.18,-3.45,0.00
b_price_a,-0.84,0.11,-7.61,0.00,0.17,-4.88,0.00
b_no_choice_b,-4.51,0.38,-11.74,0.00,0.91,-4.97,0.00
b_mileage_b,-0.24,0.03,-9.10,0.00,0.03,-6.79,0.00
b_range_pw1_b,2.34,0.30,7.85,0.00,0.78,3.00,0.00
b_range_pw2_b,1.30,0.20,6.56,0.00,0.32,4.01,0.00
b_range_pw3_b,1.27,0.14,8.88,0.00,0.27,4.67,0.00
b_loss_pw1_b,-0.14,0.02,-8.80,0.00,0.02,-7.89,0.00
b_loss_pw2_b,-0.13,0.01,-11.75,0.00,0.01,-9.16,0.00
b_loss_pw3_b,-0.07,0.01,-4.59,0.00,0.02,-3.81,0.00
b_packreplace_b,-0.40,0.08,-4.79,0.00,0.12,-3.25,0.00
b_cellreplace_b,-0.34,0.08,-4.30,0.00,0.12,-2.92,0.00
b_price_b,-1.31,0.08,-17.00,0.00,0.14,-9.22,0.00
b_no_choice_c,-3.86,0.47,-8.13,0.00,1.04,-3.70,0.00
b_mileage_c,-0.11,0.03,-3.92,0.00,0.04,-2.82,0.00
b_range_pw1_c,-0.01,0.24,-0.06,0.95,0.41,-0.03,0.97
b_range_pw2_c,-0.27,0.21,-1.28,0.20,0.28,-0.98,0.33
b_range_pw3_c,0.20,0.16,1.28,0.20,0.24,0.84,0.40
b_loss_pw1_c,-0.03,0.02,-1.36,0.17,0.03,-0.96,0.34
b_loss_pw2_c,-0.01,0.01,-0.88,0.38,0.03,-0.44,0.66
b_loss_pw3_c,-0.02,0.01,-1.66,0.10,0.02,-1.28,0.20
b_packreplace_c,-0.11,0.10,-1.03,0.30,0.18,-0.60,0.55
b_cellreplace_c,-0.17,0.10,-1.67,0.09,0.17,-0.97,0.33
b_price_c,-0.44,0.08,-5.56,0.00,0.18,-2.53,0.01
delta_a,-2.14,0.48,-4.50,0.00,0.56,-3.79,0.00
gamma_EV_rangeanxiety_a,0.77,0.25,3.03,0.00,0.27,2.83,0.00
gamma_risktaker_a,-0.60,0.21,-2.90,0.00,0.24,-2.53,0.01
gamma_hhincome_a,0.03,0.02,1.54,0.12,0.02,1.43,0.15
gamma_ev_charge_a,-0.43,0.21,-2.07,0.04,0.27,-1.59,0.11
gamma_knowledge_ev_a,0.14,0.21,0.65,0.52,0.23,0.61,0.54
gamma_evb_environment_agree_a,-0.28,0.19,-1.45,0.15,0.22,-1.26,0.21
gamma_evb_function_disagree_a,-0.62,0.26,-2.42,0.02,0.28,-2.21,0.03
gamma_hhveh_fuel_a,0.59,0.27,2.22,0.03,0.28,2.09,0.04
gamma_veh_range_a,0.36,0.09,4.08,0.00,0.09,3.81,0.00
delta_b,-1.63,0.49,-3.32,0.00,0.76,-2.14,0.03
gamma_EV_rangeanxiety_b,0.66,0.23,2.87,0.00,0.25,2.59,0.01
gamma_risktaker_b,-0.25,0.20,-1.23,0.22,0.27,-0.91,0.36
gamma_hhincome_b,0.04,0.02,2.31,0.02,0.02,1.94,0.05
gamma_ev_charge_b,-0.05,0.21,-0.23,0.82,0.30,-0.15,0.88
gamma_knowledge_ev_b,0.35,0.22,1.61,0.11,0.23,1.49,0.14
gamma_evb_environment_agree_b,0.68,0.19,3.55,0.00,0.24,2.86,0.00
gamma_evb_function_disagree_b,0.25,0.22,1.13,0.26,0.27,0.92,0.36
gamma_hhveh_fuel_b,0.26,0.24,1.08,0.28,0.27,0.97,0.33
gamma_veh_range_b,0.22,0.08,2.60,0.01,0.09,2.45,0.01
delta_c,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_rangeanxiety_c,0.00,NA,NA,NA,NA,NA,NA
gamma_risktaker_c,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_c,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_c,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_c,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_agree_c,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_disagree_c,0.00,NA,NA,NA,NA,NA,NA
gamma_hhveh_fuel_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_c,0.00,NA,NA,NA,NA,NA,NA
gamma_suv_a,0.35,0.20,1.74,0.08,0.23,1.52,0.13
gamma_suv_b,0.18,0.20,0.89,0.37,0.23,0.76,0.45
gamma_suv_c,0.00,NA,NA,NA,NA,NA,NA
