Model run by wuxiatian using Apollo 0.3.4 on R 4.4.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_3c_1
Model description                           : LC model with 3 classes, piecewise linear range and range loss
Model run at                                : 2026-06-01 16:22:38.951903
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -6.334543
     reciprocal of condition number         : 5.72257e-05
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -17533.96
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -17410.58
Rho-squared vs equal shares                  :  0.2822 
Adj.Rho-squared vs equal shares              :  0.2799 
Rho-squared vs observed shares               :  0.2757 
Adj.Rho-squared vs observed shares           :  0.2738 
AIC                                         :  34931.16 
BIC                                         :  35358.5 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -32624.09
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -23900.5
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -25520.44

Estimated parameters                        : 55
Time taken (hh:mm:ss)                       :  00:05:30.3 
     pre-estimation                         :  00:00:19.69 
     estimation                             :  00:00:21.44 
     post-estimation                        :  00:04:49.16 
Iterations                                  :  19  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)
b_no_choice_a                   -1.560248    0.318924     -4.8922
b_mileage_a                     -0.193541    0.030410     -6.3644
b_range_pw1_a                    0.866719    0.229093      3.7833
b_range_pw2_a                    0.883360    0.212044      4.1659
b_range_pw3_a                    0.775859    0.136444      5.6863
b_loss_pw1_a                    -0.096786    0.017261     -5.6071
b_loss_pw2_a                    -0.079585    0.013697     -5.8102
b_loss_pw3_a                    -0.018013    0.020557     -0.8763
b_packreplace_a                 -0.628265    0.094063     -6.6792
b_cellreplace_a                 -0.723331    0.096785     -7.4736
b_price_a                       -1.110632    0.076984    -14.4269
b_no_choice_b                   -5.014744    0.222077    -22.5811
b_mileage_b                     -0.239034    0.016131    -14.8187
b_range_pw1_b                    2.242842    0.139611     16.0650
b_range_pw2_b                    1.067005    0.116657      9.1465
b_range_pw3_b                    1.238838    0.088463     14.0040
b_loss_pw1_b                    -0.136716    0.009920    -13.7825
b_loss_pw2_b                    -0.130222    0.006852    -19.0042
b_loss_pw3_b                    -0.084304    0.009411     -8.9582
b_packreplace_b                 -0.160903    0.050944     -3.1585
b_cellreplace_b                 -0.179649    0.050890     -3.5301
b_price_b                       -1.342344    0.048787    -27.5142
b_no_choice_c                   -3.884310    0.325823    -11.9215
b_mileage_c                     -0.132844    0.020252     -6.5595
b_range_pw1_c                    0.131576    0.176095      0.7472
b_range_pw2_c                   -0.094993    0.146018     -0.6506
b_range_pw3_c                    0.153687    0.104038      1.4772
b_loss_pw1_c                    -0.005147    0.013296     -0.3871
b_loss_pw2_c                    -0.015076    0.008786     -1.7160
b_loss_pw3_c                    -0.026501    0.009473     -2.7976
b_packreplace_c                 -0.383863    0.066386     -5.7823
b_cellreplace_c                 -0.441474    0.066408     -6.6479
b_price_c                       -0.321629    0.047327     -6.7958
delta_a                         -1.729024    0.300904     -5.7461
gamma_EV_rangeanxiety_a          0.630031    0.164535      3.8291
gamma_risktaker_a               -0.804195    0.144076     -5.5817
gamma_hhincome_a                 0.005617    0.012349      0.4548
gamma_ev_charge_a               -0.220332    0.144933     -1.5202
gamma_knowledge_ev_a             0.228877    0.154146      1.4848
gamma_evb_environment_agree_a   -0.311299    0.137437     -2.2650
gamma_evb_function_disagree_a   -0.340996    0.181197     -1.8819
gamma_hhveh_fuel_a               0.794062    0.168485      4.7130
gamma_veh_range_a                0.269762    0.063520      4.2469
gamma_suv_a                      0.252739    0.141342      1.7881
