"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.76713617060254,1.14771949995676,-2.41098645680132,0.0159094391979135,1.41208680307772,-1.95960769874162,0.0500416608401812
"b_mileage_a",-0.40983026726936,0.16964655556278,-2.41578890835597,0.0157011609247353,0.34110858335109,-1.2014657128916,0.229570598952493
"b_range_pw1_a",-0.144913734922738,0.975735298408154,-0.148517466939194,0.881934402194541,1.5183306011258,-0.0954428072616652,0.923963115968838
"b_range_pw2_a",2.01859835856944,0.929813356642787,2.17097156558156,0.0299333218434179,1.46238614894719,1.3803456494871,0.167480245917391
"b_range_pw3_a",1.272936369452,0.478636684291835,2.65950440329364,0.00782557070889589,0.618874837358867,2.05685591433065,0.0397000877173477
"b_loss_pw1_a",-0.224781090668326,0.0648623349843812,-3.46551031075975,0.000529226233644042,0.0751072768629064,-2.99280043235517,0.00276430443466946
"b_loss_pw2_a",-0.0492892846599558,0.0609370278655407,-0.808856066441475,0.418597942141242,0.0618035267212696,-0.797515728871715,0.425151571642354
"b_loss_pw3_a",0.0444302570569342,0.0876540037440377,0.506882231947749,0.612237453381212,0.101502598772181,0.437725315355288,0.661585415939289
"b_packreplace_a",-0.869323377427011,0.37070728486784,-2.34503990860857,0.0190250430812524,0.508556922382511,-1.70939247735409,0.0873782734501123
"b_cellreplace_a",-1.06425807889996,0.367383496080161,-2.89685870556292,0.0037691947113907,0.40192458926572,-2.64790487400698,0.00809923117505607
"b_price_a",-1.53525712924134,0.404652770621056,-3.79401116390492,0.000148233004581888,0.816325383413014,-1.88069262629384,0.0600137433103138
"b_no_choice_b",-6.08808151180059,0.277361472991476,-21.9499898314561,0,0.451939055785495,-13.4710232140021,0
"b_mileage_b",-0.249943412346453,0.0182659672924469,-13.6835574237454,0,0.0217636294300543,-11.4844545184773,0
"b_range_pw1_b",2.1278934713359,0.159252176257564,13.3617858251079,0,0.294748973789694,7.21934140762835,5.22470955388599e-13
"b_range_pw2_b",1.20645809519545,0.137624827210273,8.76628236090086,0,0.183729650468187,6.56648555157594,5.15165687886565e-11
"b_range_pw3_b",1.23949858016517,0.103286201327867,12.0006212275206,0,0.156556413075051,7.91726481093415,2.44249065417534e-15
"b_loss_pw1_b",-0.141598583506174,0.0111886032841744,-12.6556085607626,0,0.0116046792536936,-12.2018524088983,0
"b_loss_pw2_b",-0.13896930114778,0.00787956086639687,-17.6366809653604,0,0.00967445921053287,-14.3645549713497,0
"b_loss_pw3_b",-0.083634470939965,0.0103624806217675,-8.07089286751301,6.66133814775094e-16,0.0116447622500815,-7.18215358492012,6.86117829218347e-13
"b_packreplace_b",-0.0909450344075109,0.0565010620874402,-1.60961636910056,0.10748163244555,0.0747717539676005,-1.21630200686369,0.223869897324729
"b_cellreplace_b",-0.125881686061929,0.0559139905374656,-2.2513450542862,0.0243636912965823,0.0729265685951361,-1.72614300229566,0.0843216891642318
"b_price_b",-1.27065864733745,0.053603767720545,-23.7046517692904,0,0.0867965162193119,-14.639512075886,0
"b_no_choice_c",-4.05517209771812,0.358448022227172,-11.3131384364233,0,0.592935703331602,-6.83914305536472,7.9667383801052e-12
"b_mileage_c",-0.125334070146589,0.0208716282033875,-6.00499725873075,1.91335147725624e-09,0.0276590558036085,-4.53139366132077,5.85958307741663e-06
"b_range_pw1_c",0.177545819026711,0.19260793946462,0.921799067682378,0.356633393860944,0.351324014859764,0.505362034808753,0.613304579102152
"b_range_pw2_c",-0.144571874020916,0.148682239877484,-0.972354695086951,0.330874122341159,0.179529639694903,-0.805281368951692,0.420657330567996
"b_range_pw3_c",0.145712035997086,0.107106373499845,1.36044225227453,0.173690015430981,0.135076902529646,1.07873391577887,0.280706361824855
"b_loss_pw1_c",-0.00476546173791751,0.0136402386041044,-0.349367916224248,0.726813116763535,0.0146092789042024,-0.326194178998575,0.744277445240094
"b_loss_pw2_c",-0.00936159329264444,0.00883005280525389,-1.06019675070055,0.289055099042541,0.0114946735777688,-0.814428807334743,0.415399341234973
"b_loss_pw3_c",-0.0263838760323808,0.00971849308968614,-2.71481142075216,0.00663135193311515,0.00936006528856372,-2.81877051270327,0.00482079707220873
"b_packreplace_c",-0.344847908637128,0.0675457494414031,-5.10539762292946,3.30099665157846e-07,0.102295180987599,-3.37110610009022,0.000748670178313038
"b_cellreplace_c",-0.405099307707634,0.0674622896127949,-6.00482595584486,1.91537252725027e-09,0.101304650910143,-3.99882240418514,6.36584229340986e-05
"b_price_c",-0.329725704737183,0.0494504511782443,-6.66779972438849,2.59667842783529e-11,0.0832927643367841,-3.95863563134942,7.53791309509033e-05
"b_no_choice_d",-2.1963120870598,0.292274950759653,-7.51454095313798,5.7065463465733e-14,0.369782367573642,-5.93947218595382,2.85941181843441e-09
"b_mileage_d",-0.21035398161959,0.0258646975059854,-8.13286069055752,4.44089209850063e-16,0.0320003034149777,-6.57349959754237,4.91462426310818e-11
"b_range_pw1_d",1.94164456362236,0.227133248254999,8.54848234919135,0,0.441737108385705,4.39547533309564,1.10530615720084e-05
"b_range_pw2_d",0.98599710003797,0.186852817846065,5.27686502887137,1.31412601689362e-07,0.254346612251408,3.87658829543742,0.000105931379309698
"b_range_pw3_d",1.1208218475683,0.120790313164757,9.27907063242324,0,0.169151246356586,6.62615187124019,3.4455105435427e-11
"b_loss_pw1_d",-0.0946527562325633,0.0149222641727516,-6.3430559288316,2.25251595153964e-10,0.0169672431185245,-5.57855837694829,2.42520088455933e-08
"b_loss_pw2_d",-0.0905679342615444,0.0110606030872903,-8.18833598374178,2.22044604925031e-16,0.0131397879692121,-6.89264807573411,5.47628609126605e-12
"b_loss_pw3_d",-0.0502721689582125,0.0169067047675097,-2.9735048697853,0.0029441973473745,0.0212152762190569,-2.36962123137737,0.0178063164353328
"b_packreplace_d",-0.671876559296166,0.0805769198362565,-8.3383251762603,0,0.103533200662275,-6.48947926846986,8.61335447410738e-11
