"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.45576935475864,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.76040906865227,NA,NA,NA,NA,NA,NA
"b_range_pw1_a",0.537580153390836,NA,NA,NA,NA,NA,NA
"b_range_pw2_a",0.460191806389569,NA,NA,NA,NA,NA,NA
"b_range_pw3_a",1.64555705410539,NA,NA,NA,NA,NA,NA
"b_loss_pw1_a",-0.274158795462289,NA,NA,NA,NA,NA,NA
"b_loss_pw2_a",-0.10288827331352,NA,NA,NA,NA,NA,NA
"b_loss_pw3_a",-0.0461446914625892,NA,NA,NA,NA,NA,NA
"b_packreplace_a",-1.49797820232313,NA,NA,NA,NA,NA,NA
"b_cellreplace_a",-1.53822677426466,NA,NA,NA,NA,NA,NA
"b_price_a",-0.866050085206695,NA,NA,NA,NA,NA,NA
"b_range_pw1_treat_a",-9.50719054075339,NA,NA,NA,NA,NA,NA
"b_range_pw2_treat_a",16.9122724145513,NA,NA,NA,NA,NA,NA
"b_range_pw3_treat_a",-2.60728575456672,NA,NA,NA,NA,NA,NA
"b_loss_pw1_treat_a",0.135038619473052,NA,NA,NA,NA,NA,NA
"b_loss_pw2_treat_a",0.0924093116105267,NA,NA,NA,NA,NA,NA
"b_loss_pw3_treat_a",-7.27498267396395,NA,NA,NA,NA,NA,NA
"b_packreplace_treat_a",1.02847582712076,NA,NA,NA,NA,NA,NA
"b_cellreplace_treat_a",-26.2361297753641,NA,NA,NA,NA,NA,NA
"b_no_choice_b",-2.75802257804101,NA,NA,NA,NA,NA,NA
"b_mileage_b",-0.230405700020163,NA,NA,NA,NA,NA,NA
"b_range_pw1_b",0.992850483637905,NA,NA,NA,NA,NA,NA
"b_range_pw2_b",1.19765020754273,NA,NA,NA,NA,NA,NA
"b_range_pw3_b",0.880203989626421,NA,NA,NA,NA,NA,NA
"b_loss_pw1_b",-0.14553182513185,NA,NA,NA,NA,NA,NA
"b_loss_pw2_b",-0.0284161880174792,NA,NA,NA,NA,NA,NA
"b_loss_pw3_b",-0.0762158510091613,NA,NA,NA,NA,NA,NA
"b_packreplace_b",-0.327676004509413,NA,NA,NA,NA,NA,NA
"b_cellreplace_b",-0.443084267198091,NA,NA,NA,NA,NA,NA
"b_price_b",-0.93441725613485,NA,NA,NA,NA,NA,NA
"b_range_pw1_treat_b",0.0993264249787996,NA,NA,NA,NA,NA,NA
"b_range_pw2_treat_b",-0.205417942525073,NA,NA,NA,NA,NA,NA
"b_range_pw3_treat_b",0.228126206956171,NA,NA,NA,NA,NA,NA
"b_loss_pw1_treat_b",0.0268691756360769,NA,NA,NA,NA,NA,NA
"b_loss_pw2_treat_b",-0.0808871231683122,NA,NA,NA,NA,NA,NA
"b_loss_pw3_treat_b",0.0496462763887148,NA,NA,NA,NA,NA,NA
"b_packreplace_treat_b",-0.494769679077226,NA,NA,NA,NA,NA,NA
"b_cellreplace_treat_b",-0.272982065136143,NA,NA,NA,NA,NA,NA
"b_no_choice_c",-3.3976123985293,NA,NA,NA,NA,NA,NA
"b_mileage_c",-0.288362301179635,NA,NA,NA,NA,NA,NA
"b_range_pw1_c",5.35073564407675,NA,NA,NA,NA,NA,NA
"b_range_pw2_c",2.41796409217601,NA,NA,NA,NA,NA,NA
"b_range_pw3_c",1.58632845532212,NA,NA,NA,NA,NA,NA
"b_loss_pw1_c",-0.127190515049354,NA,NA,NA,NA,NA,NA
"b_loss_pw2_c",-0.12878492681087,NA,NA,NA,NA,NA,NA
"b_loss_pw3_c",-0.0788991864192342,NA,NA,NA,NA,NA,NA
"b_packreplace_c",-0.175862553729215,NA,NA,NA,NA,NA,NA
"b_cellreplace_c",-0.113532139403849,NA,NA,NA,NA,NA,NA
"b_price_c",-1.06132039405651,NA,NA,NA,NA,NA,NA
"b_range_pw1_treat_c",-1.09314555090498,NA,NA,NA,NA,NA,NA
"b_range_pw2_treat_c",-1.24582384760672,NA,NA,NA,NA,NA,NA
"b_range_pw3_treat_c",-0.157164653178311,NA,NA,NA,NA,NA,NA
"b_loss_pw1_treat_c",-0.0169949306690822,NA,NA,NA,NA,NA,NA
