Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_5c_info_treat_1
Model description                           : LC model with 5 classes, piecewise linear range and range loss, treatment interactions on range/loss/refurbishment
Model run at                                : 2026-05-04 16:21:06.666247
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Unknown (no Hessian calculated)
Number of individuals                       : 1373
Number of rows in database                  : 8238
Number of modelled outcomes                 : 8238

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -7913.1
LL (whole model) at equal shares, LL(0)     : -11420.29
LL (whole model) at observed shares, LL(C)  : -11409.83
LL(final, whole model)                      : -7764.41
Rho-squared vs equal shares                  :  0.3201 
Adj.Rho-squared vs equal shares              :  0.308 
Rho-squared vs observed shares               :  0.3195 
Adj.Rho-squared vs observed shares           :  0.3086 
AIC                                         :  15806.82 
BIC                                         :  16782.11 

LL(0,Class_1)                    : -11420.29
LL(final,Class_1)                : -87587.9
LL(0,Class_2)                    : -11420.29
LL(final,Class_2)                : -10544.06
LL(0,Class_3)                    : -11420.29
LL(final,Class_3)                : -16875.14
LL(0,Class_4)                    : -11420.29
LL(final,Class_4)                : -17634.65
LL(0,Class_5)                    : -11420.29
LL(final,Class_5)                : -13667.37

Estimated parameters                        : 139
Time taken (hh:mm:ss)                       :  00:00:47.46 
     pre-estimation                         :  00:00:12.47 
     estimation                             :  00:00:34.7 
     post-estimation                        :  00:00:0.29 
Iterations                                  :  57  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)
b_no_choice_a                   -3.455769          NA          NA          NA
b_mileage_a                     -0.760409          NA          NA          NA
b_range_pw1_a                    0.537580          NA          NA          NA
b_range_pw2_a                    0.460192          NA          NA          NA
b_range_pw3_a                    1.645557          NA          NA          NA
b_loss_pw1_a                    -0.274159          NA          NA          NA
b_loss_pw2_a                    -0.102888          NA          NA          NA
b_loss_pw3_a                    -0.046145          NA          NA          NA
b_packreplace_a                 -1.497978          NA          NA          NA
b_cellreplace_a                 -1.538227          NA          NA          NA
b_price_a                       -0.866050          NA          NA          NA
b_range_pw1_treat_a             -9.507191          NA          NA          NA
b_range_pw2_treat_a             16.912272          NA          NA          NA
b_range_pw3_treat_a             -2.607286          NA          NA          NA
b_loss_pw1_treat_a               0.135039          NA          NA          NA
b_loss_pw2_treat_a               0.092409          NA          NA          NA
b_loss_pw3_treat_a              -7.274983          NA          NA          NA
b_packreplace_treat_a            1.028476          NA          NA          NA
b_cellreplace_treat_a          -26.236130          NA          NA          NA
b_no_choice_b                   -2.758023          NA          NA          NA
b_mileage_b                     -0.230406          NA          NA          NA
b_range_pw1_b                    0.992850          NA          NA          NA
b_range_pw2_b                    1.197650          NA          NA          NA
b_range_pw3_b                    0.880204          NA          NA          NA
b_loss_pw1_b                    -0.145532          NA          NA          NA
b_loss_pw2_b                    -0.028416          NA          NA          NA
b_loss_pw3_b                    -0.076216          NA          NA          NA
b_packreplace_b                 -0.327676          NA          NA          NA
b_cellreplace_b                 -0.443084          NA          NA          NA
b_price_b                       -0.934417          NA          NA          NA
b_range_pw1_treat_b              0.099326          NA          NA          NA
b_range_pw2_treat_b             -0.205418          NA          NA          NA
b_range_pw3_treat_b              0.228126          NA          NA          NA
b_loss_pw1_treat_b               0.026869          NA          NA          NA
b_loss_pw2_treat_b              -0.080887          NA          NA          NA
b_loss_pw3_treat_b               0.049646          NA          NA          NA
b_packreplace_treat_b           -0.494770          NA          NA          NA
b_cellreplace_treat_b           -0.272982          NA          NA          NA
b_no_choice_c                   -3.397612          NA          NA          NA
b_mileage_c                     -0.288362          NA          NA          NA
b_range_pw1_c                    5.350736          NA          NA          NA
b_range_pw2_c                    2.417964          NA          NA          NA
b_range_pw3_c                    1.586328          NA          NA          NA
b_loss_pw1_c                    -0.127191          NA          NA          NA
b_loss_pw2_c                    -0.128785          NA          NA          NA
b_loss_pw3_c                    -0.078899          NA          NA          NA
b_packreplace_c                 -0.175863          NA          NA          NA
b_cellreplace_c                 -0.113532          NA          NA          NA
b_price_c                       -1.061320          NA          NA          NA
b_range_pw1_treat_c             -1.093146          NA          NA          NA
b_range_pw2_treat_c             -1.245824          NA          NA          NA
b_range_pw3_treat_c             -0.157165          NA          NA          NA
b_loss_pw1_treat_c              -0.016995          NA          NA          NA
b_loss_pw2_treat_c              -0.044605          NA          NA          NA
b_loss_pw3_treat_c               0.022865          NA          NA          NA
b_packreplace_treat_c           -0.303271          NA          NA          NA
b_cellreplace_treat_c           -0.222825          NA          NA          NA
b_no_choice_d                  -13.418631          NA          NA          NA
b_mileage_d                     -0.193251          NA          NA          NA
b_range_pw1_d                   -0.016454          NA          NA          NA
b_range_pw2_d                    0.773428          NA          NA          NA
b_range_pw3_d                   -0.143914          NA          NA          NA
b_loss_pw1_d                    -0.109672          NA          NA          NA
b_loss_pw2_d                    -0.033082          NA          NA          NA
b_loss_pw3_d                    -0.160558          NA          NA          NA
b_packreplace_d                  0.181687          NA          NA          NA
b_cellreplace_d                  0.557617          NA          NA          NA
b_price_d                       -4.233407          NA          NA          NA
b_range_pw1_treat_d              0.840871          NA          NA          NA
b_range_pw2_treat_d              0.642527          NA          NA          NA
b_range_pw3_treat_d              1.387804          NA          NA          NA
b_loss_pw1_treat_d               0.031377          NA          NA          NA
b_loss_pw2_treat_d              -0.077107          NA          NA          NA
b_loss_pw3_treat_d               0.105837          NA          NA          NA
b_packreplace_treat_d           -0.407603          NA          NA          NA
b_cellreplace_treat_d           -0.691537          NA          NA          NA
b_no_choice_e                   -4.883006          NA          NA          NA
b_mileage_e                     -0.114220          NA          NA          NA
b_range_pw1_e                    0.077226          NA          NA          NA
b_range_pw2_e                   -0.559475          NA          NA          NA
b_range_pw3_e                   -0.009009          NA          NA          NA
b_loss_pw1_e                    -0.056919          NA          NA          NA
b_loss_pw2_e                    -0.089227          NA          NA          NA
b_loss_pw3_e                     0.001704          NA          NA          NA
b_packreplace_e                 -0.407024          NA          NA          NA
b_cellreplace_e                 -0.662478          NA          NA          NA
b_price_e                       -0.247447          NA          NA          NA
b_range_pw1_treat_e             -0.059580          NA          NA          NA
b_range_pw2_treat_e              0.104479          NA          NA          NA
b_range_pw3_treat_e              0.116278          NA          NA          NA
b_loss_pw1_treat_e               0.020821          NA          NA          NA
b_loss_pw2_treat_e               0.076902          NA          NA          NA
b_loss_pw3_treat_e              -0.029739          NA          NA          NA
b_packreplace_treat_e            0.295636          NA          NA          NA
b_cellreplace_treat_e            0.488217          NA          NA          NA
delta_a                         -2.975639          NA          NA          NA
gamma_EV_rangeanxiety_a          1.303710          NA          NA          NA
gamma_risktaker_a               -0.988584          NA          NA          NA
gamma_hhincome_a                 0.017181          NA          NA          NA
gamma_ev_charge_a               -0.490540          NA          NA          NA
gamma_knowledge_ev_a            -0.273102          NA          NA          NA
gamma_evb_environment_agree_a   -0.410722          NA          NA          NA
gamma_evb_function_disagree_a   -0.987746          NA          NA          NA
gamma_hhveh_fuel_a               0.853597          NA          NA          NA
gamma_veh_range_a                0.535538          NA          NA          NA
gamma_suv_a                      0.183509          NA          NA          NA
delta_b                         -1.055504          NA          NA          NA
gamma_EV_rangeanxiety_b          0.408469          NA          NA          NA
gamma_risktaker_b               -0.863465          NA          NA          NA
gamma_hhincome_b                 0.027871          NA          NA          NA
gamma_ev_charge_b               -0.523727          NA          NA          NA
gamma_knowledge_ev_b             0.072345          NA          NA          NA
gamma_evb_environment_agree_b    0.695823          NA          NA          NA
gamma_evb_function_disagree_b   -0.224467          NA          NA          NA
gamma_hhveh_fuel_b               0.003385          NA          NA          NA
gamma_veh_range_b                0.303090          NA          NA          NA
gamma_suv_b                      0.003596          NA          NA          NA
delta_c                         -2.667429          NA          NA          NA
gamma_EV_rangeanxiety_c          0.822193          NA          NA          NA
gamma_risktaker_c               -0.419455          NA          NA          NA
gamma_hhincome_c                 0.051299          NA          NA          NA
gamma_ev_charge_c                0.061770          NA          NA          NA
gamma_knowledge_ev_c             0.134449          NA          NA          NA
gamma_evb_environment_agree_c    1.067384          NA          NA          NA
gamma_evb_function_disagree_c    0.410639          NA          NA          NA
gamma_hhveh_fuel_c               0.220449          NA          NA          NA
gamma_veh_range_c                0.353886          NA          NA          NA
gamma_suv_c                      0.272240          NA          NA          NA
delta_d                         -1.123688          NA          NA          NA
gamma_EV_rangeanxiety_d          0.334504          NA          NA          NA
gamma_risktaker_d               -1.276488          NA          NA          NA
gamma_hhincome_d                -0.032266          NA          NA          NA
gamma_ev_charge_d               -0.175285          NA          NA          NA
gamma_knowledge_ev_d            -0.268112          NA          NA          NA
gamma_evb_environment_agree_d    0.953920          NA          NA          NA
gamma_evb_function_disagree_d    0.080363          NA          NA          NA
gamma_hhveh_fuel_d               0.624587          NA          NA          NA
gamma_veh_range_d                0.223592          NA          NA          NA
gamma_suv_d                     -0.341949          NA          NA          NA
delta_e                          0.000000          NA          NA          NA
