"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-1.61533049858999,1.89397864676545,-0.852876826963529,0.393727613566774,2.63074304529286,-0.614020628689022,0.5392016956533
"b_mileage_a",-0.688045161853628,0.219957800698232,-3.12807802073627,0.00175953467509671,0.37760043865292,-1.82215138390255,0.0684320188952834
"b_range_pw1_a",1.06673494793208,1.2499531512486,0.853419943672688,0.393426465580959,1.37898973517308,0.773562645698877,0.439189469116072
"b_range_pw2_a",0.976821564458524,1.23173037714174,0.793048204855725,0.42774973808545,2.01934247675765,0.483732490006823,0.628575732033474
"b_range_pw3_a",1.35917945189624,0.565983948247833,2.40144522844504,0.0163304535778961,0.789528037096202,1.72150878503968,0.0851585394150451
"b_loss_pw1_a",-0.208208615427325,0.0918823110317007,-2.26603590059342,0.0234491852558028,0.113729973386483,-1.83072772486967,0.0671411927383876
"b_loss_pw2_a",-0.132504697132033,0.113263672515168,-1.16987816295899,0.242050002862031,0.138117889017224,-0.959359414445648,0.337377713523153
"b_loss_pw3_a",-0.00207617967918297,0.159563400855373,-0.0130116284063461,0.989618515519666,0.116034489570945,-0.0178927807314873,0.985724388235243
"b_loss_pw1_treat_a",-0.26711905996364,0.132726928852663,-2.01254607691679,0.0441624046549371,0.264760622615059,-1.00890781010139,0.313018849235796
"b_loss_pw2_treat_a",0.328565218749852,0.193842376155079,1.69501233562568,0.0900730807206698,0.310689375823618,1.05753606115061,0.290267005820489
"b_loss_pw3_treat_a",-0.483313359414663,0.529322174768426,-0.91307975077014,0.361200599270836,0.408612580367089,-1.18281566118318,0.236882212355954
"b_packreplace_a",-1.10146693446159,0.472522638470378,-2.33103526643125,0.0197515001616539,0.58522453414373,-1.88212706439795,0.0598187654825266
"b_cellreplace_a",-1.28115155250439,0.511990634504388,-2.50229489792241,0.0123391097448315,0.610540933378583,-2.09838764686065,0.0358709156345038
"b_price_a",-0.85584115373394,0.386398528823138,-2.21491825121745,0.0267656761314345,0.634225596305258,-1.34942701574917,0.177199848209464
"b_no_choice_b",-2.89430722473248,0.416607770110197,-6.94731935500605,3.723021890778e-12,0.593757928116109,-4.87455760618745,1.0905256062621e-06
"b_mileage_b",-0.231157949322393,0.0354352746320874,-6.52338529113797,6.87379042574321e-11,0.0437700034560144,-5.28119559219798,1.2834358464886e-07
"b_range_pw1_b",0.978250497473842,0.27698134068036,3.53182815517799,0.000412697452047306,0.461191763663166,2.12113609684563,0.0339103510409169
"b_range_pw2_b",1.04142254203826,0.244917750125026,4.2521317524215,2.11745219049764e-05,0.293795356982221,3.54472089938875,0.000393029016766633
"b_range_pw3_b",0.91902180799268,0.206523648786414,4.4499591857547,8.58866098840672e-06,0.497132167123766,1.84864683633292,0.0645088249905483
"b_loss_pw1_b",-0.143907905531551,0.0237003894088546,-6.07196375759912,1.26355459428851e-09,0.0292372460678689,-4.92207457561136,8.56315681030395e-07
"b_loss_pw2_b",-0.0343093988328805,0.0213383612117203,-1.60787412362463,0.107862750155723,0.0301524314437998,-1.13786508052688,0.255176824406125
"b_loss_pw3_b",-0.0724207499247615,0.0298985095913865,-2.42221939870961,0.015426034000561,0.0304822330203637,-2.37583479781093,0.0175093000535933
"b_loss_pw1_treat_b",0.0264930202532901,0.0202616240774609,1.3075467273505,0.191027096033466,0.0306547426453677,0.864238873566062,0.387456681504062
"b_loss_pw2_treat_b",-0.0791247226423019,0.0287381895551531,-2.75329531425245,0.00589986502380935,0.0401060297498702,-1.97288844435064,0.0485082734651181
"b_loss_pw3_treat_b",0.0408680900092397,0.0434011058572179,0.941637066661126,0.346378485608734,0.0496693472929822,0.822803041243386,0.410620006941463
"b_packreplace_b",-0.642764305797921,0.116596061797097,-5.51274456350398,3.53280782405818e-08,0.179230149850614,-3.58625100929536,0.000335466068847934
"b_cellreplace_b",-0.643154352257317,0.11798266214233,-5.45126157164889,5.00137431469483e-08,0.181628008436667,-3.54105271424359,0.000398533946296187
"b_price_b",-0.933405409746918,0.0919670265348134,-10.1493485754221,0,0.152956300372836,-6.1024319199125,1.04466613137788e-09
"b_no_choice_c",-3.51892251284088,0.643993295205249,-5.46422228156794,4.64940645983347e-08,1.48563333449004,-2.36863459586331,0.0178538828045969
"b_mileage_c",-0.288777612334075,0.0371218460079237,-7.77918243269569,7.32747196252603e-15,0.0565796695041228,-5.10391126114711,3.32704331196254e-07
"b_range_pw1_c",4.34978123239231,0.606034276622252,7.1774508475592,7.10320691155175e-13,1.75941617848405,2.47228670827625,0.0134251798766047
"b_range_pw2_c",1.77433853059182,0.304096408063678,5.83478950603148,5.38585154252758e-09,0.484922790477924,3.65901245607179,0.000253189035179124
"b_range_pw3_c",1.49278375642308,0.199562821723031,7.48026983951391,7.41628980449605e-14,0.432364859126802,3.45260195159682,0.000555207623096798
"b_loss_pw1_c",-0.115484404644613,0.0282447156298991,-4.08870835018654,4.33781827473556e-05,0.0361181915474533,-3.1974027407459,0.00138671165890636
"b_loss_pw2_c",-0.138396225157931,0.0206999585405023,-6.68582136950371,2.29634089521369e-11,0.0338004979329123,-4.09450255533577,4.23075748008372e-05
"b_loss_pw3_c",-0.0721560624564378,0.0267885861277374,-2.69353754290624,0.00706981828439956,0.0271814117021251,-2.65461055691954,0.00794000162878206
"b_loss_pw1_treat_c",-0.0425381665321671,0.0375809723200124,-1.13190702385087,0.25767352541601,0.0518366572062566,-0.82061939995299,0.411863093836835
"b_loss_pw2_treat_c",-0.027412387214177,0.0291188328007202,-0.941397184488076,0.346501355899874,0.0444127579735703,-0.617218755711815,0.537090446236178
