Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_5c_refurb_treat_1
Model description                           : LC model with 5 classes, piecewise linear range and range loss, refurbishment x treatment interactions
Model run at                                : 2026-05-05 11:39:06.331425
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.122228
     reciprocal of condition number         : 2.78615e-06
Number of individuals                       : 1373
Number of rows in database                  : 8238
Number of modelled outcomes                 : 8238

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -7808.25
LL (whole model) at equal shares, LL(0)     : -11420.29
LL (whole model) at observed shares, LL(C)  : -11409.83
LL(final, whole model)                      : -7801.7
Rho-squared vs equal shares                  :  0.3169 
Adj.Rho-squared vs equal shares              :  0.3073 
Rho-squared vs observed shares               :  0.3162 
Adj.Rho-squared vs observed shares           :  0.308 
AIC                                         :  15821.39 
BIC                                         :  16586.19 

LL(0,Class_1)                    : -11420.29
LL(final,Class_1)                : -30065.3
LL(0,Class_2)                    : -11420.29
LL(final,Class_2)                : -10533.25
LL(0,Class_3)                    : -11420.29
LL(final,Class_3)                : -15613.1
LL(0,Class_4)                    : -11420.29
LL(final,Class_4)                : -17402.14
LL(0,Class_5)                    : -11420.29
LL(final,Class_5)                : -13479.67

Estimated parameters                        : 109
Time taken (hh:mm:ss)                       :  00:06:52.73 
     pre-estimation                         :  00:00:8.86 
     estimation                             :  00:00:15.86 
     post-estimation                        :  00:06:28.01 
Iterations                                  :  28  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)
b_no_choice_a                  6.4284e-04     1.78811  3.5951e-04
b_mileage_a                     -0.523874     0.16579    -3.15989
b_range_pw1_a                    1.658424     1.33629     1.24106
b_range_pw2_a                    1.838345     1.25666     1.46288
b_range_pw3_a                    0.980607     0.51605     1.90021
b_loss_pw1_a                    -0.229693     0.07857    -2.92333
b_loss_pw2_a                    -0.026259     0.07726    -0.33986
b_loss_pw3_a                    -0.121371     0.14178    -0.85602
b_packreplace_treat_a           -0.396070     0.77233    -0.51283
b_cellreplace_treat_a           -2.728798     2.79961    -0.97471
b_packreplace_a                 -0.727661     0.50670    -1.43607
b_cellreplace_a                 -0.392008     0.51214    -0.76543
b_price_a                       -1.046478     0.35446    -2.95229
b_no_choice_b                   -2.994086     0.43495    -6.88380
b_mileage_b                     -0.232997     0.03558    -6.54854
b_range_pw1_b                    0.943971     0.29863     3.16096
b_range_pw2_b                    1.130655     0.25169     4.49217
b_range_pw3_b                    0.806890     0.16674     4.83909
b_loss_pw1_b                    -0.133388     0.02049    -6.50976
b_loss_pw2_b                    -0.078917     0.01547    -5.10198
b_loss_pw3_b                    -0.053793     0.02261    -2.37943
b_packreplace_treat_b           -0.244588     0.19240    -1.27128
b_cellreplace_treat_b           -0.010987     0.18933    -0.05803
b_packreplace_b                 -0.522309     0.15536    -3.36202
b_cellreplace_b                 -0.642651     0.15652    -4.10584
b_price_b                       -0.926560     0.09351    -9.90849
b_no_choice_c                   -3.764610     0.62244    -6.04818
b_mileage_c                     -0.284953     0.03654    -7.79852
b_range_pw1_c                    4.050772     0.54592     7.42009
b_range_pw2_c                    1.785236     0.30572     5.83942
b_range_pw3_c                    1.436311     0.19938     7.20390
b_loss_pw1_c                    -0.135633     0.02211    -6.13376
b_loss_pw2_c                    -0.156038     0.01440   -10.83653
b_loss_pw3_c                    -0.060930     0.01983    -3.07334
b_packreplace_treat_c           -0.372974     0.21123    -1.76568
b_cellreplace_treat_c           -0.285124     0.20286    -1.40553
b_packreplace_c                 -0.185422     0.15112    -1.22694
b_cellreplace_c                 -0.151680     0.14944    -1.01497
b_price_c                       -1.035631     0.09080   -11.40588
b_no_choice_d                  -13.227648     1.18485   -11.16401
b_mileage_d                     -0.175259     0.05855    -2.99314
b_range_pw1_d                    0.319750     0.30501     1.04833
b_range_pw2_d                    0.954906     0.49333     1.93565
b_range_pw3_d                    0.951381     0.48814     1.94899
b_loss_pw1_d                    -0.073358     0.03605    -2.03488
b_loss_pw2_d                    -0.063274     0.02557    -2.47427
b_loss_pw3_d                    -0.120562     0.03240    -3.72100
b_packreplace_treat_d            0.014130     0.33802     0.04180
b_cellreplace_treat_d           -0.246140     0.34613    -0.71113
b_packreplace_d                  0.062976     0.24302     0.25914
b_cellreplace_d                  0.310506     0.26297     1.18078
b_price_d                       -4.203001     0.38507   -10.91494
b_no_choice_e                   -4.483008     0.60244    -7.44141
b_mileage_e                     -0.113242     0.03365    -3.36531
b_range_pw1_e                   -0.025200     0.30547    -0.08250
b_range_pw2_e                   -0.510753     0.24690    -2.06862
b_range_pw3_e                    0.145649     0.15941     0.91370
b_loss_pw1_e                    -0.038376     0.02349    -1.63361
b_loss_pw2_e                    -0.034224     0.01633    -2.09576
b_loss_pw3_e                    -0.008207     0.01708    -0.48052
b_packreplace_treat_e            0.196293     0.22027     0.89114
b_cellreplace_treat_e            0.443736     0.23414     1.89515
b_packreplace_e                 -0.294658     0.16910    -1.74254
b_cellreplace_e                 -0.552837     0.19056    -2.90107
b_price_e                       -0.205892     0.06712    -3.06768
delta_a                         -2.983021     0.64145    -4.65044
gamma_EV_rangeanxiety_a          1.323073     0.36651     3.60988
gamma_risktaker_a               -0.974381     0.25890    -3.76351
gamma_hhincome_a                 0.012447     0.02200     0.56571
gamma_ev_charge_a               -0.562866     0.25521    -2.20547
gamma_knowledge_ev_a            -0.193429     0.27661    -0.69928
gamma_evb_environment_agree_a   -0.379489     0.25184    -1.50686
gamma_evb_function_disagree_a   -0.915798     0.35507    -2.57920
gamma_hhveh_fuel_a               0.980940     0.36258     2.70544
gamma_veh_range_a                0.525057     0.11577     4.53524
gamma_suv_a                      0.183979     0.25214     0.72968
delta_b                         -1.003141     0.53046    -1.89108
gamma_EV_rangeanxiety_b          0.358276     0.26596     1.34713
gamma_risktaker_b               -0.842923     0.24408    -3.45348
gamma_hhincome_b                 0.024192     0.02017     1.19940
gamma_ev_charge_b               -0.566484     0.24128    -2.34787
gamma_knowledge_ev_b             0.158171     0.28284     0.55923
gamma_evb_environment_agree_b    0.712712     0.23323     3.05584
gamma_evb_function_disagree_b   -0.210178     0.27879    -0.75389
gamma_hhveh_fuel_b               0.153552     0.28005     0.54830
gamma_veh_range_b                0.293175     0.10336     2.83650
gamma_suv_b                     -0.041319     0.23877    -0.17305
delta_c                         -2.384630     0.59978    -3.97587
gamma_EV_rangeanxiety_c          0.812620     0.27599     2.94442
gamma_risktaker_c               -0.327355     0.23604    -1.38684
gamma_hhincome_c                 0.044938     0.01947     2.30861
gamma_ev_charge_c               -0.034169     0.23796    -0.14359
gamma_knowledge_ev_c             0.289577     0.28284     1.02383
gamma_evb_environment_agree_c    1.061448     0.23716     4.47559
gamma_evb_function_disagree_c    0.426618     0.26551     1.60679
gamma_hhveh_fuel_c               0.332244     0.28198     1.17824
gamma_veh_range_c                0.295377     0.10419     2.83505
gamma_suv_c                      0.147196     0.24760     0.59448
delta_d                         -1.061775     0.67806    -1.56590
