"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_range_pw3_a","b_loss_pw1_a","b_loss_pw2_a","b_loss_pw3_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_range_pw3_b","b_loss_pw1_b","b_loss_pw2_b","b_loss_pw3_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_pw1_c","b_range_pw2_c","b_range_pw3_c","b_loss_pw1_c","b_loss_pw2_c","b_loss_pw3_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_no_choice_d","b_mileage_d","b_range_pw1_d","b_range_pw2_d","b_range_pw3_d","b_loss_pw1_d","b_loss_pw2_d","b_loss_pw3_d","b_packreplace_d","b_cellreplace_d","b_price_d","b_no_choice_e","b_mileage_e","b_range_pw1_e","b_range_pw2_e","b_range_pw3_e","b_loss_pw1_e","b_loss_pw2_e","b_loss_pw3_e","b_packreplace_e","b_cellreplace_e","b_price_e","b_no_choice_f","b_mileage_f","b_range_pw1_f","b_range_pw2_f","b_range_pw3_f","b_loss_pw1_f","b_loss_pw2_f","b_loss_pw3_f","b_packreplace_f","b_cellreplace_f","b_price_f","delta_b","gamma_EV_rangeanxiety_b","gamma_risktaker_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_knowledge_ev_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_hhveh_fuel_b","gamma_veh_range_b","gamma_suv_b","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_knowledge_ev_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_c","delta_d","gamma_EV_rangeanxiety_d","gamma_risktaker_d","gamma_hhincome_d","gamma_ev_charge_d","gamma_knowledge_ev_d","gamma_evb_environment_agree_d","gamma_evb_function_disagree_d","gamma_hhveh_fuel_d","gamma_veh_range_d","gamma_suv_d","delta_e","gamma_EV_rangeanxiety_e","gamma_risktaker_e","gamma_hhincome_e","gamma_ev_charge_e","gamma_knowledge_ev_e","gamma_evb_environment_agree_e","gamma_evb_function_disagree_e","gamma_hhveh_fuel_e","gamma_veh_range_e","gamma_suv_e","delta_f","gamma_EV_rangeanxiety_f","gamma_risktaker_f","gamma_hhincome_f","gamma_ev_charge_f","gamma_knowledge_ev_f","gamma_evb_environment_agree_f","gamma_evb_function_disagree_f","gamma_hhveh_fuel_f","gamma_veh_range_f","gamma_suv_f","logLike"
-2.85149043433718,-0.344189197716963,-0.288714620159949,1.96028167263558,1.33281937737869,-0.216663156979725,-0.0385554944502813,0.0504189690158874,-0.888311923759126,-1.15256201536045,-1.59043994466405,-9.54699840750189,-0.284765037572471,0.281964588813452,0.705670202603108,0.728099419642638,-0.214827168189143,-0.227428778195865,-0.205567256468256,-0.185229576180756,-0.305202775837599,-0.990078947695246,-4.61312988465705,-0.142068819227576,-0.0472875671028477,-0.226741013957903,0.14021787978339,-0.0043990824462824,-0.0105849642400485,-0.0239272587887779,0.000861796682374222,-0.0680469639817258,-0.376437757809699,-5.26072371467108,-0.285801039691388,4.05169097564109,2.23609087888573,3.19376487050013,-0.118851574065421,-0.0627989322505541,-0.067127642410956,-0.0661169749431956,-0.0757147066104688,-2.32338861645614,-2.32777185674173,-0.217161887666264,2.05398179751596,1.03071138857644,1.33709563427269,-0.114249881617849,-0.0919795748738283,-0.0455017349071188,-0.25457884657016,-0.27968481331424,-1.47875066901571,-3.09688865485607,-0.241167412761304,0.648844655090071,0.995433881598484,0.515790470637222,-0.000506258032412926,-0.103032162417629,-0.0508251270086539,-3.31215155670807,-3.08223918248631,-0.274430465374421,0.82271297778162,-0.00797750568924374,0.626307998808001,0.0138979019353105,0.397306070208078,0.0999313942365318,1.173295111742,1.1134565291125,-0.648597192027852,-0.12862052950716,-0.232241328064422,2.54458160000886,-0.735250395345005,0.746057670488833,-0.00465794095870323,0.517581712453671,-0.175247475650966,0.84419759066455,0.862828623644554,-1.04557763007335,-0.298859283518958,-0.572365682528231,0.500865377395828,-0.25524236573128,0.135568377030821,0.00434696912384633,0.706368991844958,0.264590288845827,1.27924773279616,1.432055837384,-0.360312162965593,-0.012830999926614,-0.943349533618649,0.768372510634851,-0.0252487116719122,-0.0990176194581386,0.000188363565795068,0.32934564200148,0.302670195312831,0.875689170947331,0.930385370864207,-0.522230470520413,-0.040364952803113,-0.474112836781443,1.00232921589543,-0.166505423226235,0.768559383640118,0.0013071699856658,0.264597304881301,-0.0143363199974129,0.342089772056942,0.185210868558468,-1.16941120650902,-0.261143528366754,-0.130825290778837,-16669.6713522856
-2.84964042634941,-0.344501472047162,-0.290353450029766,1.95687510999596,1.33023753721262,-0.216875550127451,-0.0387530639615562,0.0502393570927743,-0.891390527730181,-1.15549996974034,-1.59145610182535,-9.53721556568041,-0.285910636129333,0.276748508248974,0.70468143173083,0.727594212814027,-0.214318082640548,-0.225845642486133,-0.204123065040966,-0.187380097650839,-0.306250362755878,-0.989566494761,-4.61058439704823,-0.142103322271353,-0.0483096912736936,-0.229522114770787,0.133894815023587,-0.00379792078072061,-0.0100344857778442,-0.023576333471428,-0.000304951340537433,-0.0668651692091035,-0.379418043582322,-5.25785322315169,-0.285056733040453,4.04966213080008,2.23945755288767,3.1982981891511,-0.118707125962865,-0.062694315097015,-0.0670688671526417,-0.0653365080671015,-0.0753342763102549,-2.32437856358242,-2.32679061101336,-0.217270595468099,2.0529294323915,1.02747974827943,1.33431758463205,-0.114228303425494,-0.0918717417545855,-0.0454019232716072,-0.254912931706653,-0.279689741864335,-1.47987153021728,-3.09551366163141,-0.241464368395243,0.647669356147168,0.989438390996481,0.515522934066451,-0.000423357529869356,-0.102589161594787,-0.050499320555175,-3.31138424734593,-3.0790890443228,-0.275215182977534,0.799107191014128,-0.0262097180089355,0.600626740145949,0.0134100244910247,0.368099336096747,0.07720649367073,1.15673253312301,1.09760279018186,-0.665047213449754,-0.135708572673975,-0.262733765713861,2.55345911059986,-0.731717297993559,0.758187392445403,-0.00291116909717719,0.530155308025182,-0.167573115357992,0.850786867044081,0.867527404818149,-1.04544253310636,-0.296552239278831,-0.562296561432006,0.503915388946,-0.252714118354883,0.140349848531265,0.00205974123074028,0.710977243909158,0.267916040626131,1.28278395094444,1.43496151732556,-0.359083190729766,-0.0118430765337789,-0.936447279373973,0.774256643363478,-0.020586871998019,-0.0883505985274311,-9.94323312644115e-05,0.337433603126674,0.308477423262114,0.880548844288446,0.935593423436043,-0.518058470041517,-0.0385707174304747,-0.465904901155274,0.995520690515304,-0.173230137799738,0.76407678925384,0.00356123721043195,0.259105940037876,-0.0213767779853659,0.337756801907208,0.181090673664303,-1.174995895406,-0.263790192039111,-0.136824758631678,-16651.3674193108
-2.84637410535466,-0.344103272748856,-0.293165581161403,1.95876628418843,1.3342452267142,-0.217102924149126,-0.0391359497260068,0.050006088350515,-0.891177059545514,-1.15743756031396,-1.58748126627713,-9.5177715956573,-0.285552890249145,0.258365061526005,0.705995129575832,0.731796608993861,-0.2128627636656,-0.224049824562746,-0.205192483026778,-0.189489324910599,-0.306044275759802,-0.985804812292806,-4.64219185345996,-0.140652939064906,-0.0631863110598354,-0.203511391453082,0.149373591853438,-0.00271672321709645,-0.00902691530352078,-0.0234884548116224,-0.00115909674576081,-0.0581979829908524,-0.401485325235505,-5.23652844647124,-0.284392901444579,4.00749771994845,2.28026964745312,3.23911553415975,-0.11807796233354,-0.0627384920454033,-0.0678862286142732,-0.0536372765406593,-0.0710046808971238,-2.30812518417561,-2.33152344235493,-0.216636993402676,2.04878796257491,1.02386273321924,1.33018303632133,-0.113603362196956,-0.091715373613537,-0.0457377473311629,-0.257906845932444,-0.285220047544167,-1.47915004562031,-3.09511855155388,-0.239173096842346,0.648744873193929,0.936494915134079,0.56420814217395,0.000774025930740361,-0.100006066729654,-0.0502586067826432,-3.28810867225947,-3.05042447550811,-0.28780238026489,0.761450419999721,-0.0236663031594109,0.589025838641682,0.014969094800978,0.338776505750048,0.0644479661712402,1.16284749266716,1.09408711821525,-0.653049059451307,-0.142530747887595,-0.307746258167408,2.49475189341832,-0.759043090590794,0.740618675618358,0.00630939588049828,0.479052662710875,-0.2095924216241,0.813879931839003,0.842782652872529,-1.07258734519742,-0.315991882893455,-0.600482048582152,0.596330249699401,-0.248155878040798,0.169506726400719,-0.0109707519404659,0.779469499966275,0.309411408027667,1.29500191840754,1.44722235433057,-0.363952818869496,0.00919270969671206,-0.867517212441886,0.798980443685328,-0.0198760205762121,-0.0800880561065891,-0.00358166851008555,0.353635802442763,0.318484217885908,0.885218466155479,0.929429770311708,-0.526676518719308,-0.032750993459948,-0.446702279705128,0.865610645246925,-0.203356045397253,0.72247877093711,0.0191176963262818,0.114371937929676,-0.117891323689866,0.303820837687654,0.163604604624484,-1.15682559902067,-0.309919028075292,-0.226470266547255,-16626.9844303704
-2.8667459078455,-0.353558596015064,-0.314625535519114,1.98880495441246,1.31100710947821,-0.218802461328362,-0.0370967489804218,0.0463210265143624,-0.895638854428706,-1.16657867199967,-1.56482052396209,-9.53062106875556,-0.285996477345478,0.238759883299292,0.717646310913688,0.747187522637506,-0.212916822639959,-0.224756731683944,-0.206688755443868,-0.18551030064919,-0.300939202892376,-0.986003228512464,-4.69713041773457,-0.140168884350345,-0.099499080021001,-0.211523434261438,0.155816762064782,-0.00309947923991488,-0.00936464132874325,-0.0234251758536356,0.00743846138124791,-0.0580915661398553,-0.39697563973664,-5.29705816716642,-0.281311111916334,3.93839999049674,2.29592559364822,3.25124652057698,-0.11592408459986,-0.0626379687395043,-0.0672657388451413,-0.0568394420473736,-0.066081381713074,-2.32299939949836,-2.36582129141022,-0.216135682819551,2.01947820286295,1.01939559523469,1.33802753620896,-0.11257235164516,-0.0922506329487197,-0.0448565744878438,-0.263582165711363,-0.291820403676803,-1.48329970102462,-3.15438419279585,-0.242205060111713,0.642732314476971,0.927603475874576,0.582686276640383,-0.00176029161667434,-0.0940564005206199,-0.0565257254310048,-3.25194886808008,-3.03459057374717,-0.306998176686937,0.622923172952705,-0.00339493374363999,0.596621124474308,0.0219760389915205,0.308432853098545,0.0440072615999527,1.17351436962786,1.08906776246081,-0.598938343456171,-0.160815486077306,-0.373874884193896,2.28932483606413,-0.743176151246316,0.735279939845247,0.0180938553231773,0.443283996468815,-0.243533666137733,0.823509968066489,0.842012482432513,-0.986711486674569,-0.352150928902114,-0.674872778050187,0.876001986983168,-0.307751157896952,0.172972740907033,-0.0162371246072281,0.784093448948298,0.278145705473113,1.26929622358348,1.42955797027464,-0.459467782063891,0.0170294808233363,-0.852769797385744,0.89264631132601,-0.0474445492259438,-0.0753011119404494,-0.00335991761720368,0.338710089684299,0.294245558778128,0.87653506398348,0.918341652665962,-0.550423533120208,-0.0352470946231963,-0.476613565380543,0.345843938377972,-0.118432907412253,0.696278733374782,0.0429306276710024,0.0184293490347106,-0.183082221992895,0.332856315783465,0.25317655770978,-0.953039345255538,-0.380269585902959,-0.36038895831242,-16616.4696322987
-2.91350452401609,-0.359244080595672,-0.302955289721866,1.97744964100065,1.32071729846007,-0.21903472122892,-0.0376886526691219,0.0475511975640355,-0.92225128672208,-1.17555168171049,-1.57838223934233,-9.45321451788358,-0.285856257138847,0.253681094518005,0.731550076275716,0.763067319363609,-0.212723108141419,-0.223504617048732,-0.207871376322667,-0.182866259111205,-0.296857865661308,-0.979645682739234,-4.65297331609067,-0.142385157187652,-0.0892681397256068,-0.223462680917954,0.160080283887184,-0.00289557513954872,-0.010596310502488,-0.0231644357886145,0.011677601066988,-0.0611666323877174,-0.374266861744432,-5.48618903677653,-0.277588420118997,3.93083257246352,2.26545405280632,3.30074863911029,-0.115904140091214,-0.062578023675003,-0.0677225911112695,-0.0762240394340891,-0.0798426376137034,-2.40907739198855,-2.38730427260004,-0.213309349235028,2.01785732987148,1.00529287038528,1.36557330399607,-0.111434191442777,-0.091619036592305,-0.0451310903483532,-0.262466693774785,-0.287685579993265,-1.50832213743732,-3.50143814395541,-0.279290114692,0.523202654444518,1.1688652025332,0.457350506544764,-0.0120743408945274,-0.10136943602284,-0.0481315890859352,-3.26048743512693,-3.11005497691945,-0.290649959158459,0.496859179096736,0.0226176339407685,0.596159340015128,0.0240270079071117,0.303078975695444,0.0551513475865998,1.18405949240164,1.10594654472018,-0.549461071418058,-0.16466005691282,-0.361271141824446,2.15460892251324,-0.71776251301207,0.7330249716476,0.0203883091247427,0.442680457246545,-0.233450306556996,0.855260458197524,0.861163725726372,-0.917092120551019,-0.360271595297317,-0.675197277077817,0.783236869171366,-0.289262278366364,0.148814648054702,-0.0121317293489254,0.761432686675917,0.271628177085966,1.27630942245767,1.43966411393785,-0.436022856544658,0.00893545204997509,-0.861280655078312,0.811262275757914,-0.0390794060714919,-0.0611374074793681,-0.000904446269606842,0.327592658408351,0.291522808054068,0.870877407457699,0.923895856009067,-0.517484970262002,-0.0377815286840173,-0.491778113732719,0.20859735346348,-0.139424582647712,0.608046072038935,0.0457626073912241,0.0285283179695218,-0.143074700416913,0.379561441834168,0.299423169613338,-0.970514042196203,-0.360295756750008,-0.335360608982013,-16613.5694854686
-2.80350131575984,-0.347217241400683,-0.263758855218959,1.92844650591718,1.31021419859657,-0.215782695773461,-0.0420812752276995,0.0484086340800702,-0.892506250543377,-1.16679010608547,-1.56658351632944,-9.44476346107332,-0.286833303988472,0.252401440788762,0.75029553979536,0.774942571909112,-0.212596362957992,-0.223694743476029,-0.208631072411777,-0.179618097732629,-0.291347953188131,-0.98114219791582,-4.66827476407068,-0.144891421294889,-0.113783673717124,-0.218344564571688,0.165840970637984,-0.0025503843843916,-0.0102029972346112,-0.0231719340173751,0.00966707842054883,-0.0613413094435501,-0.365965357985402,-5.53953603752572,-0.273633412852613,3.84989479587794,2.22506191685167,3.26406739126478,-0.113995994384063,-0.0621547246175173,-0.0663360178286902,-0.0709056448746196,-0.0810314612025715,-2.41298101950822,-2.38545743095274,-0.212210675563151,2.00533970879066,1.00920469271869,1.36477521769313,-0.110555885622525,-0.0915777327440247,-0.0438741079329914,-0.267072139389842,-0.28781830164891,-1.50851297862861,-3.5303527546342,-0.255307547369176,0.480153203005922,1.09308345033908,0.494854177892369,-0.0117119085966973,-0.100657170684397,-0.0520810249810915,-3.21534492024669,-3.08111191557283,-0.319996041802187,0.477761721883359,0.0259082247575054,0.600428110051116,0.0249901301032899,0.3130662942949,0.0515066462075005,1.17411841971249,1.09401435719247,-0.54783031941976,-0.16571840550094,-0.370740943600765,2.09350956345206,-0.70853474468195,0.748153868682798,0.0223652994024831,0.446197345717166,-0.230402078448521,0.830287623144142,0.859622251574364,-0.932885639583537,-0.358054977332134,-0.686122043584922,0.905708693228263,-0.322898229047504,0.144766297904538,-0.0152455093132119,0.763815184120488,0.274018874221098,1.26080819409827,1.41951978974469,-0.437165248304059,0.00626078846315553,-0.85134231108241,0.819177446086232,-0.0364296219131406,-0.0616723983932487,-0.00249748633430164,0.336838995289298,0.310003073232535,0.863872932389902,0.914844635029966,-0.517221269025013,-0.0348379815244482,-0.488332458788904,0.0547592592700792,-0.0479311577294597,0.679727002201989,0.05158571422472,0.0179433721068137,-0.222015521753752,0.376491122633115,0.261410094947371,-0.916406119315259,-0.391208433292675,-0.351006946944311,-16612.0426644566
-2.91758203806834,-0.354742489094867,-0.279980242699553,1.92966627254371,1.33107691811959,-0.220127594482433,-0.0385278619112562,0.0478961597337475,-0.942665231764081,-1.17650002015968,-1.58760326500398,-9.38910982115885,-0.286406005691274,0.261394109022531,0.762221671414291,0.785077027138472,-0.212209726252376,-0.222626326477387,-0.208810620144501,-0.177132134430902,-0.289186428043558,-0.977478560439217,-4.61523691926201,-0.145491663247226,-0.106498631797345,-0.215533474247241,0.173170417834486,-0.00223240262657071,-0.0106797551459597,-0.0228637980454894,0.0103722962749477,-0.0646986462789486,-0.350909315308847,-5.64411863538552,-0.270554100421262,3.82207285381032,2.18423249584473,3.24419751579425,-0.113189259667676,-0.0616966031849802,-0.0666835486171784,-0.0766582721630036,-0.0818646815555465,-2.45523544540792,-2.38150826345315,-0.209934272912233,2.0097931725318,0.997592984377496,1.37698046924764,-0.110109961110168,-0.091018470835608,-0.0440005524337489,-0.266898165821842,-0.288814109742506,-1.51947346864628,-3.69124605347496,-0.284947182193375,0.450589240602128,1.22850749352056,0.416910278635237,-0.0170434372225778,-0.105020683127679,-0.0492710250057145,-3.24900909709229,-3.1210890328901,-0.29949263625946,0.453892597866183,0.0308896670237625,0.601605520968946,0.0248374760593464,0.309667548446651,0.0564490300403097,1.18284241499128,1.10646031259134,-0.545932957666755,-0.16231713723667,-0.35457222408969,2.07932790427985,-0.710952232656445,0.748429887444344,0.0223762174008604,0.44243170952877,-0.23360088550631,0.848394308128979,0.862107231875229,-0.918603088431662,-0.361901018182443,-0.667933794895012,0.873349314080123,-0.31144078720391,0.139306805100888,-0.0143311989903167,0.751383222908482,0.272086748330136,1.26910682122681,1.42021285150495,-0.432775605308103,0.00696196166838626,-0.83862910937582,0.795818272722889,-0.0299169635885654,-0.0504722678249309,-0.00196576523719989,0.329739085736692,0.304790330002885,0.868703942247023,0.92292573378453,-0.516933324329335,-0.0332848048771589,-0.48927139430976,0.0842374617659263,-0.127902514430584,0.595485157869053,0.0493512750218882,0.0279889596655161,-0.156165605120466,0.389821788342463,0.28884886221415,-0.960732703167552,-0.361119541981055,-0.302625571495697,-16610.9696456435
-2.77461979712799,-0.344692741204198,-0.260744779716712,1.91749852043135,1.30695156292971,-0.214688887141106,-0.0437032395925437,0.0480146464661445,-0.890628386252118,-1.16168719916805,-1.56268610048836,-9.37048353846461,-0.287246713661675,0.26310288264966,0.778909071881848,0.79511197067512,-0.212033693064701,-0.222643328573801,-0.209376900021463,-0.176286946461415,-0.287028483794196,-0.975632548260747,-4.61672712718535,-0.147319268882442,-0.123261211683886,-0.212451942241746,0.174582927123132,-0.00196601549362373,-0.0103779204695547,-0.0229890028865399,0.00657964627957928,-0.0672226149624996,-0.343141932358201,-5.67685960716456,-0.267693709285798,3.76227645576514,2.14948555862029,3.18446530954403,-0.1111980544743,-0.0614765759848219,-0.0657532670436052,-0.0715804541662101,-0.0790137300714883,-2.45567092350334,-2.3693010867606,-0.209670271143372,2.00548712422847,0.998890170083922,1.37189124771361,-0.10969023807278,-0.0910566557704619,-0.0429986618549197,-0.270798855585369,-0.289022915317238,-1.51493314838887,-3.70555080657515,-0.259907987925045,0.424638531930528,1.14002340744056,0.479594355234892,-0.0159108209482301,-0.104267484690434,-0.0506843804257473,-3.21641066462302,-3.11324053813662,-0.335199024483722,0.458904258194633,0.0308026078078692,0.603359505585657,0.0254235365504706,0.31657683194518,0.0542630748170026,1.17597881322551,1.10447206068361,-0.544869010091057,-0.16471444121871,-0.372618544231623,2.04944468272935,-0.706784393240201,0.760184683509119,0.0236328797975123,0.446613497489194,-0.228139871658346,0.831495476855954,0.867146846737994,-0.934676214793451,-0.360295803500495,-0.68904526335964,0.968125229685983,-0.335345930918754,0.13172677435111,-0.0163275062278797,0.751544607446831,0.27515474568857,1.2616235088052,1.41180269299579,-0.43232657949313,0.00259162654873052,-0.837120822294497,0.822181542628123,-0.0360148386422907,-0.0567226853776501,-0.00308722848808058,0.33537473031288,0.319512885957647,0.865636641676605,0.922065150260843,-0.517770802120565,-0.0336162897393735,-0.49582550239606,0.00895754756528412,-0.0359676390217868,0.68380747907634,0.0533563383899098,0.0197700404121908,-0.247003018902177,0.381112976642291,0.276845880316203,-0.908227745028778,-0.394731793491398,-0.355963668112018,-16610.1407656998
-2.95017739566871,-0.357584835073747,-0.292323583140971,1.92806516033673,1.33351828984704,-0.221828774911652,-0.0383130401809619,0.04706869527069,-0.957063101583045,-1.18115183145722,-1.58811805095132,-9.32928835303957,-0.286509197924389,0.266793180921942,0.790613200199261,0.803573226760579,-0.211716436516704,-0.221722705976105,-0.209314031661122,-0.175007593134146,-0.286808390801491,-0.972355211939605,-4.56946737217661,-0.147265485352116,-0.118085576557328,-0.206424308711706,0.18081977295682,-0.00176100015209603,-0.0107407731095637,-0.022604285274601,0.0076726900970229,-0.0700610124500311,-0.331738936006778,-5.74562921545992,-0.265591559846276,3.73751030512775,2.11346238720099,3.14599063887695,-0.110264173333297,-0.061174698138184,-0.0659888122129847,-0.0748876086677894,-0.0772923803600033,-2.48309747583639,-2.36136311860491,-0.207908777657361,2.01117364336243,0.990017242337756,1.37879490707827,-0.109636941175578,-0.0907754785264118,-0.0431606849447113,-0.268781855588168,-0.289976600962057,-1.52171943417389,-3.75192009422731,-0.287709740517912,0.443000810228042,1.2300059747046,0.414049250230651,-0.0184572722013412,-0.10667871032944,-0.0502851578331854,-3.25411444584259,-3.12422067919841,-0.307117387061593,0.445949438048173,0.0325990244835193,0.606834702179525,0.0252206591585253,0.313946721399902,0.0557655251479022,1.18345533025257,1.1112870422679,-0.549977666934575,-0.161117596731624,-0.356788192059351,2.04839265251869,-0.712280780798828,0.762591048567967,0.0235518487177063,0.441427049695711,-0.234680231357198,0.844813099593025,0.866346306031953,-0.927507381876854,-0.36336774335442,-0.672169339731891,0.955740904300026,-0.329785113747951,0.128628806987911,-0.0159582047089688,0.7432008014533,0.270881760931703,1.26862474503909,1.4091564572538,-0.430360182894717,0.00299703022436238,-0.821384103057021,0.80693237803631,-0.0315685122102846,-0.0446937206753559,-0.00252701918521556,0.329165509303611,0.309646798980671,0.870254578033821,0.925245551218687,-0.520820883748034,-0.0324012903256164,-0.495733371686914,0.0353740906496192,-0.127930350325884,0.584321558591061,0.0504021345146233,0.0273974818507503,-0.152778813881695,0.394916730875585,0.28549896215595,-0.961057682643456,-0.360711843805647,-0.270725142510503,-16609.4509747513
-2.75636745919958,-0.34591820082448,-0.268366527921018,1.92241147428243,1.30326915956371,-0.214036488877929,-0.0448369875228504,0.0474577421303506,-0.889189851077639,-1.15866056191204,-1.55452900664755,-9.30457067723065,-0.287212422461338,0.272186303423936,0.805076967647225,0.813608188570118,-0.211513847591979,-0.221668693840285,-0.209764647545441,-0.175601234744926,-0.285733846632749,-0.968906914931433,-4.56584124943022,-0.148780770977697,-0.131100755339633,-0.204695626860542,0.180933994077045,-0.0015120012286968,-0.0104848261342055,-0.0228065883201161,0.002721106719198,-0.0734165518366055,-0.324442045890689,-5.770272660168,-0.263299383540875,3.69311651295616,2.08484164140237,3.08535964080612,-0.10853079097857,-0.0610042175934664,-0.0653756169025387,-0.0699361764086971,-0.0733201362374452,-2.48409509021667,-2.34514103811519,-0.208042572759297,2.00881721654336,0.990493571905367,1.37049763884345,-0.109281726138604,-0.0909444856073009,-0.0423183112641842,-0.273528793955366,-0.290689180592771,-1.51371310672497,-3.8312987046459,-0.263760908949212,0.401425671318611,1.16966847972435,0.480624766873682,-0.0183624631604694,-0.106697728573111,-0.0493138907660434,-3.2313456540559,-3.15210181884001,-0.35392981342094,0.45478433031922,0.0333799989769596,0.606348554910536,0.0257233995972362,0.317714202645909,0.0559698828515661,1.17660070150469,1.11086376584479,-0.54650965650104,-0.164208088682543,-0.377591331528778,2.02598735332052,-0.707545962577667,0.770093502247047,0.0245871930483549,0.44482617002239,-0.227851579619797,0.831667466036346,0.870788264362418,-0.940772288653513,-0.362206333411689,-0.695246263678202,1.02692381135133,-0.345930063713156,0.119215414209334,-0.0174455039133325,0.742638695038535,0.276389832834288,1.26317866047744,1.40238425984771,-0.426787568339066,-0.00112003013116782,-0.822718088538473,0.833495297598865,-0.0381602213576444,-0.0544763879760078,-0.00349496650923394,0.333240647227901,0.326391003098536,0.867772336995198,0.924360374608127,-0.519374714781203,-0.0339868775453842,-0.502903965450131,0.0102818884725653,-0.0235306179734825,0.69071174570317,0.0539904319139994,0.0237901285654836,-0.274415049905043,0.380938749320544,0.299834788063541,-0.901651705348058,-0.400170009110427,-0.373254050500789,-16608.8912152144
