Model run by wuxiatian using Apollo 0.3.4 on R 4.4.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-01 22:56:49.920892
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.525867
     reciprocal of condition number         : 7.59992e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -17055.26
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -16643.01
Rho-squared vs equal shares                  :  0.3138 
Adj.Rho-squared vs equal shares              :  0.3088 
Rho-squared vs observed shares               :  0.3077 
Adj.Rho-squared vs observed shares           :  0.3034 
AIC                                         :  33528.03 
BIC                                         :  34468.17 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -60708.68
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -30779.94
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -27387.32
LL(0,Class_4)                    : -24254.61
LL(final,Class_4)                : -31471.52
LL(0,Class_5)                    : -24254.61
LL(final,Class_5)                : -23678.67
LL(0,Class_6)                    : -24254.61
LL(final,Class_6)                : -29417.75

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:25:38.37 
     pre-estimation                         :  00:00:58.07 
     estimation                             :  00:02:16.16 
     post-estimation                        :  00:22:24.13 
Iterations                                  :  56  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)
b_no_choice_a                   -2.851490    1.055705   -2.701030    0.006913
b_mileage_a                     -0.344189    0.141256   -2.436627    0.014825
b_range_pw1_a                   -0.288715    0.876699   -0.329320    0.741914
b_range_pw2_a                    1.960282    0.861266    2.276047    0.022843
b_range_pw3_a                    1.332819    0.478078    2.787872    0.005306
b_loss_pw1_a                    -0.216663    0.060023   -3.609659  3.0660e-04
b_loss_pw2_a                    -0.038555    0.055388   -0.696100    0.486366
b_loss_pw3_a                     0.050419    0.072428    0.696124    0.486351
b_packreplace_a                 -0.888312    0.345265   -2.572840    0.010087
b_cellreplace_a                 -1.152562    0.351943   -3.274850    0.001057
b_price_a                       -1.590440    0.412848   -3.852359  1.1699e-04
b_no_choice_b                   -9.546998    0.522970  -18.255358    0.000000
b_mileage_b                     -0.284765    0.030525   -9.329037    0.000000
b_range_pw1_b                    0.281965    0.224483    1.256062    0.209094
b_range_pw2_b                    0.705670    0.229066    3.080638    0.002066
b_range_pw3_b                    0.728099    0.142985    5.092154   3.540e-07
b_loss_pw1_b                    -0.214827    0.020482  -10.488555    0.000000
b_loss_pw2_b                    -0.227429    0.015569  -14.608211    0.000000
b_loss_pw3_b                    -0.205567    0.026250   -7.831174   4.885e-15
b_packreplace_b                 -0.185230    0.092898   -1.993908    0.046162
b_cellreplace_b                 -0.305203    0.093011   -3.281363    0.001033
b_price_b                       -0.990079    0.080889  -12.239913    0.000000
b_no_choice_c                   -4.613130    0.402773  -11.453412    0.000000
b_mileage_c                     -0.142069    0.022282   -6.375871   1.819e-10
b_range_pw1_c                   -0.047288    0.157587   -0.300074    0.764121
b_range_pw2_c                   -0.226741    0.160532   -1.412438    0.157821
b_range_pw3_c                    0.140218    0.113408    1.236402    0.216309
b_loss_pw1_c                    -0.004399    0.014212   -0.309538    0.756912
