Model run by wuxiatian using Apollo 0.3.4 on R 4.4.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-05-28 17:46:22.938038
Estimation method                           : bgw
Model diagnosis                             : Relative function convergence
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.39384
     reciprocal of condition number         : 4.86717e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -16861.68
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -16537.86
Rho-squared vs equal shares                  :  0.3182 
Adj.Rho-squared vs equal shares              :  0.3132 
Rho-squared vs observed shares               :  0.312 
Adj.Rho-squared vs observed shares           :  0.3078 
AIC                                         :  33317.72 
BIC                                         :  34257.86 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -63908.32
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -23322.65
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -35829.83
LL(0,Class_4)                    : -24254.61
LL(final,Class_4)                : -37317.05
LL(0,Class_5)                    : -24254.61
LL(final,Class_5)                : -31075.07
LL(0,Class_6)                    : -24254.61
LL(final,Class_6)                : -26200.62

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:33:10.67 
     pre-estimation                         :  00:00:34.27 
     estimation                             :  00:00:57.62 
     post-estimation                        :  00:31:38.78 
Iterations                                  :  23  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.
b_no_choice_a                   -2.577253    1.244749
b_mileage_a                     -0.471858    0.164219
b_range_pw1_a                    0.114448    1.028547
b_range_pw2_a                    1.883997    0.980821
b_range_pw3_a                    1.347190    0.488317
b_loss_pw1_a                    -0.237215    0.067876
b_loss_pw2_a                    -0.043829    0.064321
b_loss_pw3_a                     0.034541    0.090110
b_packreplace_a                 -0.932079    0.381615
b_cellreplace_a                 -1.073746    0.383710
b_price_a                       -1.467242    0.388880
b_no_choice_b                   -2.513330    0.297372
b_mileage_b                     -0.219799    0.026080
b_range_pw1_b                    1.426430    0.218682
b_range_pw2_b                    1.139735    0.182082
b_range_pw3_b                    1.145397    0.120571
b_loss_pw1_b                    -0.093482    0.015075
b_loss_pw2_b                    -0.091063    0.011272
b_loss_pw3_b                    -0.047472    0.016842
b_packreplace_b                 -0.694625    0.081850
b_cellreplace_b                 -0.731724    0.083776
b_price_b                       -1.205610    0.068468
b_no_choice_c                   -1.967569    0.523195
b_mileage_c                     -0.309977    0.042794
b_range_pw1_c                    5.741787    0.379871
b_range_pw2_c                    3.089092    0.371228
b_range_pw3_c                    3.779486    0.468104
b_loss_pw1_c                    -0.129241    0.024468
b_loss_pw2_c                    -0.101783    0.016021
b_loss_pw3_c                    -0.069486    0.019914
b_packreplace_c                 -0.079988    0.124999
b_cellreplace_c                 -0.099285    0.120846
b_price_c                       -1.483653    0.154751
b_no_choice_d                  -13.846471    1.072549
b_mileage_d                     -0.229022    0.042872
b_range_pw1_d                    1.127603    0.282942
b_range_pw2_d                    0.707256    0.315401
b_range_pw3_d                    0.794379    0.345598
b_loss_pw1_d                    -0.084007    0.027524
b_loss_pw2_d                    -0.068824    0.016963
