Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-08 18:49:00.387496
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.39362
     reciprocal of condition number         : 4.84466e-06
Number of individuals                       : 2916
Number of rows in database                  : 17496
Number of modelled outcomes                 : 17496

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -16551.37
LL (whole model) at equal shares, LL(0)     : -24254.61
LL (whole model) at observed shares, LL(C)  : -24038.9
LL(final, whole model)                      : -16537.86
Rho-squared vs equal shares                  :  0.3182 
Adj.Rho-squared vs equal shares              :  0.3132 
Rho-squared vs observed shares               :  0.312 
Adj.Rho-squared vs observed shares           :  0.3078 
AIC                                         :  33317.72 
BIC                                         :  34257.86 

LL(0,Class_1)                    : -24254.61
LL(final,Class_1)                : -63907.52
LL(0,Class_2)                    : -24254.61
LL(final,Class_2)                : -31075.07
LL(0,Class_3)                    : -24254.61
LL(final,Class_3)                : -35830.22
LL(0,Class_4)                    : -24254.61
LL(final,Class_4)                : -26200.61
LL(0,Class_5)                    : -24254.61
LL(final,Class_5)                : -23322.57
LL(0,Class_6)                    : -24254.61
LL(final,Class_6)                : -37317.31

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:08:17.6 
     pre-estimation                         :  00:00:14.56 
     estimation                             :  00:00:8.63 
     post-estimation                        :  00:07:54.42 
Iterations                                  :  12  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)
b_no_choice_a                   -2.577298    1.244694   -2.070627    0.038394
b_mileage_a                     -0.471817    0.164212   -2.873221    0.004063
b_range_pw1_a                    0.114348    1.028526    0.111177    0.911476
b_range_pw2_a                    1.884188    0.980807    1.921059    0.054724
b_range_pw3_a                    1.347193    0.488309    2.758894    0.005800
b_loss_pw1_a                    -0.237203    0.067873   -3.494793  4.7443e-04
b_loss_pw2_a                    -0.043827    0.064317   -0.681428    0.495601
b_loss_pw3_a                     0.034544    0.090105    0.383377    0.701440
b_packreplace_a                 -0.932055    0.381595   -2.442525    0.014585
b_cellreplace_a                 -1.073841    0.383709   -2.798578    0.005133
b_price_a                       -1.467327    0.388880   -3.773208  1.6116e-04
b_no_choice_b                   -9.819499    0.612777  -16.024584    0.000000
b_mileage_b                     -0.300211    0.033769   -8.890015    0.000000
b_range_pw1_b                    0.468131    0.259582    1.803404    0.071325
b_range_pw2_b                    0.472035    0.236828    1.993156    0.046244
b_range_pw3_b                    0.544584    0.144642    3.765048  1.6652e-04
b_loss_pw1_b                    -0.236394    0.023479  -10.068504    0.000000
b_loss_pw2_b                    -0.238609    0.016590  -14.382710    0.000000
b_loss_pw3_b                    -0.219719    0.028954   -7.588413   3.242e-14
b_packreplace_b                 -0.281000    0.100837   -2.786660    0.005325
b_cellreplace_b                 -0.384825    0.101410   -3.794736  1.4780e-04
b_price_b                       -1.024769    0.084120  -12.182229    0.000000
b_no_choice_c                   -1.967669    0.523204   -3.760807  1.6937e-04
b_mileage_c                     -0.309980    0.042795   -7.243392   4.376e-13
b_range_pw1_c                    5.741811    0.379875   15.115010    0.000000
b_range_pw2_c                    3.089125    0.371236    8.321189    0.000000
b_range_pw3_c                    3.779573    0.468114    8.074052   6.661e-16
b_loss_pw1_c                    -0.129242    0.024468   -5.282049   1.277e-07
b_loss_pw2_c                    -0.101781    0.016021   -6.352845   2.114e-10
b_loss_pw3_c                    -0.069486    0.019914   -3.489270  4.8434e-04
b_packreplace_c                 -0.079977    0.125000   -0.639812    0.522295
b_cellreplace_c                 -0.099289    0.120847   -0.821606    0.411301
b_price_c                       -1.483684    0.154756   -9.587225    0.000000
b_no_choice_d                   -3.490735    0.357040   -9.776866    0.000000
b_mileage_d                     -0.143314    0.022235   -6.445565   1.152e-10
b_range_pw1_d                    0.177199    0.185876    0.953319    0.340429
b_range_pw2_d                   -0.144928    0.154396   -0.938678    0.347896
b_range_pw3_d                    0.198090    0.102305    1.936283    0.052833
b_loss_pw1_d                     0.003754    0.014413    0.260437    0.794526
b_loss_pw2_d                    -0.018162    0.009081   -1.999958    0.045505
b_loss_pw3_d                    -0.019920    0.010548   -1.888516    0.058957
b_packreplace_d                 -0.383672    0.071386   -5.374588   7.676e-08
b_cellreplace_d                 -0.469729    0.072171   -6.508586   7.586e-11
b_price_d                       -0.144002    0.046088   -3.124516    0.001781
b_no_choice_e                   -2.513293    0.297373   -8.451666    0.000000
b_mileage_e                     -0.219803    0.026080   -8.427887    0.000000
b_range_pw1_e                    1.426487    0.218686    6.523004   6.891e-11
b_range_pw2_e                    1.139716    0.182082    6.259350   3.866e-10
b_range_pw3_e                    1.145374    0.120570    9.499635    0.000000
b_loss_pw1_e                    -0.093482    0.015075   -6.200958   5.612e-10
b_loss_pw2_e                    -0.091064    0.011272   -8.078929   6.661e-16
b_loss_pw3_e                    -0.047473    0.016842   -2.818750    0.004821
b_packreplace_e                 -0.694629    0.081850   -8.486634    0.000000
b_cellreplace_e                 -0.731725    0.083776   -8.734331    0.000000
b_price_e                       -1.205600    0.068468  -17.608210    0.000000
b_no_choice_f                  -13.846592    1.072572  -12.909708    0.000000
b_mileage_f                     -0.229016    0.042872   -5.341875   9.199e-08
b_range_pw1_f                    1.127578    0.282941    3.985203   6.742e-05
b_range_pw2_f                    0.707245    0.315403    2.242352    0.024939
b_range_pw3_f                    0.794375    0.345601    2.298529    0.021532
b_loss_pw1_f                    -0.084005    0.027525   -3.051978    0.002273
b_loss_pw2_f                    -0.068825    0.016963   -4.057388   4.962e-05
b_loss_pw3_f                    -0.067492    0.019484   -3.463996  5.3221e-04
b_packreplace_f                  0.040997    0.130762    0.313526    0.753881
b_cellreplace_f                  0.109464    0.128477    0.852013    0.394207
b_price_f                       -4.016573    0.269263  -14.916915    0.000000
delta_a                          0.000000          NA          NA          NA
gamma_EV_rangeanxiety_a          0.000000          NA          NA          NA
gamma_risktaker_a                0.000000          NA          NA          NA
gamma_hhincome_a                 0.000000          NA          NA          NA
gamma_ev_charge_a                0.000000          NA          NA          NA
gamma_knowledge_ev_a             0.000000          NA          NA          NA
gamma_evb_environment_agree_a    0.000000          NA          NA          NA
gamma_evb_function_disagree_a    0.000000          NA          NA          NA
gamma_hhveh_fuel_a               0.000000          NA          NA          NA
gamma_veh_range_a                0.000000          NA          NA          NA
gamma_suv_a                      0.000000          NA          NA          NA
delta_b                          0.866707    0.458257    1.891309    0.058583
gamma_EV_rangeanxiety_b         -0.021244    0.250822   -0.084698    0.932502
gamma_risktaker_b                0.692176    0.190200    3.639199  2.7349e-04
gamma_hhincome_b                 0.010806    0.015283    0.707097    0.479506
gamma_ev_charge_b                0.390642    0.182576    2.139614    0.032386
gamma_knowledge_ev_b             0.145631    0.189728    0.767580    0.442737
gamma_evb_environment_agree_b    1.208677    0.179252    6.742902   1.553e-11
gamma_evb_function_disagree_b    0.986754    0.268540    3.674506  2.3831e-04
gamma_hhveh_fuel_b              -0.628740    0.258452   -2.432717    0.014986
gamma_veh_range_b               -0.173388    0.083200   -2.083992    0.037161
gamma_suv_b                     -0.202637    0.185225   -1.094007    0.273952
delta_c                         -0.272021    0.512931   -0.530326    0.595886
