"b_no_choice_a","b_mileage_a","b_range_pw1_a","b_range_pw2_a","b_range_pw3_a","b_loss_pw1_a","b_loss_pw2_a","b_loss_pw3_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_pw1_b","b_range_pw2_b","b_range_pw3_b","b_loss_pw1_b","b_loss_pw2_b","b_loss_pw3_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_pw1_c","b_range_pw2_c","b_range_pw3_c","b_loss_pw1_c","b_loss_pw2_c","b_loss_pw3_c","b_packreplace_c","b_cellreplace_c","b_price_c","b_no_choice_d","b_mileage_d","b_range_pw1_d","b_range_pw2_d","b_range_pw3_d","b_loss_pw1_d","b_loss_pw2_d","b_loss_pw3_d","b_packreplace_d","b_cellreplace_d","b_price_d","b_no_choice_e","b_mileage_e","b_range_pw1_e","b_range_pw2_e","b_range_pw3_e","b_loss_pw1_e","b_loss_pw2_e","b_loss_pw3_e","b_packreplace_e","b_cellreplace_e","b_price_e","delta_a","gamma_EV_rangeanxiety_a","gamma_risktaker_a","gamma_hhincome_a","gamma_ev_charge_a","gamma_knowledge_ev_a","gamma_evb_environment_agree_a","gamma_evb_function_disagree_a","gamma_hhveh_fuel_a","gamma_veh_range_a","gamma_suv_a","gamma_info_treat_a","delta_b","gamma_EV_rangeanxiety_b","gamma_risktaker_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_knowledge_ev_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_hhveh_fuel_b","gamma_veh_range_b","gamma_suv_b","gamma_info_treat_b","delta_c","gamma_EV_rangeanxiety_c","gamma_risktaker_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_knowledge_ev_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_hhveh_fuel_c","gamma_veh_range_c","gamma_suv_c","gamma_info_treat_c","delta_d","gamma_EV_rangeanxiety_d","gamma_risktaker_d","gamma_hhincome_d","gamma_ev_charge_d","gamma_knowledge_ev_d","gamma_evb_environment_agree_d","gamma_evb_function_disagree_d","gamma_hhveh_fuel_d","gamma_veh_range_d","gamma_suv_d","gamma_info_treat_d","logLike"
-0.303823364348609,-0.551550113528329,1.70547994572503,1.1402128223573,0.848443403511078,-0.237610982486898,-0.0729695781742606,-0.0958109729761285,-0.956817849906246,-1.27302372875353,-0.959540386814598,-2.74342629753289,-0.21640617743344,1.2943604106884,1.17268856740901,0.7463896045615,-0.117135841327936,-0.0725376523640855,-0.0544239429281928,-0.56716241408903,-0.597057531465247,-1.15253110155763,-5.82821023603936,-0.252688332228337,2.29124550489047,1.43719826237594,1.30483270354263,-0.142004997428583,-0.144365188486532,-0.0671338122203036,-0.348175610105158,-0.298990754119174,-1.21148705415508,-4.5986572155769,-0.0973806579443998,0.0875757997808477,-0.442895260806831,0.228199702274234,-0.0215760201146404,-0.00608252505588056,-0.0243263817634395,-0.0649863584881682,-0.135593310514324,-0.487689749761872,-0.0136497502215207,0.0915153193287551,0.0775509811006486,0.0279957538936287,0.0941933220718056,0.0237676414661109,-0.0333145577460527,-0.0306503503583372,-0.020302917715162,0.0569385551381856,-0.0922127017751336,-3.20314220158664,1.32764803781192,-0.656657613685465,0.0304735777081697,-0.580794937405559,-0.091658332259062,-0.675725321042911,-0.97531887368695,0.858553621731992,0.46676006177521,0.274801400976431,-0.0457426770590246,-1.34833405732453,0.425064731012318,-0.621813354188432,0.0390710067195558,-0.571039235187274,0.318837119723407,0.452212669625203,-0.0965850415037953,0.0422822372040088,0.243797595939458,0.219121752309949,0.00288154166191816,-1.86240680363213,0.719543677383939,-0.0917689514090202,0.0542320446579235,-0.123295592463827,0.314590202994156,0.740516267418358,0.412181158854424,0.22466785610783,0.213968278396038,0.159333661076697,0.0334853029344231,0,0,0,0,0,0,0,0,0,0,0,-0.0566865378059447,-8010.3946451564
-0.301536505326002,-0.552882673340546,1.70372271449149,1.13828350877444,0.852269836612968,-0.237998403894014,-0.0730627728546453,-0.0946487801881234,-0.963936514285217,-1.27174884910005,-0.959868289304024,-2.73697370162098,-0.220084398446158,1.30033005824849,1.19005051701998,0.754534369566109,-0.118445870306648,-0.0748880900679085,-0.0612105281230932,-0.581615072912034,-0.615898178659885,-1.16071233173085,-5.84051075659875,-0.255224280825155,2.29271932900673,1.4325679084989,1.30505027633946,-0.141983021917703,-0.144290044418689,-0.0670567499132176,-0.348637158430558,-0.30081005391129,-1.21751716481386,-5.23641067201749,-0.100464622401006,0.203269796372607,-0.435922213789516,0.224048520863369,-0.0150283855702553,-0.00462452827703336,-0.0228636621334508,-0.0499687477769695,-0.141138197144337,-0.503522104048119,-0.0874783511922666,0.0834241227880477,0.121233111970273,0.127253392713053,0.219694148509672,0.02391906667673,-0.0358309146659271,-0.0321013078334005,-0.00295063176318161,0.0246052825891364,-0.0800906454388802,-3.15254353235334,1.37533410434659,-0.603694625781232,0.0343321113570986,-0.522543470467759,-0.0427773084372389,-0.63984262748996,-0.936482596922228,0.908063563824811,0.480474346086742,0.323442365555954,0.0261721482891072,-1.31125393841823,0.457561361512791,-0.611726554275085,0.0421189556433622,-0.526705861764368,0.359427099598724,0.481833212813486,-0.0666178847572118,0.0772941472299113,0.255167304305604,0.270423290545563,0.0315893013701101,-1.80761431649197,0.766664004919048,-0.0334590262073617,0.0576055961331222,-0.0565552161409607,0.369338660308901,0.793240805278539,0.456344735815875,0.275587383670131,0.227895589161375,0.213822999467809,0.0843070113429322,0.0253200030311752,0.00376169612347093,0.0174009510899672,0.00105255791569362,0.018928751344392,0.0138057765614827,0.0130781295729575,-0.0196537545447803,0.0214408643703729,0.00319832234313384,0.00559685692524828,-0.018534269795158,-7969.38710944972
-0.300145683794605,-0.554686519466723,1.70250675794841,1.13498186651914,0.856433316275823,-0.238493827079918,-0.0729180559433042,-0.0922629282705379,-0.966782524592955,-1.26895046391266,-0.959523209488199,-2.74114061318691,-0.222221986088851,1.32131770403413,1.21854349520855,0.749436831447929,-0.118938119176207,-0.0759867461268826,-0.0652509247633235,-0.599269369990849,-0.634510278498191,-1.16857858943487,-5.85918704908538,-0.2572575271961,2.29198707693125,1.42592339510353,1.3082090797521,-0.142242315261164,-0.14426506073009,-0.0671765000234638,-0.350834405544712,-0.301784864720164,-1.22482695559812,-6.06475450653712,-0.110439098196416,0.225575231705334,-0.486932365905352,0.162012047524451,-0.0144337035611554,-0.00341594353057298,-0.021007841314477,-0.044276123703926,-0.148648196230676,-0.55612242172666,-0.21218412643596,0.0604916221064802,0.15955746481741,0.174066184883018,0.401894558990041,0.0216957193356748,-0.0372889557125075,-0.0287192431452488,-0.00617018770639108,-0.00782925678607015,-0.0594391322474618,-3.09976576986163,1.42142918419791,-0.569098904992,0.0377712660884777,-0.470258896521344,0.00145417768877448,-0.605840814105637,-0.917806701359419,0.958634459917776,0.493814428238648,0.371118614900974,0.119126534350308,-1.26013931054005,0.49914988198447,-0.602908636081645,0.0460892497621107,-0.479404478902817,0.413086317859127,0.516499640354019,-0.0470893129615554,0.130497396698849,0.270938194212546,0.346682656209611,0.0661252987572488,-1.75074688792777,0.807608693868054,-0.0069459822545049,0.0601263705580082,-0.00374246544250585,0.418165411166732,0.838404037927232,0.465207685969403,0.325159297703962,0.240399559052861,0.265291108008628,0.126741396354784,0.0744556002266362,0.0336859328312589,0.0318135571188897,0.0045843882934372,0.0790881936235531,0.0620643313704606,0.0523988887953406,0.0057688844112579,0.066185602954927,0.013243974465833,0.0448463557603528,0.0599213172442488,-7949.06787266123
-0.313576315427592,-0.557660241886633,1.70639970124005,1.08358873285203,0.822351265209364,-0.239520882233193,-0.0689825918912516,-0.0992082909988765,-0.92092304492619,-1.27753114916582,-0.948854585115209,-2.74532318365468,-0.223370175960154,1.46270663128236,1.27625675341557,0.69139241621855,-0.120925401669868,-0.077199416683323,-0.0715290503015647,-0.635790550488173,-0.685990590371441,-1.20544554243235,-5.91219270970031,-0.257597086492239,2.29728267330885,1.44405701362087,1.33688489950287,-0.143830103924781,-0.145901907633185,-0.0677821153177496,-0.35807495940412,-0.301911296773428,-1.23606318542523,-6.16073640719243,-0.107593351697425,0.268355561051048,-0.514732408055692,0.00292634083746748,-0.0264943405534167,-0.00350824420883886,-0.0253322736577599,-0.027954125059176,-0.159960679071571,-0.668239220145536,-0.735179130904716,-0.0240871420827204,0.036965492001844,0.00681302996307631,0.804664189161277,-0.00914238316005478,-0.023904168059733,-0.0144168220498314,-0.0899004993020441,0.019798248720291,0.0765432151559652,-2.96057620341686,1.47582370927382,-0.78628101873575,0.0369183347437288,-0.533240588130953,0.0264866697097831,-0.580467953768772,-1.020303984128,1.08219762873911,0.51488410902915,0.446806755936014,0.338835534115065,-1.12437981814606,0.523708116725553,-0.79703513045584,0.0468838105462824,-0.546850415011327,0.474926853042989,0.505574319742434,-0.173598022543362,0.292017444169575,0.301630970710847,0.483384591993545,0.179502568840306,-1.57732150361113,0.856233413996034,-0.205835541314489,0.059910480867724,-0.053468993705526,0.443062301998317,0.854564796047024,0.353915756313808,0.449609136270625,0.260432834658404,0.321781346408153,0.241232056017379,0.203805567811008,0.0706591187588805,-0.310690427206145,0.00604986240575769,0.0363308954588123,0.118344811679292,0.112434479377837,-0.0684923008834171,0.28403420180849,0.0267235914745007,0.148375455560518,0.294468365492271,-7930.56553388908
-0.299145547451725,-0.552139969486688,1.64593771320887,1.13144973053003,0.817403007994104,-0.233375975417589,-0.0750588437137065,-0.0867814977755086,-0.937160678261923,-1.23399998570867,-0.942454646016993,-2.6162812693184,-0.220807258303628,1.66783512965385,1.22766735079242,0.710389314536992,-0.121133994997594,-0.0771708912215231,-0.0745743482383162,-0.652788075799868,-0.709062772265577,-1.23745352570076,-5.91257714717705,-0.258651821997228,2.2895529341661,1.47486123430979,1.34558047777545,-0.144346056760566,-0.147411160842045,-0.0676981896863042,-0.360677402102909,-0.300480596640789,-1.23028483707699,-5.87609992139701,-0.0907436412583287,0.401735937142145,-0.477153775113663,-0.0939272502268277,-0.0144637960364056,-0.00978380765827764,-0.0263395149250286,-0.0168419843638718,-0.14352257361819,-0.74617969600237,-1.87370482773834,-0.143878255392287,-0.662079174131043,-0.0367088349704232,1.20593255502596,-0.0667473373198478,-0.00709188014012677,-0.0121866582556629,-0.207891644768694,-0.00112783202340547,0.326431194276442,-2.46768222653061,1.42752986974309,-1.3368075168869,0.015934520494005,-0.711381861422962,0.106750507683706,-0.701128233312403,-1.29368079353624,1.35000525630539,0.559425239646774,0.428850188758929,0.610192575415763,-0.574933747414673,0.459893797349195,-1.36448592645185,0.0253455277381266,-0.733983977534436,0.538225664915545,0.371749388449985,-0.447992224442445,0.583663159335722,0.34958554994287,0.439790450064262,0.412803655229505,-1.04401904433182,0.785859696131417,-0.737677456548899,0.0385697404116232,-0.227460385488171,0.515283935673322,0.735582263975192,0.0908670908684698,0.700729048123838,0.305553803499456,0.287339002477209,0.480301254294574,0.64454730696396,0.0702533114885191,-0.883241590410002,-0.0204507963612275,-0.215618301230234,0.213141943522256,-0.0357127171424165,-0.394121222250286,0.678950457291641,0.0984651490395133,0.1081731485425,0.573709952451284,-7918.28062698888
-0.183576383912313,-0.55076637993795,1.75017631610767,1.06525717355573,0.77647107762001,-0.235581574217914,-0.0612508895602553,-0.129863197804813,-0.904491725895898,-1.26095993958825,-0.920819111168107,-2.51816248953907,-0.223371505513166,1.85551885264405,1.19355441745311,0.728693039193534,-0.12349491694806,-0.0782033706528854,-0.0742203325539591,-0.673263672948871,-0.714950900797791,-1.26663722112525,-5.98081198123705,-0.262026418177494,2.2870524114897,1.52419490500251,1.35526094700402,-0.147965699862501,-0.149073110187238,-0.0682809853878201,-0.373285751666685,-0.303571281858585,-1.22808423783435,-6.26167478176433,-0.0953379921421844,0.473433489818179,-0.469883421381123,-0.181962748112153,-0.0149258069516087,-0.0121618911363415,-0.0262403999272499,-0.0347326510123302,-0.137752608728861,-0.859329644145357,-1.82645596560721,-0.126122130511036,-0.884426572708225,0.241188081942803,0.917835135977689,-0.0199374247789482,-0.0248456082826347,-0.0109918593384362,-0.0317457684266017,-0.233618770622401,0.257035848565676,-1.67388320487282,1.24487882329799,-1.05945024101166,-0.0156017244720727,-0.96662572212103,0.0492376972183974,-0.83220993319298,-1.08189558079208,1.39615281845977,0.429321926966554,0.221492386866511,0.0273806647751611,0.200628880631921,0.289584353915962,-1.1026599254986,-0.00585598186104662,-1.00873256504187,0.468754703002563,0.251369037766262,-0.237457281322474,0.621985338005105,0.221053652650825,0.243525963510275,-0.183511378071931,-0.298229906449384,0.628137261365605,-0.451832792922507,0.0101577716968955,-0.492573898932872,0.45199600844503,0.59547963208024,0.323672861777016,0.707682750774385,0.17293410868373,0.104781008336791,-0.0925721097078087,1.2622170813304,-0.0138435831055536,-0.615233107325965,-0.0610435723877735,-0.495398579325929,0.213648707471761,-0.149933682905388,-0.123609837227795,0.760778964578145,-0.0102831505654151,-0.114181368329933,-0.0576647108860133,-7913.463160889
-0.289701582164662,-0.545944489383343,1.572270008463,1.15032631164192,0.768664919209816,-0.226025861870435,-0.080165449363178,-0.0846852692260815,-0.901702747532245,-1.22093633286272,-0.91267769469563,-2.42571328674233,-0.22484725396738,2.00201584643695,1.17543735032798,0.732039244017066,-0.125304629762846,-0.078447250143467,-0.0740416195088224,-0.67748414409973,-0.718610894925653,-1.28420604429846,-6.01259973259827,-0.26485910881174,2.27880163518845,1.55872610013838,1.35100010547268,-0.148495713942299,-0.151828340891963,-0.0684373272440231,-0.38146100274501,-0.308828276401734,-1.2205109620327,-6.44493453605106,-0.0945262381677097,0.520888184731583,-0.435446623250337,-0.251627280227558,-0.0187602161281169,-0.0130058424537683,-0.0294862415022409,-0.0103768392532424,-0.111532049230767,-0.938992558291953,-1.78783167213097,-0.137590510510663,-0.710605939998404,0.062752492292905,1.05492842369441,-0.041260652507695,-0.00729119598898074,-0.0157027077307893,-0.102698577255756,-0.249971685677745,0.292863696415459,-1.22142597033066,0.878793763622149,-1.46595247101363,-0.027766436040484,-1.03271976955185,0.0401366450675513,-0.643229065863896,-1.08448343321955,1.2216332395054,0.448488238754847,0.291482360761518,0.252242469735806,0.555804263093375,-0.0589092418106478,-1.52216092823212,-0.0174411697642158,-1.07764172087929,0.456346307032303,0.448543699215733,-0.23681280464098,0.487920078429583,0.249557455682515,0.330053695757999,0.0326713082864439,-0.00566986751266724,0.304334648369141,-0.843950232015057,0.00152045668604373,-0.559594101283633,0.451766641392362,0.785969026244057,0.324435077324939,0.57191949496032,0.201948664719226,0.174436655231199,0.118310021839963,1.68087049797065,-0.401807848020931,-1.13628729021257,-0.0784441860413738,-0.604138015110363,0.21667847137004,0.125015728299996,-0.129251891952449,0.646496308678018,0.0145324058982324,-0.0581004904263141,0.187832805851521,-7908.27056763943
-0.0461393132343701,-0.542722153575492,1.79016410752382,1.09837090232486,0.741318765940049,-0.226202087135156,-0.0658291921997683,-0.136802026125725,-0.930660790496363,-1.25869572533682,-0.908766807911412,-2.27559903612926,-0.218396517189933,2.11975399557912,1.1516991995556,0.743532504322681,-0.12553982132165,-0.078748840545596,-0.0742815075473961,-0.658594308256296,-0.707809876834591,-1.29321960501281,-6.03612545850866,-0.268080429702564,2.27775607841371,1.59087573488752,1.34119357732237,-0.150909233066666,-0.153794923346472,-0.0700226610245499,-0.390718036375782,-0.315036640268132,-1.21024160111461,-6.67648572075553,-0.09041326661514,0.554535272430282,-0.340381993319647,-0.296432583231645,-0.0267813689640295,-0.012344532834422,-0.0317962345386166,0.0154170321117942,-0.0809617460397348,-1.03584429739735,-1.91024933330677,-0.162431157350101,-0.668503300552103,0.0205908564600893,0.939948985887603,-0.0182873714562351,-0.0151255752308692,-0.019437908148647,-0.260807456483538,-0.260479207582607,0.239660559076459,-1.81890684869557,1.10696829135052,-1.26218219562528,-0.00727254242129889,-0.915756872359224,0.309617484989976,-0.809574903950799,-1.20282473022373,1.3866885121793,0.40198969600532,0.0992718337017231,0.223816208371026,-0.0113939589100571,0.152237210095564,-1.34425415068296,0.000525066644197141,-0.975640883825576,0.737310114189243,0.297363524801923,-0.356214405441274,0.601108693917455,0.209084061922629,0.128543808767919,0.0438742412524535,-0.601673089701676,0.510633349574523,-0.65218353543137,0.0198543487998424,-0.454174488649356,0.726141902774869,0.63880295870489,0.20508035214332,0.694386890999917,0.159876740250431,0.0100438403319173,0.124776110167579,1.10004051629843,-0.197964803772789,-0.983190937131703,-0.0617795388366004,-0.498778632006553,0.563851876355821,-0.0541016218503662,-0.252542520024995,0.838913465558609,-0.0293495569443448,-0.346721381824692,0.165001401843361,-7904.3396734649
-0.570072696451559,-0.540237662339018,1.19798435106545,1.32516954503573,0.735470858249146,-0.212641331447067,-0.111585728308105,-0.00526156857911159,-0.936606453187863,-1.16285302239624,-0.886539483927606,-2.2227728757248,-0.217416030249218,2.19153013580934,1.15686610804669,0.759736575135306,-0.125719057781922,-0.081649845791982,-0.0719042680139252,-0.655923667348764,-0.69838522593521,-1.31179025473148,-5.98128328120223,-0.269998566928228,2.27116354298859,1.60826398136429,1.32770605117108,-0.149782912010306,-0.155575048985636,-0.072151294675479,-0.40351971620834,-0.321795868294754,-1.18047010287991,-6.97018362898759,-0.0790796628791565,0.638833910296633,-0.312568287483222,-0.25203607690414,-0.0309542824831402,-0.0161299264372496,-0.0295346617684614,0.0706876761092919,-0.0495777528586602,-1.19432215982867,-1.94326446409612,-0.174378909901037,-0.381037151157478,-0.0675930878016182,0.82516731064848,-0.0365368585999563,0.00181952088113518,-0.0319512167225706,-0.250316673946975,-0.299523266184077,0.221833784195873,-1.73724424434778,0.772567546902348,-1.38495574648208,-0.00949753751182884,-0.830066887525174,0.142470281934426,-0.677788090169258,-1.08119539142761,1.10404825296699,0.47495940855329,0.189416919262571,0.306459575326243,-0.0076303890055849,-0.174765373915967,-1.44993346250046,0.000525398111508142,-0.859757085079528,0.552710239456871,0.447252828060443,-0.230285056594212,0.386671665008544,0.285026162113677,0.183534636562455,0.0831977021226918,-0.631539142135418,0.208147740131333,-0.752199603630765,0.0225175915457058,-0.356491765195352,0.550517080822044,0.767169400656067,0.316344092331883,0.483941183470534,0.235878227449152,0.0681404520470448,0.159084257483431,1.14809201013658,-0.547798856475878,-1.17560951858818,-0.0664697888123435,-0.414512608636347,0.405147595371092,0.152576708812809,-0.140441189325243,0.579077937180113,0.0492989550410256,-0.308012361959621,0.207154363478286,-7898.69833950221
0.614093813411441,-0.547319565360668,2.46511390200791,0.792684438119032,0.638700920382329,-0.245072859968624,0.00827588353782208,-0.351507430764447,-0.913406174263315,-1.42403091387322,-0.841477533878781,-2.14080687000614,-0.211480841626988,2.22854161361791,1.18923067861734,0.765060895367782,-0.128041459555853,-0.0815141739330267,-0.0703804785102337,-0.63703489968108,-0.680724148378193,-1.31593337802528,-5.94461030462633,-0.274039640454231,2.29732552440751,1.64297304952295,1.31784860932812,-0.15387206984931,-0.154952353001328,-0.0778332682574405,-0.411977000275021,-0.325818202486542,-1.15365634950003,-7.47857085955086,-0.065707623560424,0.722311554104598,-0.260268924715073,-0.17167190964895,-0.0421889816699458,-0.0181731079837057,-0.0264512863099543,0.111477208615964,-0.0122527885863385,-1.42523107420358,-2.28420858529232,-0.17854371976361,-0.572880368502743,-0.0248929378056287,0.580201478453518,0.0103924758256247,-0.0266485149739735,-0.0161989395496741,-0.300533162983918,-0.334976537925307,0.0985689359415183,-2.29866504285152,1.32354998318237,-1.04174912493153,-0.00479049575617316,-0.813713929244988,0.227884489540506,-0.797697768658315,-1.11588131672433,1.40097818335548,0.378136041201365,-0.0276615876047513,0.0914648260088527,-0.405222403303246,0.310256704516683,-1.10744269064391,-0.000591714008606147,-0.852459954736266,0.669797760427743,0.33503923328675,-0.264356169181867,0.556361363093049,0.180411739015157,0.0103962079175761,-0.0538439095872944,-0.955526562043513,0.657946023934984,-0.411932910128349,0.0220752675911681,-0.353403952951514,0.6335047808519,0.629474966936858,0.290603621350738,0.630525658687059,0.124127125714634,-0.0634674351413772,0.0202576924903555,0.619477937132228,-0.0296204556864569,-0.920836202621619,-0.0743751443271645,-0.382077830023131,0.64177318100443,0.00302644189351381,-0.092924981761638,0.847888551539031,-0.0501916658373321,-0.59531634879557,0.0102352657430861,-7891.52929343921
