Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : rangeloss_car_suv_lc_3c_1
Model description                           : LC model with 3 classes with indicator
Model run at                                : 2026-04-15 16:13:58.826572
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -1.040242
     reciprocal of condition number         : 2.71649e-06
Number of individuals                       : 1374
Number of rows in database                  : 8244
Number of modelled outcomes                 : 8244

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -13783.5
LL (whole model) at equal shares, LL(0)     : -11428.61
LL (whole model) at observed shares, LL(C)  : -11417.8
LL(final, whole model)                      : -8181.71
Rho-squared vs equal shares                  :  0.2841 
Adj.Rho-squared vs equal shares              :  0.2809 
Rho-squared vs observed shares               :  0.2834 
Adj.Rho-squared vs observed shares           :  0.281 
AIC                                         :  16437.42 
BIC                                         :  16697.05 

LL(0,Class_1)                    : -11428.61
LL(final,Class_1)                : -10451.91
LL(0,Class_2)                    : -11428.61
LL(final,Class_2)                : -28575.71
LL(0,Class_3)                    : -11428.61
LL(final,Class_3)                : -13550.83

Estimated parameters                        : 37
Time taken (hh:mm:ss)                       :  00:00:36.51 
     pre-estimation                         :  00:00:5.48 
     estimation                             :  00:00:3.71 
     post-estimation                        :  00:00:27.31 
Iterations                                  :  29  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)
b_no_choice_a                   -3.077911    0.274534   -11.21140
b_mileage_a                     -0.217523    0.032108    -6.77472
b_range_year0_a                  1.011981    0.084069    12.03747
b_degradation_a                 -0.058743    0.003745   -15.68651
b_packreplace_a                 -0.553297    0.103444    -5.34878
b_cellreplace_a                 -0.561422    0.104047    -5.39586
b_price_a                       -1.169863    0.083092   -14.07907
b_no_choice_b                   -0.469473    0.931913    -0.50377
b_mileage_b                     -0.547532    0.166502    -3.28843
b_range_year0_b                  1.045650    0.354971     2.94573
b_degradation_b                 -0.094562    0.022900    -4.12941
b_packreplace_b                 -0.956924    0.431067    -2.21990
b_cellreplace_b                 -1.187942    0.480026    -2.47475
b_price_b                       -0.893471    0.424943    -2.10257
b_no_choice_c                   -5.668631    0.259806   -21.81867
b_mileage_c                     -0.160973    0.016469    -9.77457
b_range_year0_c                  0.708262    0.046646    15.18369
b_degradation_c                 -0.046536    0.001784   -26.07794
b_packreplace_c                 -0.197452    0.051236    -3.85376
b_cellreplace_c                 -0.201466    0.050747    -3.97002
b_price_c                       -0.785240    0.037811   -20.76751
delta_a                          0.000000          NA          NA
gamma_EV_rangeanxiety_a          0.000000          NA          NA
gamma_hhincome_a                 0.000000          NA          NA
gamma_ev_charge_a                0.000000          NA          NA
gamma_evb_environment_agree_a    0.000000          NA          NA
gamma_evb_function_disagree_a    0.000000          NA          NA
gamma_veh_range_a                0.000000          NA          NA
delta_b                         -1.539326    0.493652    -3.11824
gamma_EV_rangeanxiety_b          1.097532    0.358190     3.06411
gamma_hhincome_b                -0.012353    0.018943    -0.65212
