"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.09870042143191,0.27594918852308,-11.2292427385512,0,0.340378029141777,-9.10370281314841,0
"b_mileage_a",-0.219941982216044,0.0324421371279696,-6.77951582993659,1.20579102258489e-11,0.0364566458036172,-6.03297361476466,1.60969704232627e-09
"b_range_year0_a",1.02192009367489,0.086232149980493,11.8508015155144,0,0.135009122283671,7.56926699758637,3.75255382323303e-14
"b_degradation_a",-0.0587527258716977,0.00378128212481838,-15.537778968164,0,0.00553140110902482,-10.6216715645226,0
"b_packreplace_a",-0.561982539108327,0.104566777944129,-5.37438898049054,7.68428112252195e-08,0.138480572503438,-4.05820490881039,4.94513691295939e-05
"b_cellreplace_a",-0.580293032669518,0.105768544773436,-5.48644243817995,4.1010897344762e-08,0.136272056675169,-4.25834207560805,2.05948634632858e-05
"b_price_a",-1.18682658984849,0.0853025584219166,-13.9131417838408,0,0.131491428629641,-9.02588558217968,0
"b_no_choice_b",-0.365726530490387,0.921787459298015,-0.3967579801627,0.691545939772146,0.981796813514148,-0.37250735127296,0.709515139673672
"b_mileage_b",-0.54083775198775,0.167274549536266,-3.23323394674868,0.00122397284358522,0.209192329259908,-2.58536129838582,0.00972770029519587
"b_range_year0_b",1.00278867688461,0.353760916295147,2.83465083533414,0.00458757956365052,0.560584023277829,1.7888284989307,0.0736424397234021
"b_degradation_b",-0.0948087154888596,0.022459029469114,-4.22140750201349,2.42781578834173e-05,0.0272568776329386,-3.47834101783867,0.000504527619608952
"b_packreplace_b",-0.94492808918056,0.431809275535471,-2.18829965615905,0.0286477819357551,0.47748365657487,-1.97897472755153,0.0478188517333149
"b_cellreplace_b",-1.13363366308651,0.48012342138278,-2.36112968582451,0.018219358000193,0.575253364079912,-1.97066846345123,0.0487618100104548
"b_price_b",-0.833222608326074,0.417365450847705,-1.99638615662539,0.0458919064686618,0.787380399228386,-1.05822117129486,0.289954621356305
"b_no_choice_c",-5.59108041075706,0.250916342526727,-22.2826474930046,0,0.293377664804632,-19.057621221712,0
"b_mileage_c",-0.159348922564504,0.0163913457751484,-9.72152773484286,0,0.0190172780960511,-8.37916560717451,0
"b_range_year0_c",0.70932999838124,0.0464653986561607,15.2657680531316,0,0.0672327905285466,10.5503578358846,0
"b_degradation_c",-0.0465242911984266,0.00177244875582044,-26.2485959301493,0,0.00264953846511268,-17.5593945175836,0
"b_packreplace_c",-0.197597462848864,0.0510579324507821,-3.87006393256015,0.000108806815767748,0.059458467175915,-3.32328551733849,0.000889638067204546
"b_cellreplace_c",-0.197868515108871,0.0505718527224214,-3.9126214377577,9.12995998672006e-05,0.0577856385851127,-3.4241815086534,0.000616654190896959
"b_price_c",-0.782471086376508,0.0375759341983304,-20.8237294180506,0,0.0529269658862368,-14.7839777564121,0
"delta_a",1.98887414572328,0.604359988959033,3.29087660013525,0.000998757149228702,0.616649121090524,3.2252930843492,0.00125843766569989
"gamma_EV_rangeanxiety_a",-0.972567292651545,0.36184529174652,-2.68779866654407,0.00719247487440944,0.364883230592681,-2.6654206362726,0.00768920785219596
"gamma_risktaker_a",0.120875050807755,0.24025938320256,0.503102310496847,0.61489234235512,0.247365258862648,0.488650068985121,0.625089459129949
"gamma_hhincome_a",0.00357410169382657,0.0195898433634565,0.182446670323756,0.855232202748718,0.0225644674477855,0.15839512729902,0.874145453163365
"gamma_ev_charge_a",-0.0118102101192857,0.22662057532008,-0.0521144653463389,0.958437486949393,0.233489635293463,-0.0505813035531189,0.9596591613553
"gamma_knowledge_ev_a",0.382106369268947,0.233114642605713,1.63913499811866,0.101185147642264,0.24041136492571,1.58938563235986,0.111973356325597
"gamma_evb_environment_agree_a",1.21237962859893,0.220422890279063,5.50024376807694,3.7926653595477e-08,0.249717293171017,4.85500869084239,1.20381463797337e-06
"gamma_evb_function_disagree_a",0.824414589135892,0.331862681620383,2.48420396385195,0.0129841415511502,0.346437228971609,2.3796939826102,0.0173270205877736
"gamma_hhveh_fuel_a",-0.824521996207416,0.34225462118636,-2.4090894473517,0.0159923779040227,0.34180464696832,-2.4122609318528,0.0158539308068173
"gamma_veh_range_a",-0.208343838004927,0.102975310853358,-2.023240680493,0.0430483393984606,0.110498435655649,-1.88549129015905,0.059363539267697
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",2.68108487094809,0.544823912305462,4.92101174414845,8.60979633809933e-07,0.544089779170494,4.92765160013776,8.32238452597167e-07
"gamma_EV_rangeanxiety_c",-0.954064545130644,0.334383461480895,-2.85320494292794,0.00432806991849044,0.330498036468085,-2.88674799804075,0.0038924585375486
"gamma_risktaker_c",0.604473853044281,0.207099391037367,2.91876209783357,0.0035142430899715,0.211041724020631,2.86423860423538,0.0041801300440516
"gamma_hhincome_c",0.00567796318846705,0.0168783058892207,0.336405989187177,0.736564733689108,0.017855593961823,0.317993520720011,0.750489851738857
"gamma_ev_charge_c",0.518657990558615,0.195582355639023,2.65186493364399,0.0080048556336414,0.199151157110864,2.60434334443704,0.00920504910520537
"gamma_knowledge_ev_c",0.281963310026677,0.199237619951805,1.41521119402492,0.157006583417312,0.204431792265732,1.37925372028322,0.167816540136745
"gamma_evb_environment_agree_c",1.15597982078315,0.190130298309228,6.07993481871609,1.20231402611637e-09,0.200097032845682,5.77709626346466,7.6000807869292e-09
"gamma_evb_function_disagree_c",1.24119713444863,0.299717463988518,4.14122393113596,3.45457488339918e-05,0.308798457641854,4.01944084801154,5.83364253918806e-05
"gamma_hhveh_fuel_c",-0.704099721675999,0.315298165229992,-2.23312343464606,0.025540805606765,0.314480279172817,-2.2389312408651,0.0251603903896831
"gamma_veh_range_c",-0.328933729104284,0.090091899773715,-3.651091051809,0.000261128636591446,0.0978315282935779,-3.36224665853326,0.000773110310317016
"gamma_suv_a",-0.130965084249769,0.213686376500222,-0.612884575960007,0.539952662556704,0.214589077553904,-0.610306385313907,0.541658867906463
"gamma_suv_b",0,NA,NA,NA,NA,NA,NA
"gamma_suv_c",-0.170250274754125,0.187908092824484,-0.906029496628159,0.364920240231184,0.187926884600657,-0.905938898076796,0.364968194277691
