"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.02140184931594,0.274360855880048,-11.0125106572671,0,0.343468731306809,-8.79673045584179,0
"b_mileage_a",-0.218893483897129,0.0322785037676627,-6.78140119110542,1.19015908239817e-11,0.036155988486492,-6.05414187414371,1.41168143841242e-09
"b_range_year0_a",1.01977733988012,0.0851477775593195,11.9765585093478,0,0.13065708297489,7.80499087122666,5.99520433297585e-15
"b_degradation_a",-0.0833293213080395,0.00540921320489762,-15.405072447984,0,0.00802173500094011,-10.3879424212186,0
"b_packreplace_a",-0.564139487564512,0.104051616734397,-5.42172726642529,5.90258915078579e-08,0.137415388068055,-4.1053589084588,4.03687616474802e-05
"b_cellreplace_a",-0.580876623821212,0.105170914654286,-5.52316793792895,3.32941221259375e-08,0.135406841784472,-4.28986169506705,1.78784421300815e-05
"b_price_a",-1.1799182961477,0.0845350585937086,-13.9577391413261,0,0.129237605408707,-9.1298371895415,0
"b_no_choice_b",-0.310468397955108,0.912322189753914,-0.340305652369206,0.733626360940203,0.966594410615348,-0.321198213589358,0.748060185831593
"b_mileage_b",-0.552391082612784,0.167994556363286,-3.28814870297491,0.00100848556700894,0.212089280190707,-2.60452146433844,0.00920026580127109
"b_range_year0_b",1.02320904040658,0.345961094101155,2.95758412680763,0.00310060128527101,0.538351348699258,1.90063430300456,0.0573499291603041
"b_degradation_b",-0.137200967422019,0.0338730991527825,-4.05044034510048,5.11213413501022e-05,0.0433512485517953,-3.16486772596858,0.00155153467951163
"b_packreplace_b",-0.915082576694538,0.424043209974935,-2.15799370245459,0.0309283214275633,0.467018905214702,-1.95941227748339,0.0500645239910515
"b_cellreplace_b",-1.12616023634587,0.479424830035389,-2.34898187534998,0.0188248231229831,0.576549917185133,-1.95327447421045,0.0507870804546044
"b_price_b",-0.84268600891202,0.406992010780153,-2.07052223776259,0.038403465785152,0.753133015073959,-1.11890727407464,0.263179699415167
"b_no_choice_c",-5.53853929665211,0.251895727677253,-21.9874284797259,0,0.292174465303893,-18.9562742619943,0
"b_mileage_c",-0.158946411644145,0.0164110440793614,-9.68533207731963,0,0.0190324494156559,-8.35133766405272,0
"b_range_year0_c",0.709423882270724,0.0465085183826399,15.2536332470124,0,0.067119325401443,10.5695919621902,0
"b_degradation_c",-0.0654983034333362,0.00252070343802869,-25.9841369854119,0,0.00378682153513309,-17.2963797806844,0
"b_packreplace_c",-0.196643535290898,0.0511047048012742,-3.84785581005831,0.000119156146263233,0.0594297096125902,-3.30884227052052,0.000936825985619949
"b_cellreplace_c",-0.1966864251978,0.0506072188649713,-3.88652902904215,0.000101687771354886,0.0577700904958178,-3.40464111289629,0.000662510605087263
"b_price_c",-0.780941849618699,0.0376334489835509,-20.7512697005273,0,0.0530105845767943,-14.731809804651,0
"delta_a",2.20673020474322,0.589012450877085,3.74649160889083,0.00017932499912221,0.586657840192133,3.76152853257788,0.000168878152023266
"gamma_EV_rangeanxiety_a",-0.988013349897038,0.360390071172569,-2.74151101522422,0.00611573101309348,0.365299824623335,-2.7046641780236,0.00683734730117003
"gamma_risktaker_a",0.156873988339563,0.238244076701231,0.658459133640036,0.510243148403536,0.245348413882836,0.639392714454135,0.522567487324567
"gamma_hhincome_a",0.0046815145165186,0.0195024190928793,0.240047888122142,0.810293132354142,0.022247108465843,0.210432493899436,0.833330133911443
"gamma_ev_charge_a",0.0427695494245378,0.22318235765308,0.191634992453211,0.848028130469888,0.2313453631873,0.184873164671604,0.853328519639712
"gamma_evb_environment_agree_a",1.21572900034843,0.219032658210515,5.5504462680628,2.84941281680773e-08,0.245361987123382,4.9548384189483,7.23904204136261e-07
"gamma_evb_function_disagree_a",0.825942111520215,0.329682667065152,2.50526398270429,0.0122360030968478,0.342798891182695,2.40940718527595,0.0159784597108155
"gamma_hhveh_fuel_a",-0.851814536473309,0.341237992029471,-2.49624765228293,0.0125514938323765,0.340624957158582,-2.50074023811689,0.0123934044185032
"gamma_veh_range_a",-0.191259595248121,0.10202330666367,-1.87466571612532,0.0608387262306154,0.109241020298764,-1.75080381641478,0.0799797090013878
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",2.82811117510716,0.537665398199035,5.25998359682473,1.44068252883045e-07,0.53326491542767,5.30338879098967,1.13672464108205e-07
"gamma_EV_rangeanxiety_c",-0.964827524552594,0.333418035023327,-2.89374725780833,0.0038067444103207,0.331887334498241,-2.90709353525423,0.0036480409861821
"gamma_risktaker_c",0.631679307839954,0.20552755349909,3.07345315548044,0.00211596905461819,0.208893525302596,3.02392956854419,0.00249514519510829
"gamma_hhincome_c",0.0064090184690524,0.0168283171676747,0.380847259128407,0.703316589435567,0.0177237223583286,0.361606796782208,0.717645884828658
"gamma_ev_charge_c",0.563160298088829,0.192408484852683,2.92689949988438,0.00342359491821154,0.196273236074746,2.86926689217252,0.00411424473908073
"gamma_evb_environment_agree_c",1.15213752332989,0.189422046250887,6.08238347190011,1.18408949312254e-09,0.198567865237733,5.80223553267548,6.54365539531909e-09
"gamma_evb_function_disagree_c",1.24281846727172,0.297778650231712,4.17363187825804,2.99782000503512e-05,0.30527916520595,4.07108839685564,4.67939867838663e-05
"gamma_hhveh_fuel_c",-0.72089167278036,0.3151629350597,-2.28736184552858,0.0221747113860882,0.314939729776516,-2.2889829533159,0.0220803428550163
"gamma_veh_range_c",-0.315083249793087,0.0892632497848428,-3.52982050902867,0.00041584168065989,0.0963511273320073,-3.27015633877714,0.00107488060345617
"gamma_suv_a",-0.137090332617936,0.212850584290628,-0.644068387572531,0.519531088559529,0.213841730368546,-0.641083161746152,0.521468653528352
"gamma_suv_b",0,NA,NA,NA,NA,NA,NA
"gamma_suv_c",-0.177185023443394,0.187277546761512,-0.946109272079639,0.344092855041511,0.187301115340205,-0.945990220728606,0.344153574153438
