"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.516165690528,0.474926655422881,-7.40359727208228,1.32560629140244e-13,0.665934260648555,-5.28004924555706,1.29149170247089e-07
"b_mileage_a",-0.281516029763391,0.0464643486969982,-6.05875338098902,1.37180533599235e-09,0.0491076661354897,-5.73262897460202,9.88857884465233e-09
"b_range_year0_a",0.923729563870344,0.121900249490421,7.57774957583601,3.5083047578155e-14,0.16026957233647,5.76359910620505,8.23388646153944e-09
"b_degradation_a",-0.0662364593954834,0.00600359287902535,-11.0328033113126,0,0.00901106324996083,-7.35057091023873,1.97397653778353e-13
"b_packreplace_a",-0.464808856809446,0.151929355110299,-3.05937490797616,0.00221799393271871,0.204254381353833,-2.27563714290295,0.0228677363306649
"b_cellreplace_a",-0.509734086289469,0.15950880788245,-3.19564852283967,0.00139516955260643,0.21685561870502,-2.35056896073715,0.0187447338930324
"b_price_a",-1.25148039120566,0.115175986128857,-10.8658100813265,0,0.17101531461333,-7.31794339024718,2.51798581984986e-13
"b_no_choice_b",-2.69387930180525,1.77647683416784,-1.51641679192915,0.129413995696047,2.39837992339105,-1.1232079102782,0.261349203817078
"b_mileage_b",-0.672894403598716,0.298926280801792,-2.25103795422019,0.0243831335889324,0.422666929561525,-1.59202046939603,0.111380105311209
"b_range_year0_b",0.735973797277513,0.587236956714791,1.25328249331379,0.210102917316794,0.875379453547485,0.840748311255161,0.400488949541083
"b_degradation_b",-0.13880012139078,0.0450742696234392,-3.07936484718107,0.00207442468040142,0.0544396923852256,-2.54961252184535,0.0107842703936825
"b_packreplace_b",-1.34125752123779,0.724510607472646,-1.85126001938961,0.0641321548622542,0.802545878225868,-1.67125339202142,0.0946716382347645
"b_cellreplace_b",-1.63010202370701,0.805767690462475,-2.02304217828765,0.0430687991218517,1.1313163041939,-1.44088971197892,0.149615843030009
"b_price_b",-1.17410182917625,0.622662942928796,-1.88561378593317,0.0593470182892484,1.02104774168773,-1.14989905098417,0.250185451815054
"b_no_choice_c",-5.49683215711047,0.320983421851435,-17.1249721415664,0,0.370730740904453,-14.8270201270607,0
"b_mileage_c",-0.190625859090031,0.0222360966667106,-8.5728112243465,0,0.0242177406452951,-7.87133126421784,3.5527136788005e-15
"b_range_year0_c",0.673328376984702,0.058377391462079,11.5340607060541,0,0.0747591323051011,9.00663713212677,0
"b_degradation_c",-0.0515606529162437,0.00242651528764633,-21.2488473403588,0,0.00366166542698454,-14.0812026506488,0
"b_packreplace_c",-0.28542301368303,0.0691938892503207,-4.12497428277898,3.70776184652755e-05,0.0819692087670322,-3.48207598897583,0.000497542480818014
"b_cellreplace_c",-0.249377647432195,0.0683076649361007,-3.65080035550151,0.000261424394371712,0.0801147034101332,-3.11275754408713,0.0018534821716536
"b_price_c",-0.716210690593787,0.0480274363596574,-14.9125321874435,0,0.0650886549855411,-11.0036179231678,0
"delta_a",2.24213491563048,0.862865632319016,2.59847516420903,0.00936388184866499,0.960913617384055,2.33333660286172,0.019630485791523
"gamma_EV_rangeanxiety_a",-0.723860827673845,0.495580248240275,-1.46063292523089,0.144116205499438,0.513982117884493,-1.40833854425363,0.159030847452189
"gamma_risktaker_a",-0.391146718799986,0.338485769543128,-1.15557803014271,0.247853798697038,0.350956336667763,-1.11451675873364,0.26505755896696
"gamma_hhincome_a",0.00308875533063959,0.0261731996685187,0.118012141035808,0.906058037952866,0.029924860335971,0.103217034130207,0.917790720838041
"gamma_ev_charge_a",-0.0298302361915307,0.306144736973065,-0.0974383439887627,0.922378295485869,0.322300275542009,-0.0925541752682822,0.926257750249393
"gamma_evb_environment_agree_a",0.816475155347027,0.294593444260733,2.77153199181309,0.00557931894692509,0.314014980947599,2.60011529667521,0.00931924437447651
"gamma_evb_function_disagree_a",1.67025087389141,0.570448057869425,2.9279631175004,0.00341190515882439,0.590789821244742,2.82714903647517,0.00469644645865408
"gamma_hhveh_fuel_a",-0.784954467884979,0.509276870624822,-1.54131183480203,0.123240909908592,0.56674613338213,-1.38501953811429,0.166046493167576
"gamma_veh_range_a",-0.256019137833374,0.152391346432951,-1.68001099685812,0.092955176148577,0.172021789242249,-1.48829481986632,0.136673160479621
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",2.99821253561916,0.749717913837155,3.99912084303003,6.35782134315033e-05,0.802870071296723,3.7343682904716,0.000188186942783997
"gamma_EV_rangeanxiety_c",-0.961963464132191,0.433649030873815,-2.2182995824845,0.0265344126336622,0.422103736937909,-2.27897405294399,0.0226686077566391
"gamma_risktaker_c",0.392015545784341,0.272081893362543,1.44079983029958,0.149641241424216,0.278781625776681,1.40617425804944,0.159672386106032
"gamma_hhincome_c",0.00259383569154079,0.021695863403391,0.119554388931827,0.904836152837758,0.0219548423235168,0.118144127537751,0.905953459547245
"gamma_ev_charge_c",0.585660594028462,0.255059058029246,2.29617641715476,0.02166579637253,0.265964646603875,2.20202422204158,0.0276635975288249
"gamma_evb_environment_agree_c",0.924481375233905,0.249686175074867,3.7025733401407,0.000213423635990528,0.260381169862176,3.55049244046045,0.000384511178428859
"gamma_evb_function_disagree_c",1.81767105808179,0.535569555710566,3.3939028809623,0.000689041238270294,0.552344998613369,3.29082559386787,0.00099893825151165
"gamma_hhveh_fuel_c",-0.554513038618619,0.455807203443473,-1.21655172281056,0.223774820471188,0.480802743884224,-1.15330672645276,0.248784510222576
"gamma_veh_range_c",-0.387576958841656,0.129019207478219,-3.00402526427769,0.00266433199644722,0.142610786603392,-2.71772541245094,0.00657323639959517
