"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.68437015797684,1.30061530748971,-2.06392323888443,0.0390249949853256,1.44444682887941,-1.85840704157961,0.0631112330859587
"b_mileage_a",-0.435945631186515,0.168962721890991,-2.58012907407927,0.00987633929281673,0.246517412011697,-1.7684171987244,0.076991183430656
"b_range_pw1_a",-0.190748286169753,1.11384214128856,-0.171252531304915,0.86402520352123,1.53242293950169,-0.124474961352236,0.900939224128603
"b_range_pw2_a",2.38347817356435,1.11257190321369,2.14231382859807,0.0321682367946206,1.65332733178714,1.44162509609514,0.149408164742207
"b_range_pw3_a",1.22459939422222,0.52596328761223,2.32829823499975,0.0198962729646222,0.669622233618879,1.82879141811652,0.0674308610952612
"b_loss_pw1_a",-0.237094112230219,0.0719142484408915,-3.29690036912634,0.00097758172477902,0.0776593134861152,-3.05300293792333,0.00226563720175976
"b_loss_pw2_a",-0.0451525059873228,0.0695104619017134,-0.649578563456644,0.515964483602559,0.0705354505209625,-0.640139187512581,0.522082114200342
"b_loss_pw3_a",0.0304615587236519,0.0968357042003396,0.314569496604591,0.753088542364549,0.0953158315250255,0.319585510993042,0.749282559355787
"b_packreplace_a",-1.11801345594684,0.426117764535856,-2.62371942452251,0.0086975401017475,0.468606781518686,-2.38582432017633,0.0170408893782124
"b_cellreplace_a",-1.02603252274954,0.399623092638893,-2.56750058154594,0.0102434617597242,0.45922793403096,-2.23425546817971,0.0254662686207039
"b_price_a",-1.51793185449739,0.428848090346358,-3.53955605415298,0.000400800642729404,0.710051716890011,-2.13777647231931,0.0325348894288582
"b_no_choice_b",-9.79869412556038,0.62363810908061,-15.7121477710943,0,0.830195507514623,-11.8028753912376,0
"b_mileage_b",-0.293829889221352,0.0342260806024309,-8.58497040997686,0,0.0418254344226375,-7.02514853168675,2.13828954542805e-12
"b_range_pw1_b",0.454216029296393,0.26657031015721,1.70392580114612,0.088394950090106,0.291973552229251,1.55567525150276,0.119785334442672
"b_range_pw2_b",0.471145110280607,0.241472067801912,1.95113710073955,0.0510407388516403,0.249494061265625,1.8884021042048,0.0589719890825029
"b_range_pw3_b",0.51082041121458,0.144947937725691,3.52416473962733,0.00042482003713018,0.188975336174046,2.7031062442144,0.00686947849758734
"b_loss_pw1_b",-0.23650273233384,0.0236870810680262,-9.98446079762361,0,0.0287374976360724,-8.22976082778245,2.22044604925031e-16
"b_loss_pw2_b",-0.23836117616702,0.0167787174899803,-14.2061618421886,0,0.0190192015196672,-12.5326594768207,0
"b_loss_pw3_b",-0.21781124877903,0.0291509059008041,-7.47185180180018,7.90478793533111e-14,0.0306175583871927,-7.11393266649702,1.12776454841423e-12
"b_packreplace_b",-0.325907697986609,0.103410053411112,-3.15160554739245,0.00162375465209097,0.131269919408865,-2.48272947415704,0.0130380061184163
"b_cellreplace_b",-0.412444919971693,0.103745769469266,-3.97553482982146,7.02212652694545e-05,0.132715929430131,-3.10772732212848,0.0018853193005679
"b_price_b",-1.00034155560395,0.0851547523828509,-11.7473367910985,0,0.121626261400578,-8.22471680116274,2.22044604925031e-16
"b_no_choice_c",-1.80887920172129,0.514404670262544,-3.51645174760577,0.000437356147171553,0.744775240449646,-2.42875850790798,0.0151506200493938
"b_mileage_c",-0.300754676296038,0.0423383793753503,-7.10359443921321,1.21547216735962e-12,0.0571950727311305,-5.25840185062552,1.45312707422462e-07
"b_range_pw1_c",5.72484018106689,0.37099027506371,15.431240563068,0,0.403103606318074,14.201907627067,0
"b_range_pw2_c",2.96770897326752,0.362286516110684,8.19160758486756,2.22044604925031e-16,0.459435325397345,6.45947059186379,1.0506995273829e-10
"b_range_pw3_c",3.74899807600711,0.46566881092255,8.05078198941404,8.88178419700125e-16,0.73811814004696,5.07913011834203,3.79166962716226e-07
