"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.80322271529224,1.36203011818568,-2.05812094597902,0.039578524800588,1.5878887887354,-1.76537723244758,0.0775003872057269
"b_mileage_a",-0.434700407880135,0.170004927863974,-2.55698710232654,0.0105583132199185,0.246760175252935,-1.76163113612055,0.0781316397268212
"b_range_pw1_a",-0.205449766770793,1.16047684995593,-0.177039091110343,0.859477684263035,1.6801768830171,-0.12227865342479,0.902678337222125
"b_range_pw2_a",2.52471558117942,1.14169023386978,2.21138405697126,0.0270092529274737,1.77567026743205,1.42183806728409,0.155073265754085
"b_range_pw3_a",1.15381022267762,0.536926728703967,2.14891559871249,0.031641091067182,0.677873590154241,1.70210233801127,0.0887361857227185
"b_loss_pw1_a",-0.249535493002218,0.0734368271212426,-3.39796125165158,0.000678900351573031,0.080992852329787,-3.08095697119245,0.00206336464507095
"b_loss_pw2_a",-0.03619872655827,0.0707158404151066,-0.511889929410174,0.608728046634655,0.0711761036266876,-0.508579772055649,0.611046810519906
"b_loss_pw3_a",0.0125940629947347,0.103048226494471,0.122215232839649,0.902728562828568,0.107695428248283,0.116941482099873,0.906906425687484
"b_packreplace_a",-1.21138028180964,0.44057624286137,-2.74953609378072,0.00596796897429019,0.470740538269465,-2.57335024993367,0.0100719222726222
"b_cellreplace_a",-1.00094240615591,0.40117790011835,-2.4950088373777,0.0125953993190522,0.466929642237789,-2.14366858646804,0.0320594509427623
"b_price_a",-1.55225167171268,0.435411171723802,-3.56502490638282,0.000363821637709982,0.710493419579561,-2.18475165136819,0.0289070607814679
"b_no_choice_b",-9.92355631136436,0.665536240555557,-14.9106174940686,0,0.921850492811375,-10.7648218325516,0
"b_mileage_b",-0.308846259294176,0.0353165930239148,-8.74507512899218,0,0.0436117568279229,-7.08172020019231,1.4237500067793e-12
"b_range_pw1_b",0.379295777213632,0.276968706932102,1.36945354374137,0.170857546956827,0.295399064865221,1.28401143512993,0.199137954343764
"b_range_pw2_b",0.473087579312394,0.246432431541488,1.91974561283646,0.0548900396927654,0.257639325556627,1.83623978323299,0.0663222012427547
"b_range_pw3_b",0.583934820173526,0.146305407843546,3.99120462312622,6.57385286955137e-05,0.190366836149252,3.0674188424065,0.00215916083141532
"b_loss_pw1_b",-0.233920207967261,0.0240814690866641,-9.7137017316274,0,0.0298328385202012,-7.84103087639023,4.44089209850063e-15
"b_loss_pw2_b",-0.236012917614437,0.0171227233199313,-13.7836086704567,0,0.0195176435893887,-12.0922854510342,0
"b_loss_pw3_b",-0.225739123721126,0.0306822959567972,-7.35730872419006,1.87627691161651e-13,0.0322954706652062,-6.98980752010924,2.75268696725561e-12
"b_packreplace_b",-0.32580704210723,0.105044116210614,-3.10162105085435,0.00192464163904771,0.135088487653311,-2.41180464573248,0.0158737842543566
"b_cellreplace_b",-0.387234605277226,0.105159902706028,-3.68234084772532,0.000231102142133066,0.136336756711298,-2.84028030751252,0.00450739079295914
"b_price_b",-0.993458624218744,0.0877679964977382,-11.3191443790602,0,0.128690602758423,-7.71974489919558,1.15463194561016e-14
