Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : removebadcase_piecewise_rangeloss_car_suv_lc_6c_1
Model description                           : LC model with 6 classes, piecewise linear range and range loss
Model run at                                : 2026-06-18 18:26:05.851314
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -0.306197
     reciprocal of condition number         : 3.95093e-06
Number of individuals                       : 2691
Number of rows in database                  : 16146
Number of modelled outcomes                 : 16146

Number of cores used                        :  6 
Model without mixing

LL(start)                                   : -14956.65
LL (whole model) at equal shares, LL(0)     : -22383.11
LL (whole model) at observed shares, LL(C)  : -22214.38
LL(final, whole model)                      : -14941.62
Rho-squared vs equal shares                  :  0.3325 
Adj.Rho-squared vs equal shares              :  0.3271 
Rho-squared vs observed shares               :  0.3274 
Adj.Rho-squared vs observed shares           :  0.3228 
AIC                                         :  30125.25 
BIC                                         :  31055.67 

LL(0,Class_1)                    : -22383.11
LL(final,Class_1)                : -60580.77
LL(0,Class_2)                    : -22383.11
LL(final,Class_2)                : -28420.93
LL(0,Class_3)                    : -22383.11
LL(final,Class_3)                : -32352.56
LL(0,Class_4)                    : -22383.11
LL(final,Class_4)                : -24853.58
LL(0,Class_5)                    : -22383.11
LL(final,Class_5)                : -20971.12
LL(0,Class_6)                    : -22383.11
LL(final,Class_6)                : -33829.76

Estimated parameters                        : 121
Time taken (hh:mm:ss)                       :  00:09:42.4 
     pre-estimation                         :  00:00:15.59 
     estimation                             :  00:00:11.83 
     post-estimation                        :  00:09:14.97 
Iterations                                  :  14  

Unconstrained optimisation.

Estimates:
                                 Estimate        s.e.   t.rat.(0)  p(2-sided)    Rob.s.e.
b_no_choice_a                   -2.803223     1.36203    -2.05812    0.039579     1.58789
b_mileage_a                     -0.434700     0.17000    -2.55699    0.010558     0.24676
b_range_pw1_a                   -0.205450     1.16048    -0.17704    0.859478     1.68018
b_range_pw2_a                    2.524716     1.14169     2.21138    0.027009     1.77567
b_range_pw3_a                    1.153810     0.53693     2.14892    0.031641     0.67787
b_loss_pw1_a                    -0.249535     0.07344    -3.39796  6.7890e-04     0.08099
b_loss_pw2_a                    -0.036199     0.07072    -0.51189    0.608728     0.07118
b_loss_pw3_a                     0.012594     0.10305     0.12222    0.902729     0.10770
b_packreplace_a                 -1.211380     0.44058    -2.74954    0.005968     0.47074
b_cellreplace_a                 -1.000942     0.40118    -2.49501    0.012595     0.46693
b_price_a                       -1.552252     0.43541    -3.56502  3.6382e-04     0.71049
b_no_choice_b                   -9.923556     0.66554   -14.91062    0.000000     0.92185
b_mileage_b                     -0.308846     0.03532    -8.74508    0.000000     0.04361
b_range_pw1_b                    0.379296     0.27697     1.36945    0.170858     0.29540
b_range_pw2_b                    0.473088     0.24643     1.91975    0.054890     0.25764
b_range_pw3_b                    0.583935     0.14631     3.99120   6.574e-05     0.19037
b_loss_pw1_b                    -0.233920     0.02408    -9.71370    0.000000     0.02983
b_loss_pw2_b                    -0.236013     0.01712   -13.78361    0.000000     0.01952
b_loss_pw3_b                    -0.225739     0.03068    -7.35731   1.876e-13     0.03230
b_packreplace_b                 -0.325807     0.10504    -3.10162    0.001925     0.13509
b_cellreplace_b                 -0.387235     0.10516    -3.68234  2.3110e-04     0.13634
b_price_b                       -0.993459     0.08777   -11.31914    0.000000     0.12869
b_no_choice_c                   -1.728319     0.53227    -3.24709    0.001166     0.81960
b_mileage_c                     -0.291780     0.04351    -6.70669   1.991e-11     0.05917
b_range_pw1_c                    5.746861     0.37376    15.37569    0.000000     0.40997
