"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-6.11718538298576,0.440658675033288,-13.8819129852003,0,0.655944744233511,-9.32576323960618,0
"b_mileage_a",-0.285792146628534,0.039225905395582,-7.28580114968418,3.19744231092045e-13,0.0488646863814962,-5.84864383242528,4.95596985672364e-09
"b_range_year0_a",1.07669412834088,0.105184698974284,10.2362238884585,0,0.151794592364081,7.09309937575656,1.31139543668723e-12
"b_degradation_a",-0.769283947776104,0.0628011249096272,-12.2495249708206,0,0.142257439074024,-5.40768871409112,6.38432595678751e-08
"b_packreplace_a",-0.324097885565953,0.113071893131154,-2.86629927731046,0.00415301429200365,0.13907845659946,-2.33032414573985,0.0197890255211919
"b_cellreplace_a",-0.275729287328677,0.117184770417147,-2.35294472436267,0.0186254025784156,0.159023499193223,-1.73389020319349,0.0829375664604333
"b_price_a",-1.19398818426329,0.106365885435753,-11.2252925773319,0,0.231646622222934,-5.15435180019251,2.54509746389076e-07
"b_no_choice_b",-1.16586537013394,0.451914681556179,-2.57983512754943,0.00988474955565843,0.527493223118011,-2.21019971260013,0.0270913049217445
"b_mileage_b",-0.345322749148596,0.0646086140083992,-5.3448406911144,9.0496610871682e-08,0.0760960097647518,-4.53798760560703,5.67935975315237e-06
"b_range_year0_b",0.756335376437331,0.152591860288038,4.95659057442282,7.17409313288897e-07,0.232247776335575,3.25658823679975,0.00112759877425295
"b_degradation_b",-0.437917312248375,0.0465792581175272,-9.40155189126106,0,0.065192935972729,-6.71725096767481,1.85185200507476e-11
"b_packreplace_b",-0.604950935091415,0.188491884257655,-3.20942696007267,0.0013299983299242,0.216144627523196,-2.79882475925289,0.00512889642432923
"b_cellreplace_b",-0.53980419295393,0.187437556335201,-2.87991480207189,0.00397782648168454,0.239741665717141,-2.25160775178236,0.0243470707640963
"b_price_b",-0.91977153814921,0.138534300982379,-6.63930544007436,3.15165671338491e-11,0.209392665764116,-4.39256807201331,1.12019539457719e-05
"b_no_choice_c",-3.76118865913833,0.375005690549155,-10.0296842259393,0,0.539786386221545,-6.96792056106917,3.216538146944e-12
"b_mileage_c",-0.124665425294098,0.0316908186443415,-3.93380261624632,8.36124536645055e-05,0.0395603586710305,-3.15127136057513,0.00162561381566317
"b_range_year0_c",0.267450690066927,0.0867583617442681,3.08270793373524,0.00205126368201891,0.140823139569363,1.89919562143544,0.0575387602361401
"b_degradation_c",-0.0966908926261634,0.0248301360426477,-3.89409435615211,9.85662806216592e-05,0.0376065366883477,-2.57111930905679,0.0101370397266958
"b_packreplace_c",-0.319616910415461,0.0967796309213295,-3.30252251814508,0.000958193941845487,0.131486802922395,-2.43079079657982,0.0150659107894178
"b_cellreplace_c",-0.309410272976332,0.0981870038402482,-3.15123449005275,0.00162581905541304,0.139662738404487,-2.21541032712839,0.0267319131402284
"b_price_c",-0.534190044271923,0.0973321159150862,-5.48832252591691,4.05768671996043e-08,0.253600067899942,-2.10642705538505,0.0351672732042798
"delta_a",-2.1093710263462,0.66123057309263,-3.19006880834396,0.00142238923240168,0.993894198821578,-2.12232954860507,0.0338100737963802
"gamma_EV_rangeanxiety_a",0.674390250162816,0.288304464262404,2.33915992902909,0.0193271580578545,0.299222586048437,2.25380797308412,0.0242082510127781
"gamma_risktaker_a",-0.347911276229332,0.273336678896925,-1.27283055326991,0.203078176771131,0.499588014406914,-0.696396362995928,0.486180640106515
"gamma_hhincome_a",0.0604049663670494,0.0223387333356684,2.70404617215249,0.00685007700630003,0.0258042329016153,2.34089370520555,0.0192376432980939
"gamma_ev_charge_a",-0.15858893125564,0.251303928241603,-0.631064274901317,0.52799849891543,0.279199828924219,-0.568012279472721,0.570026629947999
"gamma_ev_neighbor_a",0.00436295641387072,0.255927548746389,0.0170476231857094,0.986398623473571,0.296413802725379,0.0147191405182737,0.988256249087048
"gamma_knowledge_ev_a",0.320286287761568,0.274256586970672,1.16783444036594,0.242873552980886,0.289824277206476,1.10510510316356,0.269114049611792
"gamma_evb_environment_agree_a",0.820344210817072,0.242264135895838,3.3861562207036,0.000708790217391231,0.266773859566996,3.07505470044398,0.00210463949746242
"gamma_evb_function_disagree_a",-0.298598922803292,0.288978079008605,-1.03329264222287,0.30146696949043,0.324893509060244,-0.919067061902808,0.358060496330605
"gamma_hhveh_fuel_a",0.504091140804377,0.32338721852608,1.55878498569579,0.119047279010274,0.351623935012596,1.43360872400885,0.151683952534581
"gamma_veh_refuel_a",-0.0258659883283125,0.0258878621271954,-0.999155055802775,0.317719584132383,0.030817820768619,-0.839319188806858,0.401290218070877
"gamma_veh_range_a",0.326413509975172,0.110430701089755,2.95582212875632,0.00311836870906235,0.118253665368864,2.76028238919279,0.0057751418128178
"delta_b",-1.8849605792689,0.587680609539147,-3.20745750101755,0.00133913845042044,0.659000145261481,-2.86033408766697,0.00423194925300141
"gamma_EV_rangeanxiety_b",0.75183769549586,0.296826551324742,2.53291928279461,0.0113116997289924,0.303303049536416,2.4788332878453,0.0131812899160288
"gamma_risktaker_b",-0.615916672523322,0.262683099665124,-2.3447137379927,0.0190416930046404,0.355026491442525,-1.73484708146922,0.0827678943826546
"gamma_hhincome_b",0.0530552290395448,0.0223826462409282,2.37037338965443,0.0177701290022236,0.023710505996443,2.23762533990224,0.0252454976676313
"gamma_ev_charge_b",-0.491275101591422,0.251064789851699,-1.95676622708271,0.050374959477469,0.269190050690301,-1.82501210699138,0.0679992023526024
"gamma_ev_neighbor_b",-0.113726961621653,0.255379491118285,-0.44532535139628,0.65608464975182,0.268820832548221,-0.423058587177216,0.672252516255699
"gamma_knowledge_ev_b",0.0418239332625878,0.258991999913403,0.16148735588965,0.871709569195569,0.267765008513728,0.156196410780999,0.875878205795125
"gamma_evb_environment_agree_b",-0.0543068988364335,0.237573901585151,-0.228589497727169,0.819187988063332,0.248810330430536,-0.21826625422852,0.827221665809958
"gamma_evb_function_disagree_b",-0.764114496570997,0.309278544656596,-2.47063532137162,0.013487327974721,0.325850041763294,-2.34498818056334,0.0190276827760631
"gamma_hhveh_fuel_b",0.575889917611558,0.337078376216317,1.70847481845583,0.0875482749669045,0.351667096079227,1.63759966181714,0.101505233665983
"gamma_veh_refuel_b",-0.079538839018474,0.0317577777536953,-2.50454674868487,0.0122608401219908,0.035071614847067,-2.26789782464567,0.0233354349739248
"gamma_veh_range_b",0.424807731294831,0.112693047553695,3.76960017069749,0.000163509275297624,0.122925469476882,3.45581540670643,0.000548630900427893
"delta_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_c",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_c",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_c",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_c",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_c",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_c",0,NA,NA,NA,NA,NA,NA
