parameter,pref_car_treat_est,pref_car_treat_se,pref_suv_treat_est,pref_suv_treat_se,pref_car_notreat_est,pref_car_notreat_se,pref_suv_notreat_est,pref_suv_notreat_se,wtp_car_treat_est,wtp_car_treat_se,wtp_suv_treat_est,wtp_suv_treat_se,wtp_car_notreat_est,wtp_car_notreat_se,wtp_suv_notreat_est,wtp_suv_notreat_se
price,-0.9964,0.0787,-0.98,0.0699,-1.1323,0.0856,-1.051,0.0706,NA,NA,NA,NA,NA,NA,NA,NA
mileage,-0.2757,0.0451,-0.2881,0.0377,-0.2833,0.0454,-0.3369,0.0418,-0.2769,0.0484,-0.2942,0.0417,-0.2295,0.0413,-0.3204,0.0426
battery_range_year3,1.2028,0.1323,0.7695,0.1155,1.1343,0.15,0.7902,0.1107,1.2071,0.1534,0.7848,0.1239,1.0455,0.1429,0.754,0.1109
battery_range_loss,-0.0855,0.0066,-0.1203,0.0082,-0.0781,0.0066,-0.1283,0.0086,-0.0858,0.0088,-0.1229,0.0111,-0.0687,0.0071,-0.122,0.0103
battery_refurbishpackreplace,-0.5058,0.1059,-0.5075,0.1053,-0.2401,0.1158,-0.4588,0.1012,-0.5077,0.1105,-0.5183,0.1104,-0.1669,0.0992,-0.4372,0.0986
battery_refurbishcellreplace,-0.5005,0.0964,-0.4319,0.1114,-0.3175,0.1133,-0.5162,0.0978,-0.5023,0.1022,-0.4405,0.1148,-0.2779,0.099,-0.4909,0.0957
no_choice,-4.2583,0.2868,-5.4962,0.359,-4.6615,0.3047,-5.8472,0.3681,-4.2741,0.2807,-5.6102,0.355,-4.1097,0.2571,-5.5651,0.3214
sd_mileage,-0.5394,0.0468,-0.3031,0.049,-0.4799,0.0461,-0.4199,0.0481,-0.5415,0.0583,-0.3096,0.0517,-0.4075,0.0463,-0.4001,0.0482
sd_battery_range_year3,1.591,0.1827,-1.4161,0.1114,1.8477,0.1724,1.3821,0.1118,1.5966,0.2153,-1.4436,0.143,1.6218,0.177,1.3163,0.1266
sd_battery_range_loss,0.0746,0.0066,-0.0899,0.0072,0.0718,0.0071,0.0975,0.0085,0.0749,0.0081,-0.0918,0.009,0.0638,0.0072,0.0927,0.009
sd_battery_refurbishpackreplace,0.714,0.1675,-0.6953,0.1861,-0.7835,0.1885,0.6515,0.19,0.7169,0.1741,-0.7105,0.1889,0.6576,0.177,0.6177,0.1803
sd_battery_refurbishcellreplace,-0.3599,0.2641,0.8362,0.1793,-0.7708,0.2027,-0.4517,0.2473,-0.3609,0.2654,0.8532,0.1822,0.6468,0.1674,-0.4272,0.2341
scalePar,NA,NA,NA,NA,NA,NA,NA,NA,0.9963,0.0787,0.9795,0.0699,1.132,0.0847,1.0492,0.0705
Log-Likelihood,-2280.9964,NA,-2199.6179,NA,-2041.3104,NA,-2341.5206,NA,-2280.9964,NA,-2199.6182,NA,-2041.0985,NA,-2341.5199,NA
Null Log-Likelihood,-3052.6202,NA,-3202.34,NA,-2686.6385,NA,-3418.6019,NA,-3052.6202,NA,-3202.34,NA,-2686.6385,NA,-3418.6019,NA
McFadden R2,0.2528,NA,0.3131,NA,0.2402,NA,0.3151,NA,0.2528,NA,0.3131,NA,0.2403,NA,0.3151,NA
AIC,4585.9928,NA,4423.2358,NA,4106.6208,NA,4707.0413,NA,4585.9928,NA,4423.2363,NA,4106.1971,NA,4707.0398,NA
BIC,4654.3583,NA,4492.1758,NA,4173.4537,NA,4776.7655,NA,4654.3583,NA,4492.1763,NA,4173.03,NA,4776.7641,NA
N Observations (choice occasions),2202,NA,2310,NA,1938,NA,2466,NA,2202,NA,2310,NA,1938,NA,2466,NA
N Respondents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
