"variable","estimate_car_class1","estimate_suv_class1","estimate_car_class2","estimate_suv_class2","estimate_car_class3","estimate_suv_class3","std_error_car_class1","std_error_suv_class1","std_error_car_class2","std_error_suv_class2","std_error_car_class3","std_error_suv_class3","sig_car_class1","sig_suv_class1","sig_car_class2","sig_suv_class2","sig_car_class3","sig_suv_class3","label","section","fmt"
"scalePar",0.706,0.977,1.07,1.013,0.789,0.823,0.182,0.142,0.135,0.115,0.129,0.115,"***","***","***","***","***","***","Scale parameter","Other Parameters","number"
"mileage",-0.25,-0.269,-0.3,-0.261,-0.302,-0.407,0.117,0.073,0.063,0.05,0.078,0.085,"*","***","***","***","***","***","Mileage (10,000 miles)","Vehicle Attributes (Directly interpretable as $10,000 WTP)","dollar"
"battery_range_year0",0.973,0.607,0.754,0.622,0.906,0.729,0.375,0.171,0.15,0.137,0.229,0.163,"**","***","***","***","***","***","BEV Electric Range at Year 0 (100 miles)","Vehicle Attributes (Directly interpretable as $10,000 WTP)","dollar"
"battery_degradation",-0.48,-0.546,-0.411,-0.607,-0.51,-0.682,0.132,0.089,0.062,0.081,0.089,0.098,"***","***","***","***","***","***","Battery Degradation Rate (% per year)","Vehicle Attributes (Directly interpretable as $10,000 WTP)","dollar"
"battery_refurbishpackreplace",-0.355,-0.482,-0.321,-0.495,-0.745,-0.406,0.29,0.198,0.143,0.144,0.218,0.182,"","*","*","***","***","*","Battery Refurbishment: Pack Replace","Vehicle Attributes (Directly interpretable as $10,000 WTP)","dollar"
"battery_refurbishcellreplace",-0.7,-0.182,-0.293,-0.544,-0.533,-0.511,0.342,0.185,0.128,0.153,0.186,0.187,"*","","*","***","**","**","Battery Refurbishment: Cell Replace","Vehicle Attributes (Directly interpretable as $10,000 WTP)","dollar"
"no_choice",-4.075,-5.136,-4.873,-6.009,-6.048,-6.652,0.81,0.688,0.533,0.597,0.802,0.738,"***","***","***","***","***","***","No-Choice Option (opt-out)","Other Parameters","number"
"sd_mileage",-0.643,-0.393,-0.45,-0.355,-0.589,-0.514,0.172,0.079,0.08,0.067,0.116,0.126,"***","***","***","***","***","***","SD (Mileage)","Other Parameters","number"
"sd_battery_range_year0",2.595,1.03,1.28,1.368,-2.027,-1.417,0.756,0.208,0.309,0.196,0.433,0.25,"***","***","***","***","***","***","SD (Battery Range Year 0)","Other Parameters","number"
"sd_battery_degradation",0.543,0.376,0.321,0.475,-0.429,-0.473,0.142,0.071,0.054,0.068,0.076,0.079,"***","***","***","***","***","***","SD (Battery Degradation)","Other Parameters","number"
"sd_battery_refurbishpackreplace",-1.066,0.83,0.732,0.569,1.023,-0.822,0.506,0.297,0.174,0.231,0.303,0.253,"*","**","***","*","***","**","SD (Battery Refurbishment: Pack Replace)","Other Parameters","number"
"sd_battery_refurbishcellreplace",1.47,-0.672,-0.134,-0.885,-0.456,0.539,0.52,0.43,0.338,0.221,0.422,0.44,"**","","","***","","","SD (Battery Refurbishment: Cell Replace)","Other Parameters","number"
