resp_removed,term,estimate_loo,std.error_loo,estimate_full,std.error_full,diff_estimate,diff_std,diff_estimate_perc,diff_std_perc
1,scalePar,0.2757675315505572,0.03799514113869793,0.27576060111899015,0.03801371262145017,1e-5,-2e-5,0.003,-0.049
1,mileage,-0.6354470284581017,0.12304820208544216,-0.6353231034422926,0.12305555601167874,-1.2e-4,-1e-5,0.02,-0.006
1,age,-0.39477777137394954,0.0665976833050872,-0.3947919234373871,0.06662227667261399,1e-5,-2e-5,-0.004,-0.037
1,operating_cost,-0.14437623848907502,0.03791994317594087,-0.14437894567590726,0.03792653641845433,0,-1e-5,-0.002,-0.017
1,range_bev,0.6027608742468843,0.35467049467865014,0.6031531566243922,0.35471563430461767,-3.9e-4,-5e-5,-0.065,-0.013
1,range_phev,-0.057854510047449265,0.21924198594961442,-0.05770556039922972,0.21924487500339213,-1.5e-4,-0,0.258,-0.001
1,powertrainbev,-5.422549702317016,0.9945451443389899,-5.423354656968233,0.9950117848307474,8e-4,-4.7e-4,-0.015,-0.047
1,powertrainphev,-3.8400507822200605,0.8390259990618093,-3.840460502160854,0.839279392941598,4.1e-4,-2.5e-4,-0.011,-0.03
1,powertrainhev,-0.7046196068600754,0.30813096918456284,-0.70418430512551,0.3081112001028441,-4.4e-4,2e-5,0.062,0.006
1,no_choice,-12.690644944040214,1.5065879899043533,-12.69086154695635,1.5072393648797635,2.2e-4,-6.5e-4,-0.002,-0.043
2,scalePar,0.2757406200897462,0.038001817377684086,0.27576060111899015,0.03801371262145017,-2e-5,-1e-5,-0.007,-0.031
2,mileage,-0.6355034050743803,0.12307616390889414,-0.6353231034422926,0.12305555601167874,-1.8e-4,2e-5,0.028,0.017
2,age,-0.3948284598542349,0.06661874934151926,-0.3947919234373871,0.06662227667261399,-4e-5,-0,0.009,-0.005
2,operating_cost,-0.144392892163959,0.037927028404703356,-0.14437894567590726,0.03792653641845433,-1e-5,0,0.01,0.001
2,range_bev,0.602939948267033,0.3547204900362176,0.6031531566243922,0.35471563430461767,-2.1e-4,0,-0.035,0.001
2,range_phev,-0.05793239334432865,0.21925989724749956,-0.05770556039922972,0.21924487500339213,-2.3e-4,2e-5,0.393,0.007
2,powertrainbev,-5.423367634963239,0.9948627553526365,-5.423354656968233,0.9950117848307474,-1e-5,-1.5e-4,0,-0.015
2,powertrainphev,-3.840026622069925,0.8391210018193117,-3.840460502160854,0.839279392941598,4.3e-4,-1.6e-4,-0.011,-0.019
2,powertrainhev,-0.7046220850370909,0.30816352137524033,-0.70418430512551,0.3081112001028441,-4.4e-4,5e-5,0.062,0.017
2,no_choice,-12.6918602992574,1.507133406107307,-12.69086154695635,1.5072393648797635,-0.001,-1.1e-4,0.008,-0.007
3,scalePar,0.2757940845196675,0.038026749501005784,0.27576060111899015,0.03801371262145017,3e-5,1e-5,0.012,0.034
3,mileage,-0.6355341219120512,0.12311240525932898,-0.6353231034422926,0.12305555601167874,-2.1e-4,6e-5,0.033,0.046
3,age,-0.39472576512939356,0.06661954673143274,-0.3947919234373871,0.06662227667261399,7e-5,-0,-0.017,-0.004
3,operating_cost,-0.14434289050134827,0.037921876254935226,-0.14437894567590726,0.03792653641845433,4e-5,-0,-0.025,-0.012
3,range_bev,0.602814495614077,0.3546641637897642,0.6031531566243922,0.35471563430461767,-3.4e-4,-5e-5,-0.056,-0.015
3,range_phev,-0.05765517246731595,0.21921570985645997,-0.05770556039922972,0.21924487500339213,5e-5,-3e-5,-0.087,-0.013
3,powertrainbev,-5.422312790642528,0.9949394151505686,-5.423354656968233,0.9950117848307474,0.00104,-7e-5,-0.019,-0.007
3,powertrainphev,-3.8398896061928514,0.8392329796060892,-3.840460502160854,0.839279392941598,5.7e-4,-5e-5,-0.015,-0.006
3,powertrainhev,-0.7039473761818951,0.3080694311762649,-0.70418430512551,0.3081112001028441,2.4e-4,-4e-5,-0.034,-0.014
3,no_choice,-12.690463090160735,1.5075172303851418,-12.69086154695635,1.5072393648797635,4e-4,2.8e-4,-0.003,0.018
4,scalePar,0.27581915510105015,0.03798279004369831,0.27576060111899015,0.03801371262145017,6e-5,-3e-5,0.021,-0.081
4,mileage,-0.6351949050824174,0.12296573744956721,-0.6353231034422926,0.12305555601167874,1.3e-4,-9e-5,-0.02,-0.073
4,age,-0.39463224751652054,0.0665467470305111,-0.3947919234373871,0.06662227667261399,1.6e-4,-8e-5,-0.04,-0.113
4,operating_cost,-0.1443079773091842,0.03790050696296954,-0.14437894567590726,0.03792653641845433,7e-5,-3e-5,-0.049,-0.069
4,range_bev,0.6031686100083176,0.3546116624761271,0.6031531566243922,0.35471563430461767,2e-5,-1e-4,0.003,-0.029
4,range_phev,-0.057855275825140405,0.21920884799164758,-0.05770556039922972,0.21924487500339213,-1.5e-4,-4e-5,0.259,-0.016
4,powertrainbev,-5.421451379040229,0.9940398782696106,-5.423354656968233,0.9950117848307474,0.0019,-9.7e-4,-0.035,-0.098
4,powertrainphev,-3.8396274887589894,0.8387608061496534,-3.840460502160854,0.839279392941598,8.3e-4,-5.2e-4,-0.022,-0.062
4,powertrainhev,-0.7040885323998928,0.3080160106456158,-0.70418430512551,0.3081112001028441,1e-4,-1e-4,-0.014,-0.031
4,no_choice,-12.68751910782577,1.5053525987489722,-12.69086154695635,1.5072393648797635,0.00334,-0.00189,-0.026,-0.125
5,scalePar,0.275910249522557,0.03805649506338544,0.27576060111899015,0.03801371262145017,1.5e-4,4e-5,0.054,0.113
5,mileage,-0.6350867668685584,0.12304906616707159,-0.6353231034422926,0.12305555601167874,2.4e-4,-1e-5,-0.037,-0.005
5,age,-0.3946336021398155,0.06662308486007557,-0.3947919234373871,0.06662227667261399,1.6e-4,0,-0.04,0.001
5,operating_cost,-0.1443000863914869,0.037913873515137024,-0.14437894567590726,0.03792653641845433,8e-5,-1e-5,-0.055,-0.033
5,range_bev,0.6024355287964521,0.35452004227244477,0.6031531566243922,0.35471563430461767,-7.2e-4,-2e-4,-0.119,-0.055
5,range_phev,-0.056450176326093185,0.21913108491993658,-0.05770556039922972,0.21924487500339213,0.00126,-1.1e-4,-2.175,-0.052
5,powertrainbev,-5.420722345913533,0.9948789924056715,-5.423354656968233,0.9950117848307474,0.00263,-1.3e-4,-0.049,-0.013
5,powertrainphev,-3.8427279148251827,0.8398555720459924,-3.840460502160854,0.839279392941598,-0.00227,5.8e-4,0.059,0.069
5,powertrainhev,-0.7044389190616278,0.30802697028388626,-0.70418430512551,0.3081112001028441,-2.5e-4,-8e-5,0.036,-0.027
5,no_choice,-12.686687067114475,1.50739742820981,-12.69086154695635,1.5072393648797635,0.00417,1.6e-4,-0.033,0.01
6,scalePar,0.27575186699202225,0.03799591256634522,0.27576060111899015,0.03801371262145017,-1e-5,-2e-5,-0.003,-0.047
6,mileage,-0.635408108198278,0.12304509040072316,-0.6353231034422926,0.12305555601167874,-9e-5,-1e-5,0.013,-0.009
6,age,-0.39476094641125875,0.06659616121202648,-0.3947919234373871,0.06662227667261399,3e-5,-3e-5,-0.008,-0.039
6,operating_cost,-0.14441929419637245,0.03792831602379902,-0.14437894567590726,0.03792653641845433,-4e-5,0,0.028,0.005
6,range_bev,0.602932283803282,0.3547099900151864,0.6031531566243922,0.35471563430461767,-2.2e-4,-1e-5,-0.037,-0.002
6,range_phev,-0.057799842373734915,0.21925201823844495,-0.05770556039922972,0.21924487500339213,-9e-5,1e-5,0.163,0.003
6,powertrainbev,-5.423608922703634,0.9948151884351074,-5.423354656968233,0.9950117848307474,-2.5e-4,-2e-4,0.005,-0.02
6,powertrainphev,-3.840385754977344,0.839118298281047,-3.840460502160854,0.839279392941598,7e-5,-1.6e-4,-0.002,-0.019
6,powertrainhev,-0.7045789587917254,0.3081419813156218,-0.70418430512551,0.3081112001028441,-3.9e-4,3e-5,0.056,0.01
6,no_choice,-12.691149593438057,1.5067571727071958,-12.69086154695635,1.5072393648797635,-2.9e-4,-4.8e-4,0.002,-0.032
7,scalePar,0.2757979611742979,0.03800887733855717,0.27576060111899015,0.03801371262145017,4e-5,-0,0.014,-0.013
7,mileage,-0.6353340091251365,0.12304242310944093,-0.6353231034422926,0.12305555601167874,-1e-5,-1e-5,0.002,-0.011
7,age,-0.39474144952933354,0.0666026268766004,-0.3947919234373871,0.06662227667261399,5e-5,-2e-5,-0.013,-0.029
7,operating_cost,-0.1443605224466194,0.03791900302272342,-0.14437894567590726,0.03792653641845433,2e-5,-1e-5,-0.013,-0.02
7,range_bev,0.6032734285916741,0.3546812957158184,0.6031531566243922,0.35471563430461767,1.2e-4,-3e-5,0.02,-0.01
7,range_phev,-0.05691039960429743,0.21921469494800405,-0.05770556039922972,0.21924487500339213,8e-4,-3e-5,-1.378,-0.014
7,powertrainbev,-5.423206452475019,0.9948601974062735,-5.423354656968233,0.9950117848307474,1.5e-4,-1.5e-4,-0.003,-0.015
7,powertrainphev,-3.8422849180369383,0.8395209971903137,-3.840460502160854,0.839279392941598,-0.00182,2.4e-4,0.048,0.029
7,powertrainhev,-0.7045712440759685,0.30810828278675245,-0.70418430512551,0.3081112001028441,-3.9e-4,-0,0.055,-0.001
7,no_choice,-12.689568043471077,1.5067257821464928,-12.69086154695635,1.5072393648797635,0.00129,-5.1e-4,-0.01,-0.034
8,scalePar,0.2757619665938743,0.03798063464285307,0.27576060111899015,0.03801371262145017,0,-3e-5,0,-0.087
8,mileage,-0.6354557076913535,0.12302679070212315,-0.6353231034422926,0.12305555601167874,-1.3e-4,-3e-5,0.021,-0.023
8,age,-0.39475513731004547,0.06657668977987836,-0.3947919234373871,0.06662227667261399,4e-5,-5e-5,-0.009,-0.068
8,operating_cost,-0.14439513877819543,0.03791887033110674,-0.14437894567590726,0.03792653641845433,-2e-5,-1e-5,0.011,-0.02
8,range_bev,0.6027869125856697,0.3546708395730888,0.6031531566243922,0.35471563430461767,-3.7e-4,-4e-5,-0.061,-0.013
8,range_phev,-0.05796872729191097,0.21924484656150076,-0.05770556039922972,0.21924487500339213,-2.6e-4,-0,0.456,-0
8,powertrainbev,-5.4226845041757334,0.9943632292043068,-5.423354656968233,0.9950117848307474,6.7e-4,-6.5e-4,-0.012,-0.065
8,powertrainphev,-3.839686200374189,0.8388333702069963,-3.840460502160854,0.839279392941598,7.7e-4,-4.5e-4,-0.02,-0.053
8,powertrainhev,-0.7047379055639063,0.30813458063584903,-0.70418430512551,0.3081112001028441,-5.5e-4,2e-5,0.079,0.008
8,no_choice,-12.690686222247404,1.506141437310097,-12.69086154695635,1.5072393648797635,1.8e-4,-0.0011,-0.001,-0.073
9,scalePar,0.2757325202784165,0.038016892789534226,0.27576060111899015,0.03801371262145017,-3e-5,0,-0.01,0.008
9,mileage,-0.6355648836774304,0.12311567705180906,-0.6353231034422926,0.12305555601167874,-2.4e-4,6e-5,0.038,0.049
9,age,-0.3948514503794829,0.06664173329439431,-0.3947919234373871,0.06662227667261399,-6e-5,2e-5,0.015,0.029
9,operating_cost,-0.1443972957983549,0.03793329659853768,-0.14437894567590726,0.03792653641845433,-2e-5,1e-5,0.013,0.018
9,range_bev,0.6028465478773092,0.35473399380836407,0.6031531566243922,0.35471563430461767,-3.1e-4,2e-5,-0.051,0.005
9,range_phev,-0.05798837847038831,0.21927210457955196,-0.05770556039922972,0.21924487500339213,-2.8e-4,3e-5,0.49,0.012
9,powertrainbev,-5.4235357751809055,0.9951381691284544,-5.423354656968233,0.9950117848307474,-1.8e-4,1.3e-4,0.003,0.013
9,powertrainphev,-3.84041854437194,0.8393499688108018,-3.840460502160854,0.839279392941598,4e-5,7e-5,-0.001,0.008
9,powertrainhev,-0.7046465955075669,0.3081873707646508,-0.70418430512551,0.3081112001028441,-4.6e-4,8e-5,0.066,0.025
9,no_choice,-12.69245199450256,1.5077734300402035,-12.69086154695635,1.5072393648797635,-0.00159,5.3e-4,0.013,0.035
10,scalePar,0.2757656325668147,0.0380027080534983,0.27576060111899015,0.03801371262145017,1e-5,-1e-5,0.002,-0.029
10,mileage,-0.6355064534171896,0.12307304016434865,-0.6353231034422926,0.12305555601167874,-1.8e-4,2e-5,0.029,0.014
10,age,-0.3947921294617125,0.06660960226744472,-0.3947919234373871,0.06662227667261399,-0,-1e-5,0,-0.019
10,operating_cost,-0.14437718965791743,0.03792255251601758,-0.14437894567590726,0.03792653641845433,0,-0,-0.001,-0.011
10,range_bev,0.6024066643946032,0.3546587084466051,0.6031531566243922,0.35471563430461767,-7.5e-4,-6e-5,-0.124,-0.016
10,range_phev,-0.057581877703877286,0.21923767108125017,-0.05770556039922972,0.21924487500339213,1.2e-4,-1e-5,-0.214,-0.003
10,powertrainbev,-5.422118369416809,0.9945719667083519,-5.423354656968233,0.9950117848307474,0.00124,-4.4e-4,-0.023,-0.044
10,powertrainphev,-3.840405186669134,0.8391601388014952,-3.840460502160854,0.839279392941598,6e-5,-1.2e-4,-0.001,-0.014
10,powertrainhev,-0.7042692460389826,0.30810744524331896,-0.70418430512551,0.3081112001028441,-8e-5,-0,0.012,-0.001
10,no_choice,-12.690990608972472,1.506917220330612,-12.69086154695635,1.5072393648797635,-1.3e-4,-3.2e-4,0.001,-0.021
11,scalePar,0.27575693432664833,0.03799155280055813,0.27576060111899015,0.03801371262145017,-0,-2e-5,-0.001,-0.058
11,mileage,-0.6355675414914755,0.1230685093205625,-0.6353231034422926,0.12305555601167874,-2.4e-4,1e-5,0.038,0.011
11,age,-0.39471572120217996,0.06658074576047798,-0.3947919234373871,0.06662227667261399,8e-5,-4e-5,-0.019,-0.062
11,operating_cost,-0.14435815586207545,0.037917166149101615,-0.14437894567590726,0.03792653641845433,2e-5,-1e-5,-0.014,-0.025
11,range_bev,0.6026911570161193,0.35467021428775486,0.6031531566243922,0.35471563430461767,-4.6e-4,-5e-5,-0.077,-0.013
11,range_phev,-0.05806232798025028,0.2192628792842631,-0.05770556039922972,0.21924487500339213,-3.6e-4,2e-5,0.618,0.008
11,powertrainbev,-5.421832176721685,0.9943499776954202,-5.423354656968233,0.9950117848307474,0.00152,-6.6e-4,-0.028,-0.067
11,powertrainphev,-3.839859924933762,0.8389951143305522,-3.840460502160854,0.839279392941598,6e-4,-2.8e-4,-0.016,-0.034
11,powertrainhev,-0.7035004112503531,0.3080328835458891,-0.70418430512551,0.3081112001028441,6.8e-4,-8e-5,-0.097,-0.025
11,no_choice,-12.690118116837654,1.5063556673605145,-12.69086154695635,1.5072393648797635,7.4e-4,-8.8e-4,-0.006,-0.059
12,scalePar,0.2757414055347561,0.037973736523877394,0.27576060111899015,0.03801371262145017,-2e-5,-4e-5,-0.007,-0.105
12,mileage,-0.635453425630096,0.12301879643946462,-0.6353231034422926,0.12305555601167874,-1.3e-4,-4e-5,0.021,-0.03
12,age,-0.3947551099890263,0.06657051246587449,-0.3947919234373871,0.06662227667261399,4e-5,-5e-5,-0.009,-0.078
12,operating_cost,-0.14436450624760908,0.037913772285044306,-0.14437894567590726,0.03792653641845433,1e-5,-1e-5,-0.01,-0.034
12,range_bev,0.6026987124576582,0.3546852584559275,0.6031531566243922,0.35471563430461767,-4.5e-4,-3e-5,-0.075,-0.009
12,range_phev,-0.05801445828264908,0.2192576273695367,-0.05770556039922972,0.21924487500339213,-3.1e-4,1e-5,0.535,0.006
12,powertrainbev,-5.422687838649733,0.9942878778469297,-5.423354656968233,0.9950117848307474,6.7e-4,-7.2e-4,-0.012,-0.073
12,powertrainphev,-3.8396102184716825,0.8387856558788034,-3.840460502160854,0.839279392941598,8.5e-4,-4.9e-4,-0.022,-0.059
12,powertrainhev,-0.7047336862742979,0.30814650702296614,-0.70418430512551,0.3081112001028441,-5.5e-4,4e-5,0.078,0.011
12,no_choice,-12.690753113461437,1.505959911032055,-12.69086154695635,1.5072393648797635,1.1e-4,-0.00128,-0.001,-0.085
13,scalePar,0.2757719064660743,0.037990527461113144,0.27576060111899015,0.03801371262145017,1e-5,-2e-5,0.004,-0.061
13,mileage,-0.6354068710138626,0.12303153599658809,-0.6353231034422926,0.12305555601167874,-8e-5,-2e-5,0.013,-0.02
13,age,-0.3947391783353401,0.06658350371725534,-0.3947919234373871,0.06662227667261399,5e-5,-4e-5,-0.013,-0.058
13,operating_cost,-0.14436735902263845,0.037916742329631076,-0.14437894567590726,0.03792653641845433,1e-5,-1e-5,-0.008,-0.026
13,range_bev,0.6027578450198434,0.35466431913482466,0.6031531566243922,0.35471563430461767,-4e-4,-5e-5,-0.066,-0.014
13,range_phev,-0.05783794595513979,0.21923961564240368,-0.05770556039922972,0.21924487500339213,-1.3e-4,-1e-5,0.229,-0.002
13,powertrainbev,-5.422415678066309,0.9944431695463535,-5.423354656968233,0.9950117848307474,9.4e-4,-5.7e-4,-0.017,-0.057
13,powertrainphev,-3.8399924721219336,0.8389689285134896,-3.840460502160854,0.839279392941598,4.7e-4,-3.1e-4,-0.012,-0.037
13,powertrainhev,-0.7043245834502037,0.30809406983630105,-0.70418430512551,0.3081112001028441,-1.4e-4,-2e-5,0.02,-0.006
13,no_choice,-12.68997298307945,1.5062690922106945,-12.69086154695635,1.5072393648797635,8.9e-4,-9.7e-4,-0.007,-0.064
14,scalePar,0.2757646518467322,0.037998111266232606,0.27576060111899015,0.03801371262145017,0,-2e-5,0.001,-0.041
14,mileage,-0.6355412090958464,0.1230727199857555,-0.6353231034422926,0.12305555601167874,-2.2e-4,2e-5,0.034,0.014
14,age,-0.3947797344289578,0.06660177379148746,-0.3947919234373871,0.06662227667261399,1e-5,-2e-5,-0.003,-0.031
14,operating_cost,-0.144357450504769,0.037918331743794,-0.14437894567590726,0.03792653641845433,2e-5,-1e-5,-0.015,-0.022
14,range_bev,0.6031812508865069,0.35470573279319195,0.6031531566243922,0.35471563430461767,3e-5,-1e-5,0.005,-0.003
14,range_phev,-0.057890065758006926,0.21924516685264442,-0.05770556039922972,0.21924487500339213,-1.8e-4,0,0.32,0
14,powertrainbev,-5.42314684513571,0.9947292170615111,-5.423354656968233,0.9950117848307474,2.1e-4,-2.8e-4,-0.004,-0.028
14,powertrainphev,-3.8399316948226314,0.8390374652304619,-3.840460502160854,0.839279392941598,5.3e-4,-2.4e-4,-0.014,-0.029
14,powertrainhev,-0.7045019688108126,0.30812617509434104,-0.70418430512551,0.3081112001028441,-3.2e-4,1e-5,0.045,0.005
14,no_choice,-12.690667308282253,1.5066932773472668,-12.69086154695635,1.5072393648797635,1.9e-4,-5.5e-4,-0.002,-0.036
15,scalePar,0.27576586755911436,0.03799472042986094,0.27576060111899015,0.03801371262145017,1e-5,-2e-5,0.002,-0.05
15,mileage,-0.6354641732961601,0.12305130128640378,-0.6353231034422926,0.12305555601167874,-1.4e-4,-0,0.022,-0.003
