"Variables","Est._Car_class1","Est._Car_class3","Est._Car_class2","Est._SUV_class1","Est._SUV_class3","Est._SUV_class2","Est._Combined_class1","Est._Combined_class3","Est._Combined_class2","Std.Err._Car_class1","Std.Err._Car_class3","Std.Err._Car_class2","Std.Err._SUV_class1","Std.Err._SUV_class3","Std.Err._SUV_class2","Std.Err._Combined_class1","Std.Err._Combined_class3","Std.Err._Combined_class2","Sig._Car_class1","Sig._Car_class3","Sig._Car_class2","Sig._SUV_class1","Sig._SUV_class3","Sig._SUV_class2","Sig._Combined_class1","Sig._Combined_class3","Sig._Combined_class2","label","section","fmt"
"no_choice",-5.24,-7.23,-7.71,-5.37,-5.91,-8.92,-5.06,-6.23,-8.77,1.08,1.03,1.04,1.15,1.13,1.82,0.54,0.51,0.61,"***","***","***","***","***","***","***","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"powertrainbev",-4.1,0.17,-2.98,-4.43,-0.6,-4.77,-4.28,-0.08,-4.56,1.73,0.52,1.3,1.29,0.5,0.87,0.8,0.24,1,"*"," ","*","***"," ","***","***"," ","***","Powertrain: BEV","Vehicle Attributes","dollar"
"powertrainhev",-2.09,1.1,-0.02,-1.72,1.04,-0.08,-1.82,0.9,-0.09,0.54,0.37,0.31,1.82,0.14,1.32,0.41,0.12,0.24,"***","***"," "," ","***"," ","***","***"," ","Powertrain: HEV","Vehicle Attributes","dollar"
"range_bev",0.27,0.88,0.47,0.7,0.55,0.55,0.71,0.41,0.55,0.9,0.35,0.41,0.63,0.15,0.34,0.27,0.08,0.31," ","*"," "," ","***"," ","*","***",".","BEV Electric Range (100 miles)","Vehicle Attributes","dollar"
"mileage",-0.27,-0.23,-0.27,-0.38,-0.21,-0.41,-0.32,-0.21,-0.36,0.09,0.1,0.08,0.12,0.05,0.07,0.06,0.04,0.05,"***","*","***","***","***","***","***","***","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"age",-0.04,-0.11,-0.11,-0.14,-0.12,-0.16,-0.09,-0.11,-0.15,0.06,0.04,0.04,0.12,0.03,0.06,0.03,0.02,0.03," ","*","*"," ","***","***","***","***","***","Vehicle Age (year)","Vehicle Attributes","dollar"
"operating_cost",-0.59,-1.29,-0.86,-0.75,-0.97,-0.49,-0.63,-0.98,-0.58,0.47,0.31,0.29,0.28,0.17,0.26,0.2,0.13,0.17," ","***","***","*","***",".","***","***","***","Operating Cost (cent/mile)","Vehicle Attributes","dollar"
"price",-1.3,-1.57,-1.19,-0.79,-0.94,-1.09,-0.95,-1.07,-1.19,0.38,0.34,0.23,0.55,0.13,0.47,0.14,0.1,0.12,"***","***","***"," ","***","*","***","***","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,-1.51,-0.11,NA,-0.13,0.18,NA,-0.47,-0.34,NA,0.92,0.74,NA,1.07,1.68,NA,0.46,0.51,NA," "," ",NA," "," ",NA," "," ","ASC","Active Indicators","number"
"EV_benefit",NA,1.57,0.38,NA,1.5,0.2,NA,1.36,0.2,NA,0.58,0.22,NA,0.57,1,NA,0.15,0.17,NA,"*",".",NA,"*"," ",NA,"***"," ","Perceived EV Benefits (factor score)","Active Indicators","number"
"EV_anxiety",NA,-0.55,-0.11,NA,-0.11,-0.03,NA,-0.25,-0.05,NA,0.28,0.22,NA,0.41,0.6,NA,0.11,0.11,NA,"."," ",NA," "," ",NA,"*"," ","Perceived EV Anxiety (factor score)","Active Indicators","number"
"hhincome",NA,0.04,0.02,NA,0.04,0.03,NA,0.04,0.03,NA,0.04,0.04,NA,0.05,0.06,NA,0.02,0.02,NA," "," ",NA," "," ",NA," "," ","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,0.14,0.08,NA,0.27,-0.26,NA,0.15,-0.13,NA,0.44,0.38,NA,0.35,0.43,NA,0.24,0.23,NA," "," ",NA," "," ",NA," "," ","Electrical Outlet Access","Active Indicators","pct"
"ev_neighbor",NA,0.41,0.35,NA,1.21,0.9,NA,0.71,0.52,NA,0.5,0.41,NA,0.41,0.37,NA,0.26,0.26,NA," "," ",NA,"***","*",NA,"*",".","Neighbor Owns/Leases a BEV/PHEV","Active Indicators","pct"
"knowledge_ev",NA,-0.61,-0.54,NA,-0.16,-0.53,NA,-0.32,-0.64,NA,0.46,0.44,NA,1.28,1.54,NA,0.29,0.27,NA," "," ",NA," "," ",NA," ","*","EV Knowledge","Active Indicators","pct"
"knowledge_subsidy",NA,0.71,0.48,NA,0.09,-0.28,NA,0.41,0.01,NA,0.6,0.59,NA,1,1.1,NA,0.33,0.33,NA," "," ",NA," "," ",NA," "," ","EV Subsidy Knowledge","Active Indicators","pct"
"veh_refuel",NA,0.04,0.06,NA,0.04,0.02,NA,0.06,0.03,NA,0.06,0.06,NA,0.04,0.04,NA,0.03,0.03,NA," "," ",NA," "," ",NA,"."," ","Primary Vehicle Refuel Frequency (monthly)","Active Indicators","number"
"veh_range",NA,0.36,0.26,NA,-0.21,0.09,NA,0.07,0.2,NA,0.2,0.16,NA,0.26,0.32,NA,0.11,0.12,NA,"."," ",NA," "," ",NA," ",".","Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",NA,NA,NA,NA,NA,NA,NA,-0.22,0.42,NA,NA,NA,NA,NA,NA,NA,0.24,0.25,NA,NA,NA,NA,NA,NA,NA," ",".","SUV Segment","Active Indicators","pct"
