"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.85663140824357,0.521165357131271,-9.31879170744706,0,0.820476714843576,-5.9192799995177,3.23354054643232e-09
"b_powertrainbev_a",-3.521019761147,0.529998976479305,-6.64344634122984,3.06432657026789e-11,0.751222536373919,-4.68705289133448,2.7716735486738e-06
"b_powertrainhev_a",-1.53992472292144,0.211615123945501,-7.27700692752958,3.41282557769773e-13,0.470846959932078,-3.27054192543494,0.00107341629520796
"b_range_bev_a",0.521305342441182,0.376486711143932,1.38465801583601,0.166157062536857,0.502640649882012,1.0371332731715,0.299673750326667
"b_mileage_a",-0.261251736401905,0.0532397612506448,-4.90707941329735,9.24426102555387e-07,0.068953087947159,-3.78883301937269,0.000151356600650132
"b_age_a",-0.074010404551028,0.0303426540006356,-2.43915395632425,0.0147216947886815,0.0457275180501795,-1.61850911019951,0.105552925099117
"b_operating_cost_a",-0.594129104707359,0.215570840509761,-2.75607361043089,0.00584998300186834,0.276066840017257,-2.15212049614586,0.0313878652549149
"b_price_a",-1.36424842656705,0.195902957169716,-6.96389909716964,3.30979688101252e-12,0.459679773996774,-2.96782348003987,0.00299916514446807
"b_no_choice_b",-7.27266319840856,0.405416586004572,-17.9387411602508,0,0.609925374579482,-11.9238574119379,0
"b_powertrainbev_b",-0.217349201789237,0.204135988372411,-1.0647275060227,0.286999259021436,0.285364615334495,-0.761654354147822,0.446266325122008
"b_powertrainhev_b",0.655122788259601,0.118639979837249,5.52193947738612,3.35277987595362e-08,0.167220751249147,3.91771226576727,8.93933190042606e-05
"b_range_bev_b",0.483175480619279,0.11801791246849,4.09408597824746,4.23837025469442e-05,0.169748532572353,2.84641919018258,0.00442139495460858
"b_mileage_b",-0.211552654367068,0.031903653166866,-6.63098527496465,3.33453265000117e-11,0.0434434921468794,-4.86960517934017,1.11821450654581e-06
"b_age_b",-0.0878136895892106,0.0176809356546912,-4.96657480713762,6.81457733797686e-07,0.0211726483131205,-4.14750617355664,3.36116409380693e-05
"b_operating_cost_b",-1.27219817046165,0.139239470716856,-9.13676390690009,0,0.17672841717359,-7.19860558255347,6.08402217494586e-13
"b_price_b",-1.33603406971942,0.0951845789220089,-14.0362449973553,0,0.170962830509507,-7.81476339469665,5.55111512312578e-15
"b_no_choice_c",-8.50200267329767,0.650976681585801,-13.0603797552111,0,1.05933420960143,-8.02579827616116,1.11022302462516e-15
"b_powertrainbev_c",-5.45041596380333,1.09553717594825,-4.9751081784018,6.52112120302917e-07,2.47429798822996,-2.20281307656981,0.0276079261192106
"b_powertrainhev_c",-0.363843903030001,0.192246062515673,-1.89259482492828,0.058411772507551,0.463974019286647,-0.784190251836525,0.432928484226991
"b_range_bev_c",0.980546967065221,0.470400458028781,2.08449407378176,0.0371152487218533,1.02247560545403,0.958993018351586,0.33756226235732
"b_mileage_c",-0.323540564313457,0.0486545481412852,-6.64974964671227,2.93591817523975e-11,0.0739256212249755,-4.37656875860178,1.20562170986549e-05
"b_age_c",-0.105998020210599,0.0258946903441716,-4.09342683004729,4.25044247251982e-05,0.038331824488331,-2.7652745890785,0.00568748976317002
"b_operating_cost_c",-0.875590167675629,0.195687996916339,-4.4744193894016,7.66192249734843e-06,0.317158021150402,-2.76073789494483,0.00576709393101327
"b_price_c",-1.32131008259767,0.131070291697751,-10.0809273061254,0,0.245234768150151,-5.38793945313932,7.12700518601395e-08
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_budget_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_risk_taking_a",0,NA,NA,NA,NA,NA,NA
"gamma_price_sensitivity_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_positive_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_negative_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.320641094852096,1.20635994309542,-0.265792226181978,0.790399230549463,1.29812756946749,-0.247002761819185,0.804906086666846
"gamma_EV_benefit_b",1.05748928020954,0.175215558852298,6.03536174034047,1.58606972000541e-09,0.214716615494499,4.92504633502213,8.43403667571963e-07
"gamma_EV_anxiety_b",-0.330311718410768,0.131164234554842,-2.51830630149913,0.011792072331444,0.151418619378594,-2.18144716790004,0.0291503581165922
"gamma_budget_b",0.313165513310715,0.135080260412455,2.31836622430615,0.0204294260630358,0.224765371048106,1.39329965221239,0.16352919577886
"gamma_ev_neighbor_b",0.354845222784543,0.308327246614276,1.15087209022582,0.249784861361922,0.332566712648511,1.06698959724083,0.28597653348973
"gamma_knowledge_ev_b",-0.665795653752136,0.332396363235859,-2.00301726309715,0.0451754355665526,0.351652379927777,-1.89333470141416,0.0583133731603138
"gamma_risk_taking_b",0.338228460398036,0.122278366213102,2.76605315292309,0.0056739285805949,0.125390092452467,2.69740976964549,0.0069881220057928
"gamma_price_sensitivity_b",-0.345240812750993,0.212930329201753,-1.62137922786882,0.104936332842536,0.228452080075682,-1.51121763757468,0.130733010121735
"gamma_evb_environment_positive_b",0.197230789841666,0.15098520487216,1.30629216292194,0.191453221232783,0.175833465079769,1.12169085533399,0.261993906053651
"gamma_evb_function_negative_b",0.123914914397344,0.138966856088604,0.891686822923713,0.37256081837858,0.154704877068224,0.800976134338014,0.423145462278271
"delta_c",-0.961303961098504,1.35554087028215,-0.709166342508297,0.478221257304823,1.77691671653019,-0.540995507642956,0.588510679132472
"gamma_EV_benefit_c",0.0511409708241991,0.153487802288421,0.333192410482883,0.738989046701714,0.23559731589025,0.217069411979304,0.82815425132843
"gamma_EV_anxiety_c",0.150530696771552,0.136360441770305,1.10391763782282,0.26962886703782,0.162419556313338,0.926801551416319,0.354029579321929
"gamma_budget_c",0.397913318826398,0.148900378712841,2.67234591520943,0.00753229579188708,0.293298664710619,1.35668302213035,0.174881949330008
"gamma_ev_neighbor_c",0.312360566332649,0.325980615286684,0.958218224289022,0.337952729391042,0.374805477267119,0.833393814333279,0.4046226621624
"gamma_knowledge_ev_c",-0.876055037609361,0.322381449189125,-2.71744866155565,0.00657873606262172,0.346855954967359,-2.52570274508276,0.0115467134341551
"gamma_risk_taking_c",0.176772316333189,0.122813390610459,1.4393570233223,0.150049394213468,0.135807685441257,1.30163705948476,0.193040484880219
"gamma_price_sensitivity_c",-0.21188918668717,0.234107305858707,-0.90509429387502,0.36541543483374,0.284396254840483,-0.745049145622604,0.456242010420791
"gamma_evb_environment_positive_c",0.235587838243672,0.152520136344356,1.54463432757343,0.12243473805894,0.185412225340999,1.27061652925201,0.203865103665154
"gamma_evb_function_negative_c",0.235379838783674,0.144339490177395,1.63073763454748,0.102945691866712,0.168240464663135,1.39906793086295,0.161792613312333
