"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-5.23739364252466,-4.09654935033697,-2.08664476680004,0.274034986362686,-0.269914932171549,-0.0433776377505273,-0.588747052167326,-1.29702427876072,-7.22981024533138,0.173269562998026,1.10051906547778,0.880892696958506,-0.229495865170152,-0.106376227816293,-1.29125827720749,-1.57263022088434,-7.71214696817734,-2.9828319467233,-0.0204837653301092,0.46721722742041,-0.268282999985337,-0.109868440357245,-0.860290276922155,-1.19251494984028,-1.50877910239283,1.56830938096082,-0.553316653956176,0.0351672969380669,0.136463178813605,0.413438469196855,-0.612898991983686,0.706428596449515,0.0432066777530602,0.356395737979222,-0.113554319805483,0.381070081293424,-0.113293775264132,0.0797972655913094,0.0240528337576135,0.346369826853578,-0.53560735864603,0.482995253509985,0.0609952724342813,0.257871972484758,-3625.92988089417
-5.22074155431965,-4.09441257910558,-2.0594189633286,0.317876891230251,-0.270805317753318,-0.0496742510138703,-0.612285233303761,-1.28998000045582,-7.2493137389709,0.146779199774451,1.03859147533444,0.821500622039123,-0.233502791590105,-0.103247318211314,-1.29729596897542,-1.54320716603576,-7.71210682065046,-3.041026578668,0.0253128215855678,0.414213546819583,-0.266948554671405,-0.112334179006989,-0.857475279692878,-1.19161794902259,-1.42749746691215,1.43156938460258,-0.575648009405675,0.0387544271763548,0.284449541907495,0.383725868297393,-0.5374817430479,0.488898311238586,0.0350413129815472,0.347463843221943,-0.130389077283948,0.392720746609214,-0.123699836515829,-0.0320332825694282,0.0313021058954472,0.39738996175485,-0.620871774542482,0.546750855170747,0.0591984754399262,0.237765522315933,-3617.69911256652
-5.15907083238744,-4.22325683170553,-2.0118789893241,0.456475389507464,-0.260190049918708,-0.0549531165535104,-0.656211918686445,-1.25078830604843,-7.2412925735729,0.101056060827754,0.90749482739241,0.717889187255877,-0.230140270603209,-0.104285139623734,-1.34009816401551,-1.46794867022575,-7.79276176219722,-3.1035978134007,0.0615448246773949,0.369280305352668,-0.27363993616393,-0.113684158154856,-0.846478742790762,-1.20290339445423,-0.969349581223521,1.33152129890897,-0.567418417468217,0.0534607368524496,0.40637870293745,0.271694776508178,-0.483314418162189,0.337829597614732,0.0177781476362609,0.204158136239027,-0.029095683951428,0.354559178842053,-0.119483925715188,-0.00834628171524391,0.0546441498914551,0.39438477474271,-0.750682790911473,0.443261426362618,0.0480618964982973,0.171657733169173,-3611.07700489469
-4.91822534200484,-4.12538921490601,-1.90924074477674,0.505428991704855,-0.250921527651906,-0.0668794112070281,-0.602589085128325,-1.19481196174042,-7.26166919379587,-0.00589205634350107,0.743235451533315,0.591115398047923,-0.231945243623473,-0.100416728583693,-1.38492304164903,-1.37884284751266,-7.97899201809528,-3.41642161421786,0.0815238620933026,0.375378694164598,-0.277609640369363,-0.117119596087083,-0.869106223983483,-1.2200181114031,-0.416049952936944,1.20909778304888,-0.56045943946346,0.0518569870868728,0.499693668933946,0.201185236185443,-0.477033026187951,0.200700018519488,0.0131997946427237,0.0740394585218353,0.0761973450120995,0.296303096359782,-0.0825525670874788,-0.101230688387828,0.0611510135838789,0.340775150634894,-0.851176187148527,0.410490996811431,0.0382382062632326,0.126275554070213,-3606.90096646988
-4.77738517868488,-4.0621152033216,-1.85292978807829,0.531820218562024,-0.251408799416331,-0.0667966237019475,-0.564157936424342,-1.16111352860373,-7.26747722168666,-0.0464249718613307,0.703788138752006,0.563210988786228,-0.230445698313731,-0.0991876657394024,-1.37137682410619,-1.35861487940743,-8.11576145030071,-3.67628325166158,0.0771270288512608,0.427471111120444,-0.284339193396026,-0.115734817903847,-0.882160278632362,-1.24878926044986,-0.314188896696948,1.18946648330088,-0.53783654425715,0.0543369794315938,0.461620688358237,0.220836352361757,-0.47281673018349,0.22530917978848,0.0152926843177936,0.043529208862322,0.046286955971691,0.273027956225604,-0.065725146673727,-0.0680215949695855,0.0658032943750942,0.315536729409822,-0.872124338822753,0.394587582875163,0.0332048763202368,0.119597318661216,-3605.53726411578
-4.42326005220015,-3.79400687983793,-1.71378114978248,0.528462235323377,-0.250469928258487,-0.0687953340978356,-0.460045832974615,-1.08174916715627,-7.28700362602058,-0.154854047791401,0.609453764684172,0.492777447399151,-0.227142152596771,-0.0950138451777986,-1.31943039801368,-1.3110223129941,-8.49896370058498,-4.49107381373828,0.0485763669623101,0.619568116934614,-0.301136421801472,-0.113090456114202,-0.932365224321131,-1.32863130322996,-0.0480067183250072,1.12443820946311,-0.486602447315818,0.0584293388759616,0.354938539435211,0.266816421014013,-0.524700889423737,0.315771537502335,0.0249473206805374,-0.0182685820643233,-0.0430733024121443,0.193713865207133,-0.0121394732237933,0.0145742584069126,0.0759552831294654,0.227373531938649,-0.931920017838319,0.355314387746744,0.0211881319567668,0.112542617081388,-3603.79720482808
-4.37680559591702,-3.74663277296782,-1.68781735339274,0.520276248464826,-0.248487202971245,-0.0689676044955699,-0.439895817820396,-1.07935407885063,-7.29909128759344,-0.165447154670665,0.599112100566352,0.478971342410342,-0.224356046497283,-0.0948852189496672,-1.30397241970005,-1.30739651988403,-8.67351220293805,-4.85059631842996,0.0362119495815715,0.707149197198398,-0.310421703302508,-0.113858583915593,-0.952083308108538,-1.36226941788504,-0.0674514348796718,1.10438137495084,-0.479948493853815,0.0569440903992679,0.337700620096588,0.275652594920963,-0.49887536029422,0.319302042614715,0.0278041284476016,-0.0152404923452945,-0.0612917782244356,0.172112569527067,0.0068361607956325,0.028970372198281,0.0748299429847028,0.193649253473807,-0.943142840135295,0.354057796972689,0.0166326578919741,0.117471528750785,-3603.39842844106
-4.39024232460512,-3.71800765559546,-1.69788241472752,0.492142068268052,-0.244967949234334,-0.0682037976028257,-0.426739563636731,-1.09799697701765,-7.31142017695251,-0.137528205968766,0.621377670501661,0.488868422742257,-0.219837113293891,-0.0961127577384167,-1.28710308522861,-1.32534141336875,-8.59944419368768,-4.82671646130738,0.0168103019089559,0.712395182731141,-0.309526548327841,-0.11473345600748,-0.928206485746441,-1.35132697137446,-0.228317205329132,1.13074164205663,-0.472097909349179,0.0503307909812761,0.295155481441256,0.283457297863927,-0.446506099358663,0.363551312056622,0.0330970595729342,0.0225694098361237,-0.045875387228813,0.168359341097872,0.0127827613166751,0.0428663235388652,0.0650818527669586,0.169518141845038,-0.898773828085127,0.348538288217549,0.0220025862242886,0.134012297584488,-3603.10691977153
-4.41184947385274,-3.69017435937156,-1.69949773103454,0.472805919463878,-0.245287432718228,-0.068475667275654,-0.432053353790224,-1.1034124034534,-7.30808221031527,-0.146485597011345,0.625444625028576,0.491159606006702,-0.221227571523284,-0.09546527545253,-1.28496599380148,-1.32396198786628,-8.67287272712201,-4.96373393660987,-0.00277558629900345,0.770131992653941,-0.311223602729807,-0.115676625052151,-0.960374221153795,-1.35969536504435,-0.207870341447207,1.11103516477144,-0.478916882055241,0.051717621820838,0.314009621523722,0.27620232313611,-0.510645880484443,0.37868988303794,0.0342014625960465,0.0312747786034097,-0.0917658960891002,0.162124884152865,0.0225652895436806,0.0355017625836321,0.0676552664019781,0.173290420855446,-0.911417649670865,0.371399045077776,0.0198840170444371,0.143539536283511,-3602.74449907967
-4.46487524976342,-3.63334133915491,-1.71467026917209,0.423486580082208,-0.24346844173138,-0.0689665737244859,-0.440570623228962,-1.12143496863208,-7.29714809240506,-0.155707907207414,0.633772372363219,0.493996294970037,-0.221632618888767,-0.0954881106653577,-1.27905077106449,-1.32263795010198,-8.73250115034863,-5.10594056967671,-0.0302032894013424,0.85107245164714,-0.313305153532553,-0.117222391519891,-1.00491836093549,-1.36123481543473,-0.195167891831087,1.10143596837945,-0.485973111470349,0.0512868159389957,0.324258592143711,0.27130178959445,-0.587227621205528,0.3866811260355,0.037186302804058,0.0494002091991635,-0.155199450260893,0.163179629202332,0.0329531465122219,0.0217969361864388,0.0686258990228238,0.180508775562104,-0.924853644837965,0.37853378004211,0.0213803091576034,0.160872202092221,-3602.47750467936
-4.4934716725317,-3.63157427130484,-1.72041419637971,0.417363496736302,-0.242520811555359,-0.0671934930544691,-0.445274959576685,-1.13240811461507,-7.29290850494937,-0.159652584826962,0.636194447004097,0.493055639970833,-0.220051653192637,-0.0958328363800968,-1.27619106096296,-1.32323649011992,-8.80304825647015,-5.26670836648634,-0.0322208522296255,0.927021583365061,-0.31944316312441,-0.118444065960518,-1.02373798048448,-1.36824333180537,-0.213550264119897,1.0958826525637,-0.483135270356801,0.0532921644730415,0.326526148836859,0.273176733853373,-0.591340276301919,0.387848902459293,0.0379297310154349,0.0534191280885617,-0.189970992365541,0.16877960135752,0.0314948641400093,0.0231135291448847,0.0700940026879785,0.201016593554875,-0.93017991040318,0.382627254578302,0.0183787646829632,0.168146499606493,-3602.36824252559
