Model run by xnw17 using Apollo 0.3.6 on R 4.5.2 for Darwin.
Please acknowledge the use of Apollo by citing Hess & Palma (2019)
  DOI 10.1016/j.jocm.2019.100170
  www.ApolloChoiceModelling.com

Model name                                  : suv_lc_3c_1
Model description                           : LC model with 3 classes with indicator
Model run at                                : 2026-04-06 23:47:17.962346
Estimation method                           : bgw
Estimation diagnosis                        : Relative function convergence (favorable)
Optimisation diagnosis                      : Maximum found
     hessian properties                     : Negative definite
     maximum eigenvalue                     : -1.041807
     reciprocal of condition number         : 5.15334e-05
Number of individuals                       : 656
Number of rows in database                  : 3936
Number of modelled outcomes                 : 3936

Number of cores used                        :  2 
Model without mixing

LL(start)                                   : -4326.28
LL (whole model) at equal shares, LL(0)     : -5456.45
LL (whole model) at observed shares, LL(C)  : -5394.03
LL(final, whole model)                      : -4124.68
Rho-squared vs equal shares                  :  0.2441 
Adj.Rho-squared vs equal shares              :  0.236 
Rho-squared vs observed shares               :  0.2353 
Adj.Rho-squared vs observed shares           :  0.2288 
AIC                                         :  8337.36 
BIC                                         :  8613.59 

LL(0,Class_1)                    : -5456.45
LL(final,Class_1)                : -6772.92
LL(0,Class_2)                    : -5456.45
LL(final,Class_2)                : -5687.46
LL(0,Class_3)                    : -5456.45
LL(final,Class_3)                : -6307.54

Estimated parameters                        : 44
Time taken (hh:mm:ss)                       :  00:00:22.65 
     pre-estimation                         :  00:00:5.34 
     estimation                             :  00:00:1.84 
     post-estimation                        :  00:00:15.47 
Iterations                                  :  25  

Unconstrained optimisation.

Estimates:
                             Estimate        s.e.   t.rat.(0)
b_no_choice_a               -4.755272     0.52358    -9.08221
b_powertrainbev_a           -3.997345     0.83439    -4.79074
b_powertrainhev_a           -1.880960     0.22246    -8.45514
b_range_bev_a                0.357219     0.31527     1.13304
b_mileage_a                 -0.348541     0.05672    -6.14448
b_age_a                     -0.144889     0.03068    -4.72296
b_operating_cost_a          -0.658972     0.20901    -3.15279
b_price_a                   -0.628397     0.10194    -6.16442
b_no_choice_b               -6.325020     0.36045   -17.54741
b_powertrainbev_b           -0.647384     0.29714    -2.17875
b_powertrainhev_b            0.979300     0.10672     9.17649
b_range_bev_b                0.552415     0.10171     5.43146
b_mileage_b                 -0.215180     0.03141    -6.85014
b_age_b                     -0.123480     0.01694    -7.28984
b_operating_cost_b          -0.869473     0.12139    -7.16262
b_price_b                   -1.125035     0.06892   -16.32373
b_no_choice_c               -9.162394     0.58858   -15.56708
b_powertrainbev_c           -5.725775     0.86235    -6.63973
b_powertrainhev_c           -0.061426     0.16715    -0.36749
b_range_bev_c                0.726176     0.27785     2.61360
b_mileage_c                 -0.397338     0.04579    -8.67765
b_age_c                     -0.147837     0.02566    -5.76166
b_operating_cost_c          -0.752040     0.16559    -4.54161
b_price_c                   -1.089887     0.10264   -10.61841
delta_a                      0.000000          NA          NA
gamma_EV_benefit_a           0.000000          NA          NA
gamma_EV_anxiety_a           0.000000          NA          NA
gamma_hhincome_a             0.000000          NA          NA
gamma_ev_charge_a            0.000000          NA          NA
gamma_ev_neighbor_a          0.000000          NA          NA
gamma_knowledge_ev_a         0.000000          NA          NA
gamma_knowledge_subsidy_a    0.000000          NA          NA
gamma_veh_count_a            0.000000          NA          NA
gamma_veh_has_bev_a          0.000000          NA          NA
gamma_veh_refuel_a           0.000000          NA          NA
gamma_veh_range_a            0.000000          NA          NA
delta_b                     -0.122209     0.48226    -0.25341
gamma_EV_benefit_b           1.448542     0.17098     8.47215
gamma_EV_anxiety_b          -0.099588     0.11092    -0.89783
gamma_hhincome_b             0.008450     0.02436     0.34692
gamma_ev_charge_b            0.361903     0.27913     1.29652
gamma_ev_neighbor_b          0.970022     0.30936     3.13555
gamma_knowledge_ev_b         0.142852     0.32172     0.44402
gamma_knowledge_subsidy_b    0.093963     0.35051     0.26807
gamma_veh_count_b            0.000000          NA          NA
gamma_veh_has_bev_b          0.000000          NA          NA
gamma_veh_refuel_b           0.031233     0.03900     0.80091
gamma_veh_range_b           -0.077766     0.13279    -0.58561
delta_c                     -0.208918     0.46650    -0.44784
gamma_EV_benefit_c           0.272409     0.13329     2.04366
gamma_EV_anxiety_c           0.054158     0.10171     0.53247
gamma_ev_charge_c           -0.006495     0.27400    -0.02371
gamma_hhincome_c           5.0737e-04     0.02368     0.02142
gamma_ev_neighbor_c          0.667548     0.30149     2.21416
gamma_knowledge_ev_c        -0.178214     0.29332    -0.60757
gamma_knowledge_subsidy_c   -0.391886     0.36289    -1.07989
gamma_veh_count_c            0.000000          NA          NA
gamma_veh_has_bev_c          0.000000          NA          NA
gamma_veh_refuel_c           0.024103     0.03770     0.63933
gamma_veh_range_c            0.190704     0.12677     1.50436
                           p(2-sided)    Rob.s.e. Rob.t.rat.(0)
b_no_choice_a                0.000000     0.76141      -6.24534
b_powertrainbev_a           1.662e-06     1.03101      -3.87713
b_powertrainhev_a            0.000000     0.51692      -3.63880
b_range_bev_a                0.257197     0.41096       0.86922
b_mileage_a                 8.023e-10     0.08126      -4.28922
b_age_a                     2.324e-06     0.03764      -3.84966
b_operating_cost_a           0.001617     0.28479      -2.31392
b_price_a                   7.074e-10     0.18115      -3.46891
b_no_choice_b                0.000000     0.58737     -10.76842
b_powertrainbev_b            0.029350     0.40135      -1.61300
b_powertrainhev_b            0.000000     0.12823       7.63679
b_range_bev_b               5.589e-08     0.12492       4.42207
b_mileage_b                 7.377e-12     0.04079      -5.27541
b_age_b                     3.104e-13     0.01967      -6.27799
b_operating_cost_b          7.916e-13     0.15466      -5.62169
b_price_b                    0.000000     0.11131     -10.10727
b_no_choice_c                0.000000     0.89338     -10.25591
b_powertrainbev_c           3.143e-11     1.12231      -5.10178
b_powertrainhev_c            0.713255     0.41847      -0.14679
b_range_bev_c                0.008960     0.33634       2.15906
b_mileage_c                  0.000000     0.06166      -6.44354
b_age_c                     8.329e-09     0.03272      -4.51759
b_operating_cost_c          5.583e-06     0.25073      -2.99940
