"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.96673339075585,0.508816612713583,-9.76134282304116,0,0.745997267975242,-6.65784394122028,2.77873279941332e-11
"b_powertrainbev_a",-4.39845304226829,0.818855407039894,-5.37146485747513,7.80995899063441e-08,1.01420292532409,-4.33685698634991,1.44534598316426e-05
"b_powertrainhev_a",-1.68590884126026,0.225446389186118,-7.47809200824439,7.54951656745106e-14,0.559782713436399,-3.01172008494294,0.00259772016387827
"b_range_bev_a",0.524690383846111,0.313203876969614,1.6752359163709,0.0938879532329513,0.437685671024428,1.19878355308741,0.230612119363288
"b_mileage_a",-0.385109009049358,0.0569074887823978,-6.76728172845464,1.31223920618595e-11,0.0859709643894981,-4.47952412519874,7.48096349112437e-06
"b_age_a",-0.148677763522907,0.0304587584262606,-4.88128115539737,1.05398845562377e-06,0.0401240861717914,-3.70544921288282,0.000211016410749165
"b_operating_cost_a",-0.779447195258762,0.199920654829909,-3.89878272418581,9.66774747388488e-05,0.23581806669643,-3.3052904138263,0.000948780341646804
"b_price_a",-0.649502929360098,0.106147401301975,-6.11887734785283,9.42369071665894e-10,0.209234114736941,-3.10419230715164,0.00190799270846775
"b_no_choice_b",-6.33157813180751,0.365124239012691,-17.3408868962749,0,0.609056638841795,-10.3957131866223,0
"b_powertrainbev_b",-0.555457253069094,0.30508283656592,-1.82067683427047,0.068655995603863,0.448059830231182,-1.23969437916918,0.215088456940669
"b_powertrainhev_b",1.01390637702413,0.108488411497324,9.34575742266387,0,0.125720605540898,8.06475893638845,6.66133814775094e-16
"b_range_bev_b",0.57391519376929,0.10244015842857,5.60244344184095,2.11351010026561e-08,0.130441899964132,4.3997764056419,1.08362472954759e-05
"b_mileage_b",-0.232142091586531,0.0322952847952911,-7.18811099075301,6.57029985973168e-13,0.0427630173735031,-5.42857136480671,5.68069309370145e-08
"b_age_b",-0.121495331804072,0.0172129572491614,-7.05836481468,1.68465241756621e-12,0.0196804262022099,-6.1734095875642,6.68327837516358e-10
"b_operating_cost_b",-0.934745596607915,0.12488452525338,-7.48487928917849,7.17204073907851e-14,0.160816575359024,-5.81249535081251,6.15483930488381e-09
"b_price_b",-1.1167747191315,0.0690961495154418,-16.1626187126667,0,0.112248373505722,-9.94913943296087,0
"b_no_choice_c",-8.7607873207946,0.512178229810335,-17.1049584126971,0,0.768388959052995,-11.4015007862579,0
"b_powertrainbev_c",-5.03075677176598,0.66311653081572,-7.58653500249419,3.28626015289046e-14,0.835433246572665,-6.02173398342055,1.72558345390428e-09
"b_powertrainhev_c",-0.118930970643242,0.142933404495709,-0.832072607959271,0.405367962177761,0.365840131320801,-0.325090006429484,0.74511295225401
"b_range_bev_c",0.591389371955257,0.222958334423378,2.65246586760135,0.00799062064215605,0.250766861324186,2.35832345961662,0.018357689263929
"b_mileage_c",-0.38097416068401,0.0418859745556879,-9.09550666363271,0,0.0584285551155012,-6.52034197886465,7.01472213648913e-11
"b_age_c",-0.137988820522365,0.022552913859803,-6.11844754873598,9.44913702838335e-10,0.0289454893973478,-4.76719597406458,1.86807583024695e-06
"b_operating_cost_c",-0.638263774874441,0.142039876304885,-4.49355344061567,7.0044433231331e-06,0.191327589206508,-3.33597353900454,0.000850012539200584
"b_price_c",-1.0634098291972,0.0905061885773807,-11.7495813923045,0,0.168679484972607,-6.30432224386914,2.89457791069481e-10
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
