session_id,psid,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,1,2787,1,1,1,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,25000,20000,original,360,0.06,0,100%,83%,61%,300,220,Original Battery
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,1,331,2,1,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,25000,22500,cellreplace,320,0.01,0,100%,97%,92%,310,295,Refurbished Cell-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,1,2996,3,1,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,30000,25000,original,240,0.07,0,100%,80%,56%,195,135,Original Battery
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,1,0,4,1,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,2,3720,1,2,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,50000,20000,packreplace,320,0.08,0,100%,78%,51%,250,165,Refurbished Pack-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,2,1994,2,2,1,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,20000,22500,packreplace,200,0.05,0,100%,86%,66%,170,135,Refurbished Pack-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,2,3702,3,2,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,40000,25000,cellreplace,320,0.08,0,100%,78%,51%,250,165,Refurbished Cell-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,2,0,4,2,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,3,556,1,3,1,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,30000,22500,packreplace,200,0.02,0,100%,94%,85%,190,170,Refurbished Pack-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,3,813,2,3,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,35000,22500,cellreplace,320,0.02,0,100%,94%,85%,300,270,Refurbished Cell-Replaced
29f917cbad83bb2426c1625a2a5270e9,U6fZeuO6ZUOcpZ5bY5ilHE0W,1,3,983,3,3,0,2025-10-21T17:44:37Z,19.3,1.4333333333333331,25000,car,45000,25000,original,200,0.03,0,100%,91%,78%,185,155,Original Battery
