session_id,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
e91e36daa3b0878431cacf3d7b5c679a,1,1,3704,1,1,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,50000,5000,cellreplace,320,0.08,0,100%,78%,51%,250,165,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,1,3353,2,1,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,15000,5500,packreplace,360,0.07,0,100%,80%,56%,290,200,Refurbished Pack-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,1,3363,3,1,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,25000,4000,original,200,0.08,0,100%,78%,51%,155,105,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,1,0,4,1,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,2,2885,1,2,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,35000,4000,original,200,0.07,0,100%,80%,56%,160,110,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,2,336,2,2,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,50000,4500,cellreplace,320,0.01,0,100%,97%,92%,310,295,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,2,1904,3,2,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,50000,4500,packreplace,360,0.04,0,100%,88%,72%,320,260,Refurbished Pack-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,2,0,4,2,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,3,180,1,3,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,30000,5000,packreplace,240,0.01,0,100%,97%,92%,235,220,Refurbished Pack-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,3,3763,2,3,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,25000,5000,original,360,0.08,0,100%,78%,51%,280,185,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,3,1662,3,3,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,40000,5500,original,280,0.04,0,100%,88%,72%,250,200,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,3,0,4,3,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,4,536,1,4,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,50000,5000,cellreplace,200,0.02,0,100%,94%,85%,190,170,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,4,972,2,4,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,30000,4500,original,200,0.03,0,100%,91%,78%,185,155,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,4,912,3,4,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,50000,4500,cellreplace,360,0.02,0,100%,94%,85%,340,305,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,4,0,4,4,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,5,1933,1,5,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,35000,4500,original,200,0.05,0,100%,86%,66%,170,135,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,5,2539,2,5,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,25000,4500,cellreplace,240,0.06,0,100%,83%,61%,200,145,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,5,2587,3,5,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,25000,5500,packreplace,240,0.06,0,100%,83%,61%,200,145,Refurbished Pack-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,5,0,4,5,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,6,1679,1,6,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,45000,4500,cellreplace,280,0.04,0,100%,88%,72%,250,200,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,6,1182,2,6,1,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,40000,5500,original,280,0.03,0,100%,91%,78%,255,220,Original Battery
e91e36daa3b0878431cacf3d7b5c679a,1,6,236,3,6,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,30000,4500,cellreplace,280,0.01,0,100%,97%,92%,270,260,Refurbished Cell-Replaced
e91e36daa3b0878431cacf3d7b5c679a,1,6,0,4,6,0,2025-10-20T20:27:50Z,10.75,1.45,5000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,1,1887,1,7,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,45000,33000,cellreplace,360,0.04,0,100%,88%,72%,320,260,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,1,3771,2,7,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,25000,33000,original,360,0.08,0,100%,78%,51%,280,185,Original Battery
648c928a709a906232598855a59fcdf7,2,1,308,3,7,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,30000,30000,original,320,0.01,0,100%,97%,92%,310,295,Original Battery
648c928a709a906232598855a59fcdf7,2,1,0,4,7,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,2,2019,1,8,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,25000,24000,original,240,0.05,0,100%,86%,66%,205,160,Original Battery
648c928a709a906232598855a59fcdf7,2,2,3443,2,8,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,25000,30000,packreplace,200,0.08,0,100%,78%,51%,155,105,Refurbished Pack-Replaced
648c928a709a906232598855a59fcdf7,2,2,852,3,8,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,30000,30000,packreplace,320,0.02,0,100%,94%,85%,300,270,Refurbished Pack-Replaced
648c928a709a906232598855a59fcdf7,2,2,0,4,8,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,3,3279,1,9,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,45000,27000,original,360,0.07,0,100%,80%,56%,290,200,Original Battery
648c928a709a906232598855a59fcdf7,2,3,3312,2,9,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,50000,27000,cellreplace,360,0.07,0,100%,80%,56%,290,200,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,3,2220,3,9,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,30000,27000,original,320,0.05,0,100%,86%,66%,275,210,Original Battery
648c928a709a906232598855a59fcdf7,2,3,0,4,9,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,4,71,1,10,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,45000,24000,packreplace,200,0.01,0,100%,97%,92%,195,185,Refurbished Pack-Replaced
648c928a709a906232598855a59fcdf7,2,4,42,2,10,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,20000,27000,cellreplace,200,0.01,0,100%,97%,92%,195,185,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,4,2447,3,10,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,45000,27000,cellreplace,200,0.06,0,100%,83%,61%,165,120,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,4,0,4,10,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,5,3561,1,11,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,15000,27000,original,280,0.08,0,100%,78%,51%,220,145,Original Battery
648c928a709a906232598855a59fcdf7,2,5,1403,2,11,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,25000,33000,cellreplace,360,0.03,0,100%,91%,78%,330,280,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,5,212,3,11,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,30000,30000,original,280,0.01,0,100%,97%,92%,270,260,Original Battery
648c928a709a906232598855a59fcdf7,2,5,0,4,11,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
648c928a709a906232598855a59fcdf7,2,6,2070,1,12,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,40000,30000,cellreplace,240,0.05,0,100%,86%,66%,205,160,Refurbished Cell-Replaced
648c928a709a906232598855a59fcdf7,2,6,164,2,12,1,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,30000,24000,packreplace,240,0.01,0,100%,97%,92%,235,220,Refurbished Pack-Replaced
648c928a709a906232598855a59fcdf7,2,6,6,3,12,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,40000,24000,original,200,0.01,0,100%,97%,92%,195,185,Original Battery
648c928a709a906232598855a59fcdf7,2,6,0,4,12,0,2025-10-20T20:28:12Z,22.85,1.7166666666666666,30000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
647298db30a2a6d8bbc0391b192e141c,3,1,628,1,13,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,30000,45000,cellreplace,240,0.02,0,100%,94%,85%,225,205,Refurbished Cell-Replaced
647298db30a2a6d8bbc0391b192e141c,3,1,3150,2,13,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,40000,40500,packreplace,280,0.07,0,100%,80%,56%,225,155,Refurbished Pack-Replaced
647298db30a2a6d8bbc0391b192e141c,3,1,884,3,13,1,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,30000,45000,original,360,0.02,0,100%,94%,85%,340,305,Original Battery
647298db30a2a6d8bbc0391b192e141c,3,1,0,4,13,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
647298db30a2a6d8bbc0391b192e141c,3,2,702,1,14,1,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,40000,49500.00000000001,original,280,0.02,0,100%,94%,85%,265,240,Original Battery
647298db30a2a6d8bbc0391b192e141c,3,2,1834,2,14,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,20000,40500,original,360,0.04,0,100%,88%,72%,320,260,Original Battery
647298db30a2a6d8bbc0391b192e141c,3,2,1873,3,14,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,15000,45000,cellreplace,360,0.04,0,100%,88%,72%,320,260,Refurbished Cell-Replaced
647298db30a2a6d8bbc0391b192e141c,3,2,0,4,14,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
647298db30a2a6d8bbc0391b192e141c,3,3,315,1,15,1,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,25000,49500.00000000001,original,320,0.01,0,100%,97%,92%,310,295,Original Battery
647298db30a2a6d8bbc0391b192e141c,3,3,1217,2,15,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,15000,36000,packreplace,280,0.03,0,100%,91%,78%,255,220,Refurbished Pack-Replaced
647298db30a2a6d8bbc0391b192e141c,3,3,1393,3,15,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,15000,45000,cellreplace,360,0.03,0,100%,91%,78%,330,280,Refurbished Cell-Replaced
647298db30a2a6d8bbc0391b192e141c,3,3,0,4,15,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
647298db30a2a6d8bbc0391b192e141c,3,4,364,1,16,1,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,30000,40500,packreplace,320,0.01,0,100%,97%,92%,310,295,Refurbished Pack-Replaced
647298db30a2a6d8bbc0391b192e141c,3,4,1514,2,16,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,20000,40500,packreplace,200,0.04,0,100%,88%,72%,175,145,Refurbished Pack-Replaced
647298db30a2a6d8bbc0391b192e141c,3,4,1286,3,16,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,40000,36000,cellreplace,320,0.03,0,100%,91%,78%,290,250,Refurbished Cell-Replaced
647298db30a2a6d8bbc0391b192e141c,3,4,0,4,16,0,2025-10-14T22:05:16Z,13.283333333333331,1.8166666666666669,45000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
