session_id,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_vehicle_cbc,next_veh_budget,vehicle_type,powertrain,price,range_bev,range_phev,mileage,age,operating_cost,no_choice,range,operating_cost_text
e91e36daa3b0878431cacf3d7b5c679a,1,1,5658,1,1,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,phev,4500,0,10,0.5,1,12,0,10 miles on a full charge,12 cents per mile<br> ( 29.7 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,1,6148,2,1,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,hev,4500,0,0,0.55,0.4,15,0,NA,15 cents per mile<br> ( 30.0 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,1,5911,3,1,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,gas,5500,0,0,0.5,0.2,15,0,NA,15 cents per mile<br> ( 25.7 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,1,0,4,1,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,2,4797,1,2,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,gas,5000,0,0,0.45,0.6000000000000001,12,0,NA,12 cents per mile<br> ( 27.8 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,2,1732,2,2,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,bev,5500,150,0,0.45,1,6,0,150 miles on a full charge,6 cents per mile<br> (104.8 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,2,4431,3,2,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,phev,5000,0,20,0.45,0.4,12,0,20 miles on a full charge,12 cents per mile<br> ( 29.7 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,2,0,4,2,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,3,7855,1,3,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,gas,5500,0,0,0.5,1,18,0,NA,18 cents per mile<br> ( 23.5 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,3,6464,2,3,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,hev,5500,0,0,0.30000000000000004,0.8,15,0,NA,15 cents per mile<br> ( 30.0 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,3,7471,3,3,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,gas,5500,0,0,0.6,0.6000000000000001,18,0,NA,18 cents per mile<br> ( 23.5 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,3,0,4,3,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,4,228,1,4,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,bev,5500,100,0,0.30000000000000004,0.4,3,0,100 miles on a full charge,3 cents per mile<br> (110.0 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,4,4398,2,4,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,hev,4000,0,0,0.45,0.4,12,0,NA,12 cents per mile<br> ( 34.4 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,4,5620,3,4,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,phev,5500,0,20,0.45,1,12,0,20 miles on a full charge,12 cents per mile<br> ( 29.7 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,4,0,4,4,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,5,6265,1,5,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,gas,4000,0,0,0.35000000000000003,0.6000000000000001,15,0,NA,15 cents per mile<br> ( 25.7 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,5,82,2,5,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,bev,4500,50,0,0.4,0.2,3,0,50 miles on a full charge,3 cents per mile<br> (110.0 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,5,3738,3,5,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,hev,4000,0,0,0.6,1,9,0,NA,9 cents per mile<br> ( 37.9 MPG equivalent)
e91e36daa3b0878431cacf3d7b5c679a,1,5,0,4,5,0,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
e91e36daa3b0878431cacf3d7b5c679a,1,6,532,1,6,1,2025-10-20T20:27:50Z,10.75,1.9166666666666667,5000,suv,bev,5500,150,0,0.6,0.6000000000000001,3,0,150 miles on a full charge,3 cents per mile<br> (110.0 MPG equivalent)
