Pair_id,make,model,powertrain,vehicle_type,model_years(US),bev_range
1,KIA,SOUL,cv,car,2016-2024,0
1,KIA,SOUL,bev,car,2016-2020 (limited states),243
2,HYUNDAI,KONA,cv,suv,2018-2024,0
2,HYUNDAI,KONA EV,bev,suv,2019-2024,258
3,MINI,COOPER,cv,car,2016-2024,0
3,MINI,HARDTOP 2 DOOR,bev,car,2020-2024,114
4,TOYOTA,CAMRY,cv,car,2016-2024,0
4,TOYOTA,CAMRY,hev,car,2016-2024,0
5,TOYOTA,COROLLA,cv,car,2016-2024,0
5,TOYOTA,COROLLA,hev,car,2020-2024,0
6,TOYOTA,RAV4,cv,suv,2016-2024,0
6,TOYOTA,RAV4,hev,suv,2016-2024,0
7,FORD,ESCAPE,cv,suv,2016-2024,0
7,FORD,ESCAPE,hev,suv,2020-2024,0
8,NISSAN,VERSA NOTE,cv,car,2006-2025,0
8,NISSAN,LEAF,bev,car,2010-2024,150
9,BMW,4 SERIES,cv,car,2014 -2025,0
9,BMW,I4,bev,car,2022 -2026,250
