Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69406d2d68feec46810820ea,663bc254f4b7b1bf2cdd0a70,SCREENED OUT,Not Applicable,2025-12-15T20:19:00.217000Z,2025-12-15T20:19:49.641000Z,,2025-12-15T20:19:49.884152Z,50.0,CZRDXOU2,4707,English,Yes,38,Female,White,United States,United States,United States,English,No,Part-Time
69406d8b9a9b1f6a7ff115c6,5bf4afe0b8e9f800014c9c0b,APPROVED,Not Applicable,2025-12-15T20:20:32.043000Z,2025-12-15T20:30:37.275000Z,2025-12-17T12:41:21.805000Z,2025-12-15T20:30:37.625507Z,606.0,7878848421,11925,English,Yes,51,Male,White,United States,United States,United States,English,No,Full-Time
69406df6e89bd020848ab60b,668c8323480134a3e3b9156e,SCREENED OUT,Not Applicable,2025-12-15T20:22:21.795000Z,2025-12-15T20:23:10.525000Z,,2025-12-15T20:23:10.754999Z,49.0,CZRDXOU2,1516,English,Yes,34,Male,White,United States,United States,United States,English,No,Part-Time
69406e10f2b79fb21b1095fb,63d9e1f02776bb4b5cd8e5e1,RETURNED,Not Applicable,2025-12-15T20:22:44.421000Z,,,2025-12-17T12:12:43.210493Z,,,1571,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69406e7931c39a6d327581d2,66a02d45a7db35d93c9f6a81,RETURNED,Not Applicable,2025-12-15T20:24:29.159000Z,,,2025-12-17T12:12:43.210825Z,,,5259,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69406e95314ebe3e1d1a54dc,66847ba6880211797d6bb92d,SCREENED OUT,Not Applicable,2025-12-15T20:26:26.846000Z,2025-12-15T20:39:08.772000Z,,2025-12-15T20:39:09.002452Z,762.0,CZRDXOU2,1660,English,Yes,40,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69406f49a3dc53f074884542,59e7477e3e4b5a00016aa4d2,RETURNED,Not Applicable,2025-12-15T20:27:58.416000Z,,,2025-12-17T12:12:43.212726Z,,,13292,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69406fe9fbeb567ebb6a5822,5ef0f81ea26aaf0af68a54a0,SCREENED OUT,Not Applicable,2025-12-15T20:30:46.164000Z,2025-12-15T20:39:02.964000Z,,2025-12-15T20:39:03.193526Z,497.0,CZRDXOU2,4163,English,Yes,39,Female,White,United States,United States,United States,English,Yes,Full-Time
6940701a8f66de884c63b7f0,5b49eba46a4f840001f77485,APPROVED,Not Applicable,2025-12-15T20:31:27.951000Z,2025-12-15T20:56:00.076000Z,2025-12-17T12:41:22.097000Z,2025-12-15T20:56:00.418867Z,1473.0,7827041164,5355,English,Yes,54,Female,White,United States,United States,United States,English,No,Full-Time
6940707c8ee8ec09207377c8,661433352944c111887337c4,APPROVED,Not Applicable,2025-12-15T20:33:03.342000Z,2025-12-15T20:43:35.718000Z,2025-12-17T12:41:22.645000Z,2025-12-15T20:43:36.093002Z,633.0,4824105066,2104,English,Yes,34,Female,White,United States,United States,United States,English,No,Full-Time
694072371e6d45943ea36d03,67018ddda66fca6195d1070f,RETURNED,Not Applicable,2025-12-15T20:40:27.668000Z,,,2025-12-17T12:12:43.213409Z,,,1400,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6940725e06a9fda98098aa1d,67722f8e3a4f08a288a1f640,SCREENED OUT,Not Applicable,2025-12-15T20:41:07.939000Z,2025-12-15T20:41:48.337000Z,,2025-12-15T20:41:48.592711Z,41.0,CZRDXOU2,6768,English,Yes,58,Female,White,United States,United States,United States,English,No,Full-Time
694072cf707e8ca4fb45fbbd,6296295f57c07906c9052955,SCREENED OUT,Not Applicable,2025-12-15T20:43:15.318000Z,2025-12-15T20:43:55.706000Z,,2025-12-15T20:43:55.939060Z,41.0,CZRDXOU2,7930,English,Yes,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69407367ba6f421d65c3ff68,5b215747cd0abe00014fa2f6,APPROVED,Not Applicable,2025-12-15T20:45:32.099000Z,2025-12-15T20:56:31.816000Z,2025-12-17T12:41:22.980000Z,2025-12-15T20:56:32.185091Z,660.0,5058899917,1740,English,Yes,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69407608a421399c3403e369,5d951ede9b6f880018f63b6e,APPROVED,Not Applicable,2025-12-15T20:56:52.518000Z,2025-12-15T21:12:26.269000Z,2025-12-17T12:41:23.251000Z,2025-12-15T21:12:26.613145Z,934.0,4647221799,13445,English,Yes,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6940771a83f4a21118ebe40e,641385c88f29eb3264283818,SCREENED OUT,Not Applicable,2025-12-15T21:01:19.002000Z,2025-12-15T21:02:21.571000Z,,2025-12-15T21:02:21.804589Z,63.0,CZRDXOU2,5258,English,Yes,60,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6940778731a28a75d6cd3aa0,5eac686d82cc012af1e953c7,SCREENED OUT,Not Applicable,2025-12-15T21:03:09.285000Z,2025-12-15T21:03:55.185000Z,,2025-12-15T21:03:55.443006Z,46.0,CZRDXOU2,6821,English,Yes,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6940791fef8ecb85726a8e8f,680cf3759bbfca13d68e130a,APPROVED,Not Applicable,2025-12-15T21:09:55.359000Z,2025-12-15T21:19:14.602000Z,2025-12-17T12:41:23.536000Z,2025-12-15T21:19:14.967659Z,560.0,3209631069,3570,English,Yes,57,Male,White,United States,United States,United States,English,No,Full-Time
69414c88c713e48858b9d481,6627e29477d23bd171a6728a,APPROVED,Not Applicable,2025-12-16T12:11:57.238000Z,2025-12-16T12:25:17.966000Z,2025-12-17T12:41:23.843000Z,2025-12-16T12:25:18.289981Z,801.0,4299429095,4211,English,Yes,44,Male,White,United States,United States,United States,English,No,Full-Time
69414e761876f1dc4828e340,62694f79608ed29b7af936b1,SCREENED OUT,Not Applicable,2025-12-16T12:20:09.624000Z,2025-12-16T12:20:55.903000Z,,2025-12-16T12:20:56.146038Z,47.0,CZRDXOU2,13219,English,Yes,59,Female,White,United States,United States,United States,English,No,Full-Time
69414f070f354ea41f133563,55acf681fdf99b3d5b2ab68c,SCREENED OUT,Not Applicable,2025-12-16T12:23:35.703000Z,2025-12-16T12:24:39.338000Z,,2025-12-16T12:24:39.559772Z,64.0,CZRDXOU2,10365,English,Yes,41,Female,White,United States,United States,United States,English,No,Full-Time
69414f2dd457d4860a8b8f2f,6480bdf6d433e2e158870605,SCREENED OUT,Not Applicable,2025-12-16T12:23:14.370000Z,2025-12-16T12:23:49.191000Z,,2025-12-16T12:23:49.462850Z,35.0,CZRDXOU2,8976,English,Yes,62,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69414fcffb409e560f76a890,58a43e029a17120001d910d5,APPROVED,Not Applicable,2025-12-16T12:26:00.724000Z,2025-12-16T12:41:55.982000Z,2025-12-17T12:41:24.162000Z,2025-12-16T12:41:56.297063Z,956.0,8848804932,13568,English,Yes,42,Female,White,United States,United States,United States,English,No,Full-Time
69414fd296d8ed0cee72c9ab,67e8aa454848956e5e32c19d,SCREENED OUT,Not Applicable,2025-12-16T12:25:57.890000Z,2025-12-16T12:26:34.050000Z,,2025-12-16T12:26:34.273408Z,37.0,CZRDXOU2,5989,English,Yes,51,Male,White,United States,United States,United States,English,No,Full-Time
694150d39e6be2022ec39f21,657b111e0f834cfa496bd068,APPROVED,Not Applicable,2025-12-16T12:30:19.429000Z,2025-12-16T12:47:09.153000Z,2025-12-17T12:41:24.446000Z,2025-12-16T12:47:09.465681Z,1010.0,1183366470,7081,English,Yes,53,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
694151e7a0b4b0922d198170,5e6d8c46f93a0c35d1f82335,RETURNED,Not Applicable,2025-12-16T12:34:53.881000Z,,,2025-12-17T12:12:43.216978Z,,,5597,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6941539b869ba2adc096b4d5,6526c3297277ece1f3273549,APPROVED,Not Applicable,2025-12-16T12:42:11.291000Z,2025-12-16T12:59:06.968000Z,2025-12-17T12:41:24.698000Z,2025-12-16T12:59:07.333875Z,1016.0,8998659986,6290,English,Yes,76,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
694153a7408881f44f09a65e,5ebb96b6cd673a0008ace9ce,APPROVED,Not Applicable,2025-12-16T12:42:15.749000Z,2025-12-16T12:54:12.527000Z,2025-12-17T12:41:24.983000Z,2025-12-16T12:54:12.852908Z,717.0,2513739654,8751,English,Yes,28,Male,Asian,United States,United States,United States,Bengali,Yes,Other
694154a08d6d5a7a7f7e42ad,5eb44aa8de8a2a291bd522df,APPROVED,Not Applicable,2025-12-16T12:46:28.805000Z,2025-12-16T12:56:15.253000Z,2025-12-17T12:41:25.264000Z,2025-12-16T12:56:15.571519Z,587.0,4129395478,5210,English,Yes,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69415707958d6597790da1b8,5a2ee8005458fd00017bd0ae,SCREENED OUT,Not Applicable,2025-12-16T12:56:43.356000Z,2025-12-16T12:57:07.833000Z,,2025-12-16T12:57:08.033366Z,25.0,CZRDXOU2,5034,English,Yes,30,Male,White,United States,United States,United States,English,No,Full-Time
6941574f93c5d92604c0fd06,5dc1eb838a84461511b3cd73,SCREENED OUT,Not Applicable,2025-12-16T12:57:51.865000Z,2025-12-16T12:59:19.874000Z,,2025-12-16T12:59:20.095892Z,89.0,CZRDXOU2,9092,English,Yes,44,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
694159fe5d03092c6e74998c,65f353147653b5d6eee93ebe,SCREENED OUT,Not Applicable,2025-12-16T13:09:25.638000Z,2025-12-16T13:10:53.567000Z,,2025-12-16T13:10:53.772198Z,88.0,CZRDXOU2,3461,English,Yes,64,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
