Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
699f59f4fce19202bc1ec71d,69987b91b25efc3b28e237dd,APPROVED,Not Applicable,2026-02-25T20:22:17.133000Z,2026-02-25T20:36:26.006000Z,2026-03-01T15:49:57.373000Z,2026-02-25T20:36:26.364182Z,849.0,1254410504,101,English,Yes,44,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
699f5a3282f858909419dfc5,69963bfbc290b15dd046f72e,SCREENED OUT,Not Applicable,2026-02-25T20:23:18.222000Z,2026-02-25T20:23:53.715000Z,,2026-02-25T20:23:53.948815Z,36.0,C65JEJ1S,11,English,Yes,37,Female,White,United States,United States,United States,English,No,Full-Time
699f5ec74aa35da400980144,694e5e858c0fa868e0f65fd6,SCREENED OUT,Not Applicable,2026-02-25T20:42:53.506000Z,2026-02-25T20:43:35.860000Z,,2026-02-25T20:43:36.120477Z,43.0,C65JEJ1S,62,English,Yes,29,Female,White,United States,United States,United States,English,No,Full-Time
699f60a7685556d25d1e994c,69975cb20f37353170260023,APPROVED,Not Applicable,2026-02-25T20:50:55.191000Z,2026-02-25T21:07:56.534000Z,2026-03-01T15:49:57.672000Z,2026-02-25T21:07:56.866728Z,1022.0,6208823065,23,English,Yes,58,Male,White,United States,United States,United States,English,No,Full-Time
699f6332c31a0e54284dd26d,6946df52c8f481594f455bdf,APPROVED,Not Applicable,2026-02-25T21:01:41.893000Z,2026-02-25T21:09:54.768000Z,2026-03-01T15:49:57.944000Z,2026-02-25T21:09:55.147485Z,493.0,1098009308,659,English,Yes,24,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
699f63c6c086b825f9f454a9,6942c9729abd970a6e87f228,APPROVED,Not Applicable,2026-02-25T21:04:09.036000Z,2026-02-25T21:10:43.536000Z,2026-03-01T15:49:58.258000Z,2026-02-25T21:10:43.893152Z,395.0,9408034001,279,English,Yes,27,Female,White,United States,United States,United States,English,No,Full-Time
699f6574d7933a5716f25283,699d45af20adaa6e1e89aa5a,SCREENED OUT,Not Applicable,2026-02-25T21:11:22.635000Z,2026-02-25T21:12:17.409000Z,,2026-02-25T21:12:17.629477Z,55.0,C65JEJ1S,38,English,Yes,26,Female,White,United States,United States,United States,English,No,Full-Time
699f65e7430c69133f6a5479,6995d2c307ef48d10593cba8,APPROVED,Not Applicable,2026-02-25T21:13:16.939000Z,2026-02-25T21:35:18.703000Z,2026-03-01T15:49:58.526000Z,2026-02-25T21:35:19.058934Z,1322.0,5429797104,49,English,Yes,39,Female,White,United States,United States,United States,English,No,Full-Time
699f6958f29b12534eab4458,672c1b00e4ed661368e89749,SCREENED OUT,Not Applicable,2026-02-25T21:27:56.299000Z,2026-02-25T21:28:41.063000Z,,2026-02-25T21:28:41.297794Z,45.0,C65JEJ1S,899,English,Yes,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
699f6994bea9babfef34fe6f,66f2071f41ff4436a2405095,SCREENED OUT,Not Applicable,2026-02-25T21:28:55.198000Z,2026-02-25T21:29:25.996000Z,,2026-02-25T21:29:26.216360Z,31.0,C65JEJ1S,308,English,Yes,26,Female,Mixed,United States,United States,United States,English,Yes,Part-Time
699f6a113e564b91d6bfd09c,6991dd616f36987d7dc55ab4,APPROVED,Not Applicable,2026-02-25T21:31:00.376000Z,2026-02-25T21:57:23.107000Z,2026-03-01T15:49:58.799000Z,2026-02-25T21:57:23.512078Z,1583.0,2315299894,160,English,Yes,40,Male,White,United States,United States,United States,English,No,Full-Time
699f6aa581c17c96b5012846,696a7d8e7ecb7691c3c716e0,APPROVED,Not Applicable,2026-02-25T21:33:32.223000Z,2026-02-25T21:45:15.299000Z,2026-03-01T15:49:59.119000Z,2026-02-25T21:45:15.669159Z,704.0,8026820721,110,"English, French",Yes,38,Male,White,France,United States,France,French,No,Unemployed (and job seeking)
699f6c754626b9431d6c5f08,6983ac5265ea18163cd9befe,SCREENED OUT,Not Applicable,2026-02-25T21:41:16.269000Z,2026-02-25T21:41:50.443000Z,,2026-02-25T21:41:50.678586Z,35.0,C65JEJ1S,687,English,Yes,22,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699f6e481ecef3e843edf9e4,699dafa0e39a5ab0edccb3ea,SCREENED OUT,Not Applicable,2026-02-25T21:49:07.148000Z,2026-02-25T21:56:04.981000Z,,2026-02-25T21:56:05.196829Z,418.0,C65JEJ1S,34,English,Yes,42,Female,White,United States,United States,United States,English,Yes,Full-Time
699f6f69a54ac3faff549a8c,698b6d97e69dee4176e1511c,SCREENED OUT,Not Applicable,2026-02-25T21:54:08.318000Z,2026-02-25T21:58:13.640000Z,,2026-02-25T21:58:13.913413Z,246.0,C65JEJ1S,51,English,Yes,46,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699f6fde90f821e4acd2cdf2,6962dbac88944946c07d1497,APPROVED,Not Applicable,2026-02-25T21:56:11.171000Z,2026-02-25T22:15:18.938000Z,2026-03-01T15:49:59.431000Z,2026-02-25T22:15:19.394654Z,1148.0,1454795403,70,English,Yes,61,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
699f7238d40b51a26b3ffbce,67acbff5dba96bf42f4509a1,APPROVED,Not Applicable,2026-02-25T22:05:49.165000Z,2026-02-25T22:23:13.515000Z,2026-03-01T15:49:59.720000Z,2026-02-25T22:23:13.854874Z,1045.0,2352054271,708,English,Yes,60,Female,White,United States,United States,United States,English,No,Full-Time
699f752912a41eb7be5e4354,699b8c43a44a3dcd2089d340,SCREENED OUT,Not Applicable,2026-02-25T22:18:20.855000Z,2026-02-25T22:19:00.639000Z,,2026-02-25T22:19:00.862069Z,40.0,C65JEJ1S,122,English,Yes,31,Male,White,United States,United States,United States,English,No,Part-Time
699f79e7758c436725744876,6983676623cfc747243e3047,SCREENED OUT,Not Applicable,2026-02-25T22:38:40.171000Z,2026-02-25T22:39:19.228000Z,,2026-02-25T22:39:19.471665Z,40.0,C65JEJ1S,313,English,Yes,28,Female,Black,United States,United States,United States,English,Yes,Part-Time
699f7cd2623cce8b75536b30,6715faf47340bec61f04e3ca,SCREENED OUT,Not Applicable,2026-02-25T22:52:17.393000Z,2026-02-25T22:53:29.300000Z,,2026-02-25T22:53:29.536699Z,72.0,C65JEJ1S,428,English,Yes,32,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
699f7cfacb1599e2b8ce8d30,6997dd1f7023de25b5608079,SCREENED OUT,Not Applicable,2026-02-25T22:51:42.395000Z,2026-02-25T22:52:12.067000Z,,2026-02-25T22:52:12.287652Z,30.0,C65JEJ1S,163,English,Yes,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
699f7d7035103d3e3fc18c4f,69864819469d903c57f794cb,SCREENED OUT,Not Applicable,2026-02-25T22:53:50.046000Z,2026-02-25T22:54:40.740000Z,,2026-02-25T22:54:40.950934Z,51.0,C65JEJ1S,446,English,Yes,39,Female,White,United States,United States,United States,English,No,Full-Time
699f7e9ed49943e915475c38,691dd308c8ba4d666509be7e,APPROVED,Not Applicable,2026-02-25T22:58:41.968000Z,2026-02-25T23:13:01.569000Z,2026-03-01T15:50:00.008000Z,2026-02-25T23:13:01.924188Z,860.0,6081248050,404,English,Yes,56,Female,White,United States,United States,United States,English,No,Full-Time
699f7f694deb207b46d2cdf0,698df144d5298c2f228451f3,APPROVED,Not Applicable,2026-02-25T23:02:07.389000Z,2026-02-25T23:13:17.305000Z,2026-03-01T15:50:00.318000Z,2026-02-25T23:13:18.267938Z,670.0,2298277079,217,English,Yes,39,Male,Black,United States,United States,United States,English,No,Part-Time
699f7fda503a03519b74dc0f,6966e8fe4d6c6fe9a2888dc3,SCREENED OUT,Not Applicable,2026-02-25T23:03:59.445000Z,2026-02-25T23:04:47.694000Z,,2026-02-25T23:04:47.913373Z,49.0,C65JEJ1S,512,English,Yes,54,Female,Mixed,United States,United States,United States,English,No,Full-Time
699f81cc02204b7af728f04c,698b363c9e1341a1cc7874de,APPROVED,Not Applicable,2026-02-25T23:12:16.313000Z,2026-02-25T23:21:44.831000Z,2026-03-01T15:50:00.633000Z,2026-02-25T23:21:45.228096Z,569.0,6952004751,113,English,Yes,51,Male,White,United States,United States,United States,English,No,Other
699f84656402489d112340ee,69920cde837c6c9a17e5791b,SCREENED OUT,Not Applicable,2026-02-25T23:23:20.930000Z,2026-02-25T23:23:53.122000Z,,2026-02-25T23:23:53.377862Z,33.0,C65JEJ1S,57,English,Yes,22,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
