Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6942cb2c4a27a0631c43d144,66114844b8efff4b2af276ec,RETURNED,Not Applicable,2025-12-17T15:24:32.364000Z,,,2025-12-17T21:55:58.032571Z,,,4347,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942cb34668b1ca09211c9ce,60778db7ed3bae21972be1b4,APPROVED,Not Applicable,2025-12-17T15:25:03.745000Z,2025-12-17T15:51:41.892000Z,2025-12-17T22:05:19.845000Z,2025-12-17T15:51:42.298666Z,1599.0,4575362333,3164,English,Yes,56,Female,Black,United States,United States,United States,English,No,Full-Time
6942cb3bd7f7fcd58d75350d,65c1101b2b6edf21082420d5,APPROVED,Not Applicable,2025-12-17T15:27:24.325000Z,2025-12-17T15:44:18.397000Z,2025-12-17T22:05:20.096000Z,2025-12-17T15:44:18.744299Z,1015.0,1155311862,4607,English,Yes,46,Female,Black,United States,United States,United States,English,Yes,Full-Time
6942cb5a3d6e31f657698d44,675a5ad39c319c39e7753011,SCREENED OUT,Not Applicable,2025-12-17T15:25:18.949000Z,2025-12-17T15:25:52.094000Z,,2025-12-17T15:25:52.322138Z,34.0,C1N42823,7380,English,Yes,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942cb920e1491f95c79b9ff,66b410222681531f50b06b85,APPROVED,Not Applicable,2025-12-17T15:26:17.135000Z,2025-12-17T15:43:31.930000Z,2025-12-17T22:08:14.756000Z,2025-12-17T15:43:32.315805Z,1035.0,8501949130,2801,English,Yes,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6942cbde48c9c85dae3ec46d,664b700b38e720bf4c02dfd7,APPROVED,Not Applicable,2025-12-17T15:27:32.123000Z,2025-12-17T15:41:29.386000Z,2025-12-17T22:08:44.499000Z,2025-12-17T15:41:29.728563Z,838.0,6917536896,1519,English,Yes,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942cbf0d7fadb3e9d1f4c24,664dfa7dc9b2a0473cacdd81,RETURNED,Not Applicable,2025-12-17T15:27:49.148000Z,2025-12-17T15:36:46.939000Z,,2025-12-18T12:55:24.533844Z,,3480612254,4576,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942cc4b81f13176c54718a1,6548f960db60a00d76e92695,SCREENED OUT,Not Applicable,2025-12-17T15:29:19.832000Z,2025-12-17T15:29:31.745000Z,,2025-12-17T15:29:31.964333Z,12.0,C1N42823,11031,English,Yes,53,Male,White,United States,United States,United States,English,No,Full-Time
6942cc8d1b8a2ecf9367f7b0,62a099bb01ad779df1971ea4,APPROVED,Not Applicable,2025-12-17T15:30:27.160000Z,2025-12-17T15:40:25.797000Z,2025-12-17T22:05:20.348000Z,2025-12-17T15:40:26.206907Z,599.0,1916470653,9763,English,Yes,63,Female,White,United States,United States,United States,English,No,Full-Time
6942cca60008e5b6f62aec1a,677ef55582632a4221d6b212,SCREENED OUT,Not Applicable,2025-12-17T15:30:50.585000Z,2025-12-17T15:31:49.426000Z,,2025-12-17T15:31:49.654874Z,59.0,C1N42823,785,English,Yes,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942ccb59a5c6e7eb297668c,5e84f59e965b290c42fad433,APPROVED,Not Applicable,2025-12-17T15:31:09.150000Z,2025-12-17T15:38:08.542000Z,2025-12-17T22:05:20.607000Z,2025-12-17T15:38:08.879519Z,420.0,7077803101,2855,English,Yes,24,Male,White,United States,United States,United States,English,No,Full-Time
6942ccfb83d2794eca6c02eb,665a22b5473f6a3b6a7d119e,APPROVED,Not Applicable,2025-12-17T15:32:15.675000Z,2025-12-17T15:39:59.937000Z,2025-12-17T22:09:59.047000Z,2025-12-17T15:40:00.338150Z,465.0,4494908323,1558,English,Yes,32,Female,White,United States,United States,United States,English,No,Full-Time
6942cd0f2eaef7964b00fb07,580cab86b869700001d71628,SCREENED OUT,Not Applicable,2025-12-17T15:32:34.431000Z,2025-12-17T15:33:00.736000Z,,2025-12-17T15:33:00.969901Z,27.0,C1N42823,10615,English,Yes,62,Female,White,United States,United States,United States,English,Yes,Other
