Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6944365ad305fc2ebc3ab022,6941c382fa9a747611c2025f,APPROVED,Not Applicable,2025-12-18T17:14:05.662000Z,2025-12-18T17:23:47.785000Z,2025-12-21T19:25:07.020000Z,2025-12-18T17:23:48.144479Z,583.0,2781780053,25,"English, Chinese",Yes,26,Male,Asian,United States,United States,DATA_EXPIRED,Mandarin,No,Full-Time
69443706cb4f4fdfced4a93e,66465d688e90512d006edc84,APPROVED,Not Applicable,2025-12-18T17:16:58.167000Z,2025-12-18T17:38:30.339000Z,2025-12-21T19:25:07.321000Z,2025-12-18T17:38:31.312617Z,1293.0,1067131440,585,English,Yes,31,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
694437c85341cec41fca3d37,693aef92856f8d2a01f593f7,APPROVED,Not Applicable,2025-12-18T17:20:12.906000Z,2025-12-18T17:29:53.812000Z,2025-12-21T19:25:07.609000Z,2025-12-18T17:29:54.173887Z,581.0,1972617122,116,English,Yes,27,Male,Asian,United States,United States,United States,English,No,Full-Time
69443a0375fd4de44926f5e6,694171c5187b5fef57d9d7c1,APPROVED,Not Applicable,2025-12-18T17:29:44.517000Z,2025-12-18T17:40:00.442000Z,2025-12-21T19:25:07.883000Z,2025-12-18T17:40:00.819680Z,616.0,7888506033,77,English,Yes,44,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69443a2f36f1e7a9ad2e45a1,67ab5b2e65c4823c805570d4,APPROVED,Not Applicable,2025-12-18T17:39:23.608000Z,2025-12-18T18:25:41.787000Z,2025-12-21T19:25:08.155000Z,2025-12-18T18:25:42.156578Z,2779.0,3762252829,726,English,Yes,61,Female,White,United States,United States,United States,English,No,Full-Time
69443b2c0cf21217679071fd,67664f0a30eda4c1a40958bc,APPROVED,Not Applicable,2025-12-18T17:36:05.791000Z,2025-12-18T18:00:36.116000Z,2025-12-21T19:25:08.428000Z,2025-12-18T18:00:36.490199Z,1471.0,7279750918,865,English,Yes,28,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69443b3cc77dcb32c2656045,67d620950d0be675fd3783b0,SCREENED OUT,Not Applicable,2025-12-18T17:41:31.981000Z,2025-12-18T17:44:02.693000Z,,2025-12-18T17:44:02.903793Z,151.0,C65JEJ1S,995,English,Yes,61,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69443b98c5a2ec2ef3b693ba,680a528cef20303bf826d9d8,SCREENED OUT,Not Applicable,2025-12-18T17:36:29.238000Z,2025-12-18T17:37:23.651000Z,,2025-12-18T17:37:23.886103Z,55.0,C65JEJ1S,180,English,Yes,55,Female,White,United States,United States,United States,English,No,Part-Time
69443bfdd92fc2af1230d66c,691752dae4acdec500565976,SCREENED OUT,Not Applicable,2025-12-18T17:38:10.672000Z,2025-12-18T17:39:35.197000Z,,2025-12-18T17:39:35.433978Z,85.0,C65JEJ1S,356,English,Yes,47,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69443c8d04c1f33c91f45603,663171ab19ea2540eadfaadf,SCREENED OUT,Not Applicable,2025-12-18T17:40:34.997000Z,2025-12-18T17:41:11.493000Z,,2025-12-18T17:41:11.865536Z,37.0,C65JEJ1S,317,English,Yes,44,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69443e0e224ab5b262ed5b5b,654a62f953451c822affeb29,SCREENED OUT,Not Applicable,2025-12-18T17:46:59.291000Z,2025-12-18T17:47:32.193000Z,,2025-12-18T17:47:32.408802Z,33.0,C65JEJ1S,879,English,Yes,28,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
69443f31f35fefed78f846d5,66b2b8553de5c0beef1a5ce1,SCREENED OUT,Not Applicable,2025-12-18T17:56:29.962000Z,2025-12-18T17:57:07.345000Z,,2025-12-18T17:57:07.584346Z,38.0,C65JEJ1S,879,English,Yes,34,Female,Asian,United States,United States,United States,English,No,Full-Time
69443f3414420e8f20c0513c,66463ba8fac8591a6734db5b,APPROVED,Not Applicable,2025-12-18T17:51:52.775000Z,2025-12-18T18:03:52.716000Z,2025-12-21T19:25:08.710000Z,2025-12-18T18:03:53.102492Z,720.0,7271217842,385,"Korean, English",Yes,33,Male,Asian,United States,United States,United States,English,No,Full-Time
69444206316d32acde2d56f6,65cb72a5bbccef2b87ca69ff,SCREENED OUT,Not Applicable,2025-12-18T18:03:54.777000Z,2025-12-18T18:04:53.778000Z,,2025-12-18T18:04:54.077610Z,60.0,C65JEJ1S,126,English,Yes,22,Female,Asian,United States,United States,Korea,English,Yes,Part-Time
