"session_id","time_start","cost_com","time_end","cbc_q00","images","budget","cbc_q1","silly_word","time_q_cbc_q00","time_q_images","time_q_budget","time_q_cbc_q1","time_q_silly_word","time_p_welcome","time_p_cbc_q0","time_p_page2","time_p_end","current_page","time_p_page3","time_p_page1","time_p_page0","time_p_page00","time_p_page001","cbc_q2","time_q_cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_p_page4","time_p_page5","time_p_page6","time_p_page7"
"7a8715ec60b33fb3ad08eb3070ee53ec","2025-02-03 17:24:35 UTC",1.1,"2025-02-03 17:25:14 UTC","option_2","suv_large_4",10000,"","","2025-02-03 17:24:46 UTC","2025-02-03 17:25:04 UTC","2025-02-03 17:24:58 UTC","","","2025-02-03 17:24:35 UTC","2025-02-03 17:24:41 UTC","2025-02-03 17:24:47 UTC","","page2","","","","","","","","","","","","","","","","","","",""
"cc4068f6fc7330aac22004b0eb79cb21","2025-02-03 17:27:11 UTC",1.2,"2025-02-03 17:27:40 UTC","","suv_large_4",12500,"","test","","2025-02-03 17:27:27 UTC","2025-02-03 17:27:25 UTC","","2025-02-03 17:27:30 UTC","2025-02-03 17:27:11 UTC","2025-02-03 17:27:14 UTC","2025-02-03 17:27:17 UTC","","page3","2025-02-03 17:27:33 UTC","","","","","","","","","","","","","","","","","",""
"0c4252cd0539b6aabe364554f1609dd5","2025-02-03 17:32:01 UTC",0.8,"2025-02-03 17:33:06 UTC","","suv_mid_4",10000,"option_1","","","2025-02-03 17:32:06 UTC","2025-02-03 17:32:08 UTC","2025-02-03 17:32:10 UTC","","2025-02-03 17:32:01 UTC","2025-02-03 17:32:04 UTC","2025-02-03 17:32:05 UTC","","page3","2025-02-03 17:32:11 UTC","","","","","","","","","","","","","","","","","",""
"92bbd9738c99e88b5ba23ace902364fa","2025-02-03 17:34:37 UTC",1,"2025-02-03 17:34:54 UTC","","suv_small_4",10000,"option_1","","","2025-02-03 17:34:42 UTC","2025-02-03 17:34:44 UTC","2025-02-03 17:34:45 UTC","","2025-02-03 17:34:37 UTC","2025-02-03 17:34:39 UTC","2025-02-03 17:34:40 UTC","","page3","2025-02-03 17:34:46 UTC","","","","","","","","","","","","","","","","","",""
"d60545ae93b5cab7b79055f9487ed5c2","2025-02-03 17:37:58 UTC",1.2,"2025-02-03 17:38:17 UTC","option_2","car_small_5",10000,"option_1","","2025-02-03 17:38:03 UTC","2025-02-03 17:38:05 UTC","2025-02-03 17:38:07 UTC","2025-02-03 17:38:08 UTC","","2025-02-03 17:37:58 UTC","2025-02-03 17:38:01 UTC","2025-02-03 17:38:04 UTC","","page3","2025-02-03 17:38:09 UTC","","","","","","","","","","","","","","","","","",""
"27eb6680ef54e0262afa6abe9ab17fbb","2025-02-03 17:39:04 UTC",0.9,"2025-02-03 17:40:07 UTC","option_2","suv_mid_4",10000,"option_1","","2025-02-03 17:39:07 UTC","2025-02-03 17:39:09 UTC","2025-02-03 17:39:11 UTC","2025-02-03 17:39:12 UTC","","2025-02-03 17:39:04 UTC","2025-02-03 17:39:06 UTC","2025-02-03 17:39:08 UTC","","page3","2025-02-03 17:39:14 UTC","","","","","","","","","","","","","","","","","",""
"0377d5c1774e964beb08b5d8e46b6f98","2025-02-03 17:42:07 UTC",0.8,"2025-02-03 17:43:13 UTC","option_2","suv_mid_4",10000,"option_2","","2025-02-03 17:42:10 UTC","2025-02-03 17:42:12 UTC","2025-02-03 17:42:15 UTC","2025-02-03 17:42:15 UTC","","2025-02-03 17:42:07 UTC","2025-02-03 17:42:09 UTC","2025-02-03 17:42:11 UTC","","page3","2025-02-03 17:42:16 UTC","","","","","","","","","","","","","","","","","",""
"334e94b16658d223e25570ad65062fb5","2025-02-03 17:43:35 UTC",0.9,"2025-02-03 17:44:09 UTC","option_2","suv_mid_4",10000,"option_2","","2025-02-03 17:43:38 UTC","2025-02-03 17:43:41 UTC","2025-02-03 17:43:43 UTC","2025-02-03 17:43:43 UTC","","2025-02-03 17:43:35 UTC","2025-02-03 17:43:37 UTC","2025-02-03 17:43:39 UTC","","page3","2025-02-03 17:43:44 UTC","","","","","","","","","","","","","","","","","",""
"4768fc051109f23d672572f083c6d9f4","2025-02-03 17:46:44 UTC",1,"2025-02-03 17:48:15 UTC","option_2","suv_mid_4",20000,"option_2","","2025-02-03 17:46:48 UTC","2025-02-03 17:46:51 UTC","2025-02-03 17:46:53 UTC","2025-02-03 17:46:55 UTC","","2025-02-03 17:46:44 UTC","2025-02-03 17:46:46 UTC","2025-02-03 17:46:49 UTC","","page3","2025-02-03 17:46:56 UTC","","","","","","","","","","","","","","","","","",""
"1db5504764ae6af4054d5e9a0cf6cbc4","2025-02-03 18:38:44 UTC",1.2,"2025-02-03 18:39:04 UTC","option_3","car_large_4",10000,"option_3","tst","2025-02-03 18:38:48 UTC","2025-02-03 18:38:51 UTC","2025-02-03 18:38:53 UTC","2025-02-03 18:38:54 UTC","2025-02-03 18:38:56 UTC","2025-02-03 18:38:44 UTC","2025-02-03 18:38:46 UTC","2025-02-03 18:38:49 UTC","","page3","2025-02-03 18:38:56 UTC","","","","","","","","","","","","","","","","","",""
