"session_id","time_start","completion_code","respID","time_end","consent_age","consent_understand","like_fruit","fav_fruit","screenout","cbc_practice","cbc_q1","cbc_q2","cbc_q3","cbc_q4","cbc_q5","cbc_q6","apple_knowledge_1","apple_knowledge_2","year_of_birth","gender","race","education","income","feedback","time_q_consent_age","time_q_consent_understand","time_q_like_fruit","time_q_fav_fruit","time_q_screenout","time_q_cbc_practice","time_q_cbc_q1","time_q_cbc_q2","time_q_cbc_q3","time_q_cbc_q4","time_q_cbc_q5","time_q_cbc_q6","time_q_apple_knowledge_1","time_q_apple_knowledge_2","time_q_year_of_birth","time_q_gender","time_q_race","time_q_education","time_q_income","time_q_feedback","time_p_welcome","time_p_table_test","time_p_consent","time_p_favorite_fruit","time_p_screening","time_p_educational","time_p_cbc_practice","time_p_cbc_intro","time_p_cbc_q1","time_p_cbc_q2","time_p_cbc_q3","time_p_cbc_q4","time_p_cbc_q5","time_p_cbc_q6","time_p_apple_knowledge","time_p_demographics","time_p_end_normal","time_p_end_consent","time_p_end_screenout","current_page"
"c0c99ac39b220ba7cd8155120cbdcde1","2025-02-12 11:34:22 UTC",8056936749,1998,"2025-02-12 11:34:35 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 11:34:22 UTC","2025-02-12 11:34:27 UTC","",,,,,,,,,,,,,,,,,"table_test"
"51cf7c38b31c83e52b423a144ebae964","2025-02-12 12:14:09 UTC",9467015915,1186,"2025-02-12 12:16:17 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 12:14:09 UTC","2025-02-12 12:14:13 UTC","",,,,,,,,,,,,,,,,,"table_test"
"48743f7ad488932528f1524938ae8837","2025-02-12 12:16:22 UTC",8958022954,964,"2025-02-12 12:46:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 12:16:22 UTC","2025-02-12 12:16:25 UTC","",,,,,,,,,,,,,,,,,"table_test"
"f6fd96f9f618e359f95ce3837bc7db87","2025-02-12 14:26:12 UTC",5712451664,934,"2025-02-12 14:26:56 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 14:26:12 UTC","2025-02-12 14:26:16 UTC","",,,,,,,,,,,,,,,,,"table_test"
"0e14ac40211ffcea5beb6d2484f7fb79","2025-02-12 14:27:21 UTC",2955032772,521,"2025-02-12 15:12:14 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 14:27:21 UTC","2025-02-12 14:27:24 UTC","",,,,,,,,,,,,,,,,,"table_test"
"570e07a1814bc2edfbd4f8afa8970fc1","2025-02-12 15:12:17 UTC",8973111847,688,"2025-02-12 15:13:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 15:12:17 UTC","2025-02-12 15:12:25 UTC","",,,,,,,,,,,,,,,,,"table_test"
"5e567b5fd1ed0adad0c709d7a36679af","2025-02-12 15:13:16 UTC",8410812547,293,"2025-02-12 15:15:36 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 15:13:16 UTC","2025-02-12 15:13:26 UTC","",,,,,,,,,,,,,,,,,"table_test"
"c28bfd8d45caabafb2c1d1a3c7810cdd","2025-02-12 15:15:45 UTC",4475933115,1327,"2025-02-12 15:19:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 15:15:45 UTC","2025-02-12 15:15:48 UTC","",,,,,,,,,,,,,,,,,"table_test"
"eb4265c3b68fc33ed977b9eef609a2d7","2025-02-12 15:16:47 UTC",5345717130,218,"2025-02-12 15:19:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 15:16:47 UTC","","",,,,,,,,,,,,,,,,,""
"73fa040b16f3474219777e2b8fca0e3c","2025-02-12 15:19:31 UTC",9068207146,1700,"2025-02-12 15:20:58 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025-02-12 15:19:31 UTC","2025-02-12 15:19:34 UTC","2025-02-12 15:19:37 UTC",,,,,,,,,,,,,,,,,"consent"
